Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALB,1.0,,SOFT,1.0,1,28.0,41.5,60.0,1016.8,2.6,285
ALB,2.0,85.131,SOFT,1.0,1,27.9,41.4,60.0,1016.7,2.6,286
ALB,3.0,,SOFT,1.0,1,28.0,41.2,60.0,1016.8,2.3,295
ALB,4.0,139.484,SOFT,1.0,1,27.9,41.3,60.0,1016.7,2.0,292
ALB,5.0,85.34,SOFT,1.0,1,27.9,41.3,60.0,1016.7,3.0,282
ALB,6.0,114.354,SOFT,1.0,1,27.9,41.3,60.0,1016.7,2.3,284
ALB,7.0,,SOFT,2.0,1,27.9,41.2,60.0,1016.7,2.8,306
ALB,8.0,84.378,SOFT,2.0,1,27.9,41.2,60.0,1016.5,2.3,281
ALB,9.0,127.291,SOFT,2.0,1,28.0,41.3,61.0,1016.7,1.9,259
ALB,10.0,,SOFT,3.0,1,28.0,41.6,60.0,1016.6,2.2,288
ALB,11.0,84.898,SOFT,3.0,1,28.0,41.3,60.0,1016.6,2.8,283
ALB,12.0,116.45,SOFT,3.0,1,28.0,41.3,60.0,1016.6,2.4,275
ALB,13.0,,SOFT,4.0,1,27.9,41.1,60.0,1016.6,2.2,244
ALB,14.0,123.18,SOFT,4.0,1,27.9,40.8,60.0,1016.7,2.2,280
ALB,15.0,141.747,SOFT,4.0,1,27.9,41.0,61.0,1016.6,3.1,310
