Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
NOR,1.0,,SOFT,1.0,1,26.0,30.6,64.0,1017.1,2.7,254
NOR,2.0,83.682,SOFT,1.0,1,26.0,30.6,64.0,1017.1,2.0,338
NOR,3.0,111.944,SOFT,1.0,1,26.0,30.6,65.0,1017.1,1.4,284
NOR,4.0,,SOFT,2.0,1,26.0,30.6,65.0,1017.0,1.5,279
NOR,5.0,92.797,SOFT,2.0,1,26.0,30.4,65.0,1017.0,2.2,290
NOR,6.0,,SOFT,3.0,12,26.0,30.4,66.0,1017.1,1.5,284
NOR,7.0,83.098,SOFT,3.0,1,26.0,30.3,66.0,1017.1,1.8,256
NOR,8.0,106.466,SOFT,3.0,1,25.9,30.3,66.0,1017.1,1.8,256
NOR,9.0,,SOFT,4.0,1,25.9,30.3,66.0,1017.0,1.1,312
NOR,10.0,108.371,SOFT,4.0,1,25.9,30.3,66.0,1017.1,2.2,316
NOR,11.0,,SOFT,5.0,12,25.9,30.4,65.0,1017.1,1.6,320
NOR,12.0,82.949,SOFT,5.0,1,25.9,30.3,66.0,1017.1,1.2,310
NOR,13.0,101.66,SOFT,5.0,1,25.9,30.3,65.0,1017.2,1.3,311
NOR,14.0,,SOFT,6.0,1,25.9,30.4,65.0,1017.2,1.2,277
NOR,15.0,82.595,SOFT,6.0,1,25.9,30.3,65.0,1017.1,0.8,257
NOR,16.0,118.346,SOFT,6.0,1,25.9,30.3,65.0,1017.2,1.0,280
