Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HUL,1.0,95.498,MEDIUM,1.0,12,27.8,37.2,42.0,1017.3,1.0,292
HUL,2.0,109.887,MEDIUM,1.0,126,27.8,37.1,43.0,1017.3,2.7,304
HUL,3.0,102.689,MEDIUM,1.0,671,27.7,36.8,43.0,1017.2,2.5,324
HUL,4.0,89.348,MEDIUM,1.0,1,27.7,36.8,43.0,1017.2,2.0,277
HUL,5.0,89.968,MEDIUM,1.0,1,27.6,36.7,44.0,1017.2,1.7,308
HUL,6.0,89.787,MEDIUM,1.0,1,27.6,36.2,44.0,1017.1,2.4,103
HUL,7.0,89.76,MEDIUM,1.0,1,27.6,36.1,44.0,1017.3,2.1,315
HUL,8.0,90.089,MEDIUM,1.0,1,27.6,36.1,44.0,1017.0,2.4,287
HUL,9.0,89.959,MEDIUM,1.0,1,27.6,36.1,44.0,1017.1,1.0,310
HUL,10.0,90.401,MEDIUM,1.0,1,27.7,36.1,43.0,1017.0,2.5,109
HUL,11.0,90.744,MEDIUM,1.0,1,27.8,35.5,43.0,1017.1,2.1,266
HUL,12.0,91.288,MEDIUM,1.0,1,27.7,35.5,43.0,1017.2,1.7,314
HUL,13.0,92.49,MEDIUM,1.0,1,27.6,35.5,44.0,1017.1,1.8,319
HUL,14.0,109.649,HARD,2.0,1,27.5,35.1,44.0,1017.1,1.3,320
HUL,15.0,89.786,HARD,2.0,1,27.6,33.2,44.0,1017.1,2.3,317
HUL,16.0,89.985,HARD,2.0,1,27.5,33.1,45.0,1017.1,1.8,0
HUL,17.0,89.152,HARD,2.0,1,27.5,33.1,45.0,1017.1,1.6,294
HUL,18.0,89.806,HARD,2.0,1,27.5,33.8,45.0,1017.1,1.4,0
HUL,19.0,89.496,HARD,2.0,1,27.5,34.5,46.0,1017.1,2.9,311
HUL,20.0,89.872,HARD,2.0,1,27.4,34.5,46.0,1017.1,2.3,315
HUL,21.0,89.891,HARD,2.0,1,27.4,34.6,47.0,1017.1,2.1,287
HUL,22.0,90.1,HARD,2.0,1,27.4,34.6,47.0,1017.0,1.0,296
HUL,23.0,89.987,HARD,2.0,1,27.5,33.8,47.0,1017.0,1.5,203
HUL,24.0,90.006,HARD,2.0,1,27.5,33.9,46.0,1017.1,1.5,297
HUL,25.0,90.113,HARD,2.0,1,27.5,33.9,45.0,1017.0,0.9,309
HUL,26.0,89.715,HARD,2.0,1,27.5,34.0,45.0,1017.1,1.9,177
HUL,27.0,89.808,HARD,2.0,1,27.5,34.1,45.0,1017.0,1.0,122
HUL,28.0,89.572,HARD,2.0,1,27.5,34.5,44.0,1017.0,2.1,108
HUL,29.0,89.784,HARD,2.0,1,27.5,34.2,44.0,1017.0,2.2,125
HUL,30.0,89.322,HARD,2.0,12,27.4,32.0,44.0,1017.1,1.9,110
HUL,31.0,89.727,HARD,2.0,21,27.4,31.8,45.0,1017.0,3.5,110
HUL,32.0,89.676,HARD,2.0,1,27.3,32.5,45.0,1017.0,3.6,113
HUL,33.0,89.331,HARD,2.0,1,27.3,32.5,46.0,1017.1,2.8,115
HUL,34.0,89.535,HARD,2.0,1,27.2,31.2,46.0,1017.1,2.9,107
HUL,35.0,89.358,HARD,2.0,1,27.3,30.9,46.0,1017.1,1.7,44
HUL,36.0,89.457,HARD,2.0,1,27.3,31.3,46.0,1017.1,1.9,110
HUL,37.0,89.277,HARD,2.0,1,27.3,31.2,45.0,1017.0,2.7,30
HUL,38.0,89.682,HARD,2.0,1,27.2,30.8,45.0,1017.0,2.2,111
HUL,39.0,89.234,HARD,2.0,1,27.2,31.8,46.0,1017.1,1.0,96
HUL,40.0,90.404,HARD,2.0,1,27.1,33.9,45.0,1017.1,0.6,0
HUL,41.0,89.416,HARD,2.0,1,27.2,34.0,45.0,1017.0,1.1,125
HUL,42.0,89.379,HARD,2.0,1,27.3,32.6,45.0,1017.0,2.0,111
HUL,43.0,90.47,HARD,2.0,1,27.2,32.2,45.0,1016.9,3.6,100
HUL,44.0,89.595,HARD,2.0,1,27.2,33.1,46.0,1017.1,3.2,110
HUL,45.0,89.756,HARD,2.0,1,27.1,33.7,47.0,1017.1,1.3,110
HUL,46.0,89.592,HARD,2.0,1,27.1,33.0,47.0,1017.1,2.2,117
HUL,47.0,89.331,HARD,2.0,1,27.1,33.0,47.0,1017.1,1.4,116
HUL,48.0,89.573,HARD,2.0,1,27.1,33.0,47.0,1017.1,1.8,87
HUL,49.0,89.359,HARD,2.0,1,27.1,32.8,47.0,1017.1,1.0,99
HUL,50.0,89.595,HARD,2.0,1,27.1,32.8,47.0,1017.1,1.3,122
HUL,51.0,89.448,HARD,2.0,1,27.1,32.7,47.0,1017.1,1.9,97
HUL,52.0,89.518,HARD,2.0,1,27.0,32.7,47.0,1017.1,1.8,97
HUL,53.0,90.107,HARD,2.0,1,27.0,32.1,47.0,1017.1,2.6,134
HUL,54.0,89.819,HARD,2.0,1,27.1,32.0,48.0,1017.3,2.6,110
HUL,55.0,89.939,HARD,2.0,1,27.0,32.0,49.0,1017.3,1.8,103
HUL,56.0,89.991,HARD,2.0,1,27.0,32.1,49.0,1017.1,2.3,104
HUL,57.0,90.284,HARD,2.0,12,27.0,32.1,49.0,1017.2,2.0,117
HUL,58.0,90.04,HARD,2.0,1,27.0,32.2,49.0,1017.2,1.5,54
