Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
PER,1.0,92.397,MEDIUM,1.0,1,18.0,25.6,60.0,1025.6,2.0,125
PER,2.0,79.206,MEDIUM,1.0,1,18.0,25.3,61.0,1025.5,2.0,144
PER,3.0,130.715,MEDIUM,1.0,1,18.0,25.2,61.0,1025.5,2.2,167
PER,4.0,77.927,MEDIUM,1.0,1,18.0,25.3,61.0,1025.5,1.6,146
PER,5.0,136.76,MEDIUM,1.0,1,18.0,25.7,62.0,1025.5,2.8,173
PER,6.0,97.135,MEDIUM,2.0,1,18.0,25.8,62.0,1025.5,1.7,162
PER,7.0,77.15,MEDIUM,2.0,1,17.9,26.1,61.0,1025.6,0.8,343
PER,8.0,,MEDIUM,2.0,12,18.0,26.0,61.0,1025.6,0.5,61
PER,9.0,108.63,MEDIUM,3.0,1,18.0,26.1,60.0,1025.5,0.7,102
PER,10.0,83.138,MEDIUM,3.0,1,18.0,26.0,60.0,1025.6,0.9,146
PER,11.0,83.012,MEDIUM,3.0,1,18.0,25.6,60.0,1025.6,2.0,61
PER,12.0,82.783,MEDIUM,3.0,1,18.0,25.6,60.0,1025.4,1.4,149
PER,13.0,82.862,MEDIUM,3.0,1,18.1,25.8,60.0,1025.5,1.6,94
PER,14.0,82.394,MEDIUM,3.0,1,18.0,26.0,60.0,1025.4,1.1,146
PER,15.0,83.643,MEDIUM,3.0,1,18.0,26.0,60.0,1025.5,1.6,163
PER,16.0,84.087,MEDIUM,3.0,1,18.1,26.0,61.0,1025.4,1.9,151
PER,17.0,83.586,MEDIUM,3.0,1,18.1,26.0,62.0,1025.5,1.7,0
PER,18.0,83.67,MEDIUM,3.0,1,18.0,26.2,62.0,1025.5,0.8,92
PER,19.0,83.495,MEDIUM,3.0,1,18.0,26.2,62.0,1025.4,1.4,125
PER,20.0,,MEDIUM,3.0,1,18.1,26.0,60.0,1025.6,1.6,148
PER,21.0,100.521,SOFT,4.0,1,18.1,26.0,60.0,1025.5,1.2,140
PER,22.0,77.289,SOFT,4.0,1,18.1,26.0,60.0,1025.4,1.1,131
PER,23.0,143.629,SOFT,4.0,1,18.1,26.1,60.0,1025.4,1.0,150
PER,24.0,119.152,SOFT,5.0,1,18.0,26.0,60.0,1025.5,1.1,44
PER,25.0,77.014,SOFT,5.0,1,18.0,26.0,61.0,1025.5,1.1,109
PER,26.0,121.51,SOFT,5.0,1,18.0,26.0,61.0,1025.5,0.7,34
PER,27.0,142.484,SOFT,5.0,1,18.0,26.1,61.0,1025.4,1.0,155
PER,28.0,,SOFT,5.0,1,18.1,26.1,61.0,1025.4,1.0,346
