Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
STR,1.0,120.233,SOFT,1.0,1,18.6,34.5,54.0,1024.0,1.6,144
STR,2.0,88.608,SOFT,1.0,1,18.6,34.7,54.0,1024.0,1.0,0
STR,3.0,77.893,SOFT,1.0,1,18.7,34.8,54.0,1024.0,1.1,257
STR,4.0,103.735,SOFT,1.0,1,18.8,34.5,54.0,1024.0,1.6,173
STR,5.0,77.45,SOFT,1.0,1,18.8,34.5,54.0,1024.0,1.5,165
STR,6.0,,SOFT,1.0,1,18.8,34.9,53.0,1024.0,1.8,151
STR,7.0,110.107,SOFT,2.0,1,18.9,34.6,54.0,1024.0,2.2,136
STR,8.0,77.376,SOFT,2.0,1,18.8,34.6,54.0,1024.0,0.9,314
STR,9.0,,SOFT,2.0,1,18.7,34.6,54.0,1024.0,0.5,268
STR,10.0,130.803,SOFT,3.0,1,18.8,34.6,54.0,1024.0,1.0,167
STR,11.0,84.952,SOFT,3.0,1,18.7,34.8,55.0,1024.1,1.4,159
STR,12.0,77.114,SOFT,3.0,1,18.7,34.8,55.0,1023.9,2.6,151
STR,13.0,,SOFT,3.0,1,18.7,35.1,55.0,1023.9,1.8,130
STR,14.0,96.718,SOFT,4.0,1,18.7,35.1,54.0,1024.0,1.3,100
STR,15.0,77.064,SOFT,4.0,1,18.8,35.1,54.0,1024.2,2.3,165
STR,16.0,101.977,SOFT,4.0,1,18.9,34.7,53.0,1024.0,1.0,220
STR,17.0,76.78,SOFT,4.0,1,18.8,34.9,53.0,1023.9,1.0,152
STR,18.0,,SOFT,4.0,1,18.8,34.9,54.0,1024.0,1.4,142
STR,19.0,89.937,SOFT,5.0,1,18.8,34.9,54.0,1024.0,1.5,141
STR,20.0,77.201,SOFT,5.0,1,18.8,35.2,54.0,1023.9,1.9,185
STR,21.0,104.866,SOFT,5.0,1,18.8,35.2,53.0,1023.9,2.3,126
STR,22.0,77.072,SOFT,5.0,1,18.8,35.1,53.0,1023.8,1.4,140
