Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
PIA,1.0,91.036,MEDIUM,1.0,1,19.0,37.0,49.0,1021.6,0.4,306
PIA,2.0,83.232,MEDIUM,1.0,1,19.0,37.0,48.0,1021.6,0.5,0
PIA,3.0,82.669,MEDIUM,1.0,1,19.0,37.0,48.0,1021.5,0.7,93
PIA,4.0,82.581,MEDIUM,1.0,1,19.0,37.7,49.0,1021.5,0.7,127
PIA,5.0,82.594,MEDIUM,1.0,1,19.0,38.0,49.0,1021.5,1.1,207
PIA,6.0,82.582,MEDIUM,1.0,1,19.1,37.9,49.0,1021.6,1.2,44
PIA,7.0,82.877,MEDIUM,1.0,1,19.1,37.8,48.0,1021.7,1.0,302
PIA,8.0,83.052,MEDIUM,1.0,1,19.2,37.5,48.0,1021.6,0.5,298
PIA,9.0,96.501,MEDIUM,1.0,1,19.3,37.3,48.0,1021.5,0.7,0
PIA,10.0,87.799,HARD,2.0,1,19.4,37.6,49.0,1021.5,0.9,77
PIA,11.0,82.728,HARD,2.0,1,19.4,37.6,49.0,1021.6,0.7,0
PIA,12.0,82.948,HARD,2.0,1,19.4,38.1,48.0,1021.5,0.7,259
PIA,13.0,82.426,HARD,2.0,1,19.4,38.1,47.0,1021.5,0.8,220
PIA,14.0,81.968,HARD,2.0,1,19.5,37.9,46.0,1021.5,0.9,180
PIA,15.0,81.961,HARD,2.0,1,19.5,37.9,46.0,1021.4,0.5,242
PIA,16.0,82.015,HARD,2.0,1,19.3,37.9,46.0,1021.4,0.8,303
PIA,17.0,96.822,HARD,2.0,126,19.3,38.0,46.0,1021.4,1.6,316
PIA,18.0,88.994,HARD,2.0,671,19.3,38.2,48.0,1021.3,1.4,150
PIA,19.0,81.871,HARD,2.0,1,19.2,39.2,47.0,1021.3,0.6,249
PIA,20.0,82.085,HARD,2.0,1,19.4,39.2,47.0,1021.3,0.6,249
PIA,21.0,81.923,HARD,2.0,1,19.5,39.2,46.0,1021.4,1.0,18
PIA,22.0,82.013,HARD,2.0,1,19.6,39.2,45.0,1021.4,1.2,307
PIA,23.0,81.817,HARD,2.0,1,19.6,38.5,46.0,1021.3,0.8,145
PIA,24.0,81.83,HARD,2.0,1,19.5,38.3,47.0,1021.3,0.0,196
PIA,25.0,81.597,HARD,2.0,1,19.7,38.5,46.0,1021.2,0.5,293
PIA,26.0,82.243,HARD,2.0,1,19.8,39.0,46.0,1021.2,1.0,304
PIA,27.0,82.287,HARD,2.0,1,19.6,36.9,46.0,1021.1,2.2,304
PIA,28.0,82.204,HARD,2.0,1,19.5,36.7,47.0,1021.2,1.2,301
PIA,29.0,83.479,HARD,2.0,1,19.5,37.4,47.0,1021.1,1.2,239
PIA,30.0,82.52,HARD,2.0,1,19.5,38.5,47.0,1021.1,1.0,299
PIA,31.0,82.133,HARD,2.0,1,19.6,38.5,47.0,1021.0,0.4,0
PIA,32.0,81.989,HARD,2.0,1,19.7,38.8,46.0,1021.1,0.9,225
PIA,33.0,82.1,HARD,2.0,1,19.7,38.8,46.0,1021.0,0.7,198
PIA,34.0,82.238,HARD,2.0,1,19.7,38.8,47.0,1021.0,1.4,244
PIA,35.0,82.059,HARD,2.0,1,19.8,38.7,47.0,1020.9,0.0,159
PIA,36.0,82.047,HARD,2.0,1,19.9,39.2,46.0,1020.9,0.3,36
PIA,37.0,81.89,HARD,2.0,1,20.0,39.2,45.0,1020.8,0.0,5
PIA,38.0,85.203,HARD,2.0,1,20.1,39.2,45.0,1020.9,0.4,166
PIA,39.0,96.781,HARD,2.0,1,20.2,39.3,45.0,1020.9,1.2,213
PIA,40.0,86.93,HARD,3.0,1,20.2,39.6,45.0,1020.9,0.7,281
PIA,41.0,81.424,HARD,3.0,1,20.2,39.5,46.0,1020.9,1.0,202
PIA,42.0,81.08,HARD,3.0,1,20.3,38.7,45.0,1021.0,1.0,172
PIA,43.0,80.485,HARD,3.0,1,20.2,38.7,45.0,1020.9,1.4,0
PIA,44.0,80.395,HARD,3.0,1,20.2,38.7,45.0,1020.9,0.0,222
PIA,45.0,80.223,HARD,3.0,1,20.2,38.1,45.0,1020.9,0.7,167
PIA,46.0,80.615,HARD,3.0,1,20.3,37.1,44.0,1020.9,0.8,29
PIA,47.0,80.682,HARD,3.0,1,20.3,37.5,44.0,1020.9,0.9,188
PIA,48.0,80.588,HARD,3.0,1,20.3,38.0,45.0,1020.8,0.4,203
PIA,49.0,80.352,HARD,3.0,1,20.3,38.6,45.0,1020.9,0.6,0
PIA,50.0,80.496,HARD,3.0,1,20.3,38.7,44.0,1020.9,0.8,272
PIA,51.0,80.718,HARD,3.0,1,20.2,38.7,44.0,1020.8,0.7,0
PIA,52.0,80.295,HARD,3.0,1,20.2,38.2,44.0,1020.8,0.9,27
PIA,53.0,80.308,HARD,3.0,1,20.3,38.1,44.0,1020.9,0.8,346
PIA,54.0,80.199,HARD,3.0,1,20.4,38.7,45.0,1020.9,1.0,303
PIA,55.0,80.754,HARD,3.0,1,20.4,39.2,45.0,1020.9,1.2,332
PIA,56.0,80.357,HARD,3.0,1,20.4,39.2,45.0,1020.8,0.7,341
PIA,57.0,85.255,HARD,3.0,126,20.5,39.1,44.0,1020.8,0.7,151
PIA,58.0,124.363,HARD,3.0,6,20.4,39.1,44.0,1020.9,0.9,299
