Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
LEC,1.0,,HARD,1.0,1,23.4,30.7,62.0,940.7,2.0,104
LEC,2.0,68.886,HARD,1.0,1,23.2,30.7,63.0,940.7,1.7,103
LEC,3.0,92.453,HARD,1.0,1,23.0,31.3,63.0,940.8,1.9,97
LEC,4.0,67.785,HARD,1.0,1,22.9,31.3,63.0,940.8,2.2,93
LEC,5.0,108.634,HARD,1.0,1,22.9,31.3,63.0,940.8,2.1,116
LEC,6.0,67.476,HARD,1.0,1,22.9,30.8,63.0,940.9,2.3,102
LEC,7.0,113.898,HARD,1.0,1,22.8,30.8,64.0,940.8,2.6,108
LEC,8.0,123.906,HARD,2.0,1,22.8,31.3,64.0,940.8,2.4,108
LEC,9.0,82.514,HARD,2.0,1,22.8,31.3,64.0,940.7,2.4,124
LEC,10.0,87.839,HARD,2.0,1,22.7,31.5,63.0,940.8,2.5,96
LEC,11.0,85.105,HARD,2.0,1,22.6,31.3,62.0,940.9,2.2,91
LEC,12.0,66.901,HARD,2.0,1,22.4,31.5,63.0,940.9,2.0,90
LEC,13.0,88.836,HARD,2.0,1,22.3,31.7,61.0,940.8,2.7,97
LEC,14.0,,HARD,3.0,1,22.1,31.5,62.0,940.8,2.4,101
LEC,15.0,,HARD,3.0,15,22.1,31.7,62.0,940.8,2.5,112
LEC,16.0,,HARD,4.0,1,22.0,31.7,62.0,940.8,3.2,110
LEC,17.0,68.814,HARD,4.0,1,21.9,31.7,62.0,940.8,3.0,86
LEC,18.0,69.328,HARD,4.0,1,22.0,31.7,62.0,940.8,2.1,119
LEC,19.0,69.405,HARD,4.0,1,21.9,32.1,62.0,940.8,2.7,113
LEC,20.0,69.172,HARD,4.0,1,21.9,32.1,62.0,940.8,2.4,104
LEC,21.0,69.395,HARD,4.0,1,22.0,32.1,61.0,940.7,2.8,107
LEC,22.0,69.041,HARD,4.0,1,22.1,31.9,62.0,940.7,2.4,90
LEC,23.0,74.665,HARD,4.0,1,22.2,32.2,62.0,940.8,2.5,107
LEC,24.0,,SOFT,5.0,1,22.4,33.0,61.0,940.8,2.4,104
LEC,25.0,66.055,SOFT,5.0,1,22.4,33.5,60.0,940.7,2.7,95
LEC,26.0,108.475,SOFT,5.0,1,22.5,33.7,59.0,940.7,2.6,111
LEC,27.0,123.001,SOFT,6.0,1,22.5,33.9,59.0,940.7,2.3,117
LEC,28.0,66.343,SOFT,6.0,1,22.6,34.2,58.0,940.7,2.4,108
LEC,29.0,82.645,SOFT,6.0,1,22.7,34.3,58.0,940.8,2.6,94
LEC,30.0,133.687,SOFT,6.0,1,22.9,34.3,58.0,940.7,3.3,104
LEC,31.0,83.9,SOFT,6.0,1,22.9,35.7,58.0,940.8,2.3,85
