Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
PIA,1.0,,SOFT,1.0,1,31.5,47.5,37.0,938.8,1.4,306
PIA,2.0,65.918,SOFT,1.0,1,31.4,47.2,38.0,938.7,2.4,1
PIA,3.0,89.838,SOFT,1.0,1,31.3,47.3,38.0,938.8,1.9,333
PIA,4.0,,SOFT,2.0,1,31.3,47.5,38.0,938.8,1.4,283
PIA,5.0,65.311,SOFT,2.0,1,31.3,47.1,38.0,938.7,1.1,282
PIA,6.0,90.399,SOFT,2.0,1,31.4,47.0,38.0,938.8,0.9,288
PIA,7.0,,SOFT,3.0,1,31.4,47.5,39.0,938.7,2.4,299
PIA,8.0,65.07,SOFT,3.0,1,31.5,47.5,38.0,938.7,1.3,308
PIA,9.0,87.504,SOFT,3.0,1,31.6,47.2,38.0,938.8,1.3,311
PIA,10.0,,SOFT,4.0,1,31.6,46.8,38.0,938.7,1.7,340
PIA,11.0,87.332,SOFT,4.0,1,31.5,47.2,38.0,938.6,1.9,0
PIA,12.0,,SOFT,5.0,1,31.6,47.2,38.0,938.7,1.6,333
PIA,13.0,65.048,SOFT,5.0,1,31.5,47.2,38.0,938.7,1.2,318
PIA,14.0,87.906,SOFT,5.0,1,31.4,47.4,38.0,938.8,1.2,71
PIA,15.0,,SOFT,6.0,1,31.4,47.4,38.0,938.7,0.7,339
PIA,16.0,64.786,SOFT,6.0,1,31.4,47.1,38.0,938.7,0.9,350
PIA,17.0,,SOFT,6.0,1,31.4,47.2,38.0,938.7,1.2,4
