Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
RUS,1.0,74.401,MEDIUM,1.0,1,29.1,46.2,36.0,932.9,1.8,272
RUS,2.0,70.58,MEDIUM,1.0,1,29.0,45.9,35.0,932.8,2.3,346
RUS,3.0,70.441,MEDIUM,1.0,1,29.0,45.5,36.0,932.9,1.7,235
RUS,4.0,70.467,MEDIUM,1.0,1,28.9,45.3,36.0,932.9,1.4,6
RUS,5.0,70.193,MEDIUM,1.0,1,28.9,45.2,36.0,933.0,2.2,318
RUS,6.0,71.033,MEDIUM,1.0,1,28.8,45.5,36.0,933.0,2.5,302
RUS,7.0,70.682,MEDIUM,1.0,1,28.8,45.8,36.0,932.9,1.8,313
RUS,8.0,70.655,MEDIUM,1.0,1,28.9,46.1,36.0,933.0,1.9,330
RUS,9.0,70.628,MEDIUM,1.0,1,28.8,46.1,35.0,932.9,2.0,295
RUS,10.0,71.263,MEDIUM,1.0,1,28.9,46.1,36.0,932.8,2.5,335
RUS,11.0,71.281,MEDIUM,1.0,1,28.9,46.5,36.0,932.9,2.4,38
RUS,12.0,71.135,MEDIUM,1.0,1,28.9,46.6,36.0,932.9,1.3,296
RUS,13.0,71.321,MEDIUM,1.0,1,29.0,46.5,36.0,932.8,1.9,329
RUS,14.0,71.44,MEDIUM,1.0,1,29.0,46.8,36.0,932.8,2.0,335
RUS,15.0,71.471,MEDIUM,1.0,1,29.1,46.8,36.0,932.9,2.4,350
RUS,16.0,71.382,MEDIUM,1.0,1,29.1,46.8,36.0,932.8,1.9,297
RUS,17.0,71.459,MEDIUM,1.0,1,29.1,47.0,36.0,932.7,2.3,272
RUS,18.0,71.297,MEDIUM,1.0,1,29.2,46.5,36.0,932.8,1.8,327
RUS,19.0,71.569,MEDIUM,1.0,1,29.2,46.5,35.0,932.8,2.0,321
RUS,20.0,71.531,MEDIUM,1.0,1,29.1,46.7,36.0,932.9,2.0,335
RUS,21.0,71.641,MEDIUM,1.0,1,29.2,46.5,36.0,932.8,1.8,320
RUS,22.0,75.077,MEDIUM,1.0,1,29.2,46.5,36.0,932.8,1.4,323
RUS,23.0,86.769,MEDIUM,2.0,1,29.1,46.5,36.0,932.9,1.8,317
RUS,24.0,69.563,MEDIUM,2.0,1,29.0,46.7,36.0,932.9,2.0,12
RUS,25.0,69.792,MEDIUM,2.0,1,29.0,46.7,36.0,932.9,1.7,5
RUS,26.0,70.037,MEDIUM,2.0,1,29.0,46.9,36.0,932.9,1.8,269
RUS,27.0,69.864,MEDIUM,2.0,1,29.0,46.9,35.0,932.8,1.8,312
RUS,28.0,70.085,MEDIUM,2.0,1,29.0,46.7,36.0,932.9,2.0,351
RUS,29.0,70.157,MEDIUM,2.0,1,29.0,46.5,36.0,932.8,2.6,335
RUS,30.0,70.18,MEDIUM,2.0,1,29.0,46.2,36.0,932.8,1.9,317
RUS,31.0,69.936,MEDIUM,2.0,1,29.1,46.2,37.0,932.8,2.3,322
RUS,32.0,70.219,MEDIUM,2.0,1,29.1,47.3,36.0,932.6,1.7,281
RUS,33.0,70.093,MEDIUM,2.0,1,29.1,47.3,36.0,932.7,2.1,10
