Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
VER,1.0,,MEDIUM,1.0,1,26.1,39.0,54.0,941.7,0.7,114
VER,2.0,69.122,MEDIUM,1.0,1,26.1,38.9,54.0,941.8,0.0,0
VER,3.0,69.301,MEDIUM,1.0,1,26.3,38.8,54.0,941.7,0.3,260
VER,4.0,69.096,MEDIUM,1.0,1,26.4,39.0,54.0,941.7,0.5,330
VER,5.0,69.902,MEDIUM,1.0,1,26.5,40.3,54.0,941.7,1.1,305
VER,6.0,69.059,MEDIUM,1.0,1,26.6,40.3,54.0,941.7,0.5,8
VER,7.0,69.062,MEDIUM,1.0,1,26.6,40.4,53.0,941.8,0.4,280
VER,8.0,69.013,MEDIUM,1.0,1,26.7,40.7,54.0,941.7,0.7,305
VER,9.0,69.059,MEDIUM,1.0,1,26.8,40.3,53.0,941.7,1.0,301
VER,10.0,69.166,MEDIUM,1.0,1,26.8,40.3,54.0,941.6,0.9,31
VER,11.0,69.572,MEDIUM,1.0,1,26.8,40.7,54.0,941.6,0.8,262
VER,12.0,69.575,MEDIUM,1.0,1,26.9,40.7,54.0,941.6,1.1,276
VER,13.0,69.543,MEDIUM,1.0,1,27.0,39.7,54.0,941.6,0.6,13
VER,14.0,69.627,MEDIUM,1.0,1,27.0,40.2,55.0,941.6,0.4,293
VER,15.0,69.5,MEDIUM,1.0,1,26.9,40.5,55.0,941.6,0.9,0
VER,16.0,69.801,MEDIUM,1.0,1,27.0,40.6,54.0,941.7,0.5,19
VER,17.0,69.579,MEDIUM,1.0,1,27.1,41.1,53.0,941.5,1.2,0
VER,18.0,69.7,MEDIUM,1.0,1,27.3,41.4,53.0,941.5,0.4,306
VER,19.0,69.649,MEDIUM,1.0,1,27.3,41.4,53.0,941.6,1.1,291
VER,20.0,69.981,MEDIUM,1.0,1,27.3,40.9,52.0,941.6,1.0,303
VER,21.0,69.955,MEDIUM,1.0,1,27.4,40.9,54.0,941.5,1.3,327
VER,22.0,69.933,MEDIUM,1.0,1,27.5,41.4,54.0,941.5,0.9,210
VER,23.0,70.094,MEDIUM,1.0,1,27.5,41.4,54.0,941.6,0.3,322
