Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
OCO,1.0,,MEDIUM,1.0,1,27.3,41.9,42.0,940.3,0.8,134
OCO,2.0,66.343,MEDIUM,1.0,1,27.2,41.0,42.0,940.3,0.6,348
OCO,3.0,87.778,MEDIUM,1.0,1,27.2,40.7,43.0,940.3,0.5,0
OCO,4.0,,MEDIUM,2.0,1,27.3,40.7,44.0,940.3,0.6,314
OCO,5.0,66.451,MEDIUM,2.0,12,27.4,42.5,43.0,940.3,0.7,13
OCO,6.0,89.061,MEDIUM,2.0,1,27.5,43.0,43.0,940.3,0.7,346
OCO,7.0,,MEDIUM,3.0,1,27.5,43.7,42.0,940.3,1.3,333
OCO,8.0,65.686,MEDIUM,3.0,1,27.5,43.1,42.0,940.3,1.0,98
OCO,9.0,93.187,MEDIUM,3.0,1,27.5,43.2,42.0,940.3,0.8,55
OCO,10.0,,SOFT,4.0,1,27.4,43.9,41.0,940.3,0.8,86
OCO,11.0,66.101,SOFT,4.0,1,27.4,43.8,41.0,940.2,1.0,100
OCO,12.0,,SOFT,4.0,1,27.4,42.8,42.0,940.3,1.2,96
