Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
STR,1.0,,MEDIUM,1.0,1,28.9,41.2,33.0,1015.1,1.6,62
STR,2.0,134.182,MEDIUM,1.0,1,28.7,40.9,32.0,1015.1,1.8,94
STR,3.0,107.367,MEDIUM,1.0,1,28.8,40.6,31.0,1015.1,1.8,85
STR,4.0,,MEDIUM,1.0,12,28.7,40.0,30.0,1015.0,2.5,80
STR,5.0,106.413,MEDIUM,1.0,1,28.6,39.8,30.0,1015.1,2.6,115
STR,6.0,,MEDIUM,1.0,12,28.5,39.5,29.0,1015.2,1.9,42
STR,7.0,106.19,MEDIUM,1.0,12,28.4,39.2,29.0,1015.0,1.6,96
STR,8.0,129.243,MEDIUM,1.0,1,28.5,39.1,30.0,1015.0,0.8,171
STR,9.0,,SOFT,2.0,1,28.6,39.1,30.0,1015.0,1.3,57
STR,10.0,104.093,SOFT,2.0,1,28.6,39.1,29.0,1015.0,0.6,97
STR,11.0,143.67,SOFT,2.0,12,28.7,39.3,30.0,1015.1,0.7,80
STR,12.0,140.841,SOFT,2.0,21,28.8,39.1,30.0,1014.9,1.2,86
STR,13.0,105.293,SOFT,2.0,1,28.9,38.8,29.0,1015.1,1.4,54
STR,14.0,126.547,SOFT,2.0,1,29.0,38.4,31.0,1015.0,1.2,82
STR,15.0,,MEDIUM,3.0,12,28.8,38.5,31.0,1015.0,1.5,97
STR,16.0,109.846,MEDIUM,3.0,21,28.7,38.9,31.0,1014.9,1.6,85
STR,17.0,109.834,MEDIUM,3.0,1,28.8,38.4,31.0,1014.9,2.3,112
STR,18.0,133.502,MEDIUM,3.0,12,28.8,38.1,31.0,1014.9,1.9,101
STR,19.0,110.119,MEDIUM,3.0,1,28.8,38.0,30.0,1014.9,2.0,141
STR,20.0,110.256,MEDIUM,3.0,1,28.8,38.0,30.0,1014.9,0.8,100
STR,21.0,115.672,MEDIUM,3.0,1,28.9,38.1,30.0,1014.8,1.1,96
STR,22.0,133.604,MEDIUM,3.0,12,29.0,38.0,29.0,1015.0,0.8,85
STR,23.0,141.553,MEDIUM,3.0,1,29.2,37.6,29.0,1015.0,1.0,0
STR,24.0,,MEDIUM,3.0,1,29.0,37.6,29.0,1014.9,0.9,197
