Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
PER,1.0,,SOFT,1.0,1,26.8,37.4,43.0,1016.0,0.7,325
PER,2.0,103.436,SOFT,1.0,1,26.8,37.5,42.0,1016.0,0.8,57
PER,3.0,142.951,SOFT,1.0,1,27.1,37.5,42.0,1016.1,2.6,89
PER,4.0,122.289,SOFT,1.0,12,27.0,37.7,40.0,1016.1,1.7,97
PER,5.0,103.213,SOFT,1.0,12,27.0,37.6,40.0,1016.0,2.3,141
PER,6.0,128.321,SOFT,1.0,1,27.0,37.6,40.0,1016.0,1.5,91
PER,7.0,,SOFT,2.0,12,26.9,37.7,38.0,1016.0,2.4,106
PER,8.0,102.263,SOFT,2.0,1,27.0,37.9,38.0,1016.0,2.5,104
PER,9.0,136.809,SOFT,2.0,1,27.0,37.9,37.0,1016.1,1.8,107
PER,10.0,,SOFT,3.0,12,26.9,37.8,38.0,1016.0,1.6,95
PER,11.0,102.045,SOFT,3.0,1,26.9,37.8,39.0,1016.0,1.4,107
PER,12.0,127.853,SOFT,3.0,1,27.0,37.8,40.0,1016.1,0.9,69
PER,13.0,,SOFT,4.0,1,27.1,37.5,40.0,1016.1,1.1,95
PER,14.0,101.813,SOFT,4.0,1,27.1,37.5,40.0,1016.0,0.9,91
PER,15.0,,SOFT,4.0,1,27.1,37.6,40.0,1016.1,0.8,57
