Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
OCO,1.0,126.969,HARD,1.0,1,26.5,47.2,39.0,1017.7,1.4,63
OCO,2.0,113.518,HARD,1.0,1,26.6,47.2,39.0,1017.6,0.8,83
OCO,3.0,112.028,HARD,1.0,1,26.6,47.5,39.0,1017.6,0.8,141
OCO,4.0,111.514,HARD,1.0,1,26.9,47.5,38.0,1017.6,2.4,12
OCO,5.0,113.318,HARD,1.0,1,27.1,47.5,38.0,1017.7,1.8,267
OCO,6.0,111.59,HARD,1.0,1,27.0,46.6,37.0,1017.8,1.1,358
OCO,7.0,111.006,HARD,1.0,1,26.8,46.6,37.0,1017.6,1.2,148
OCO,8.0,111.396,HARD,1.0,1,26.6,46.6,38.0,1017.7,1.6,112
OCO,9.0,111.284,HARD,1.0,1,26.4,47.1,39.0,1017.6,1.5,80
OCO,10.0,111.515,HARD,1.0,1,26.4,47.0,39.0,1017.6,1.6,220
OCO,11.0,110.455,HARD,1.0,1,26.7,47.1,39.0,1017.8,0.5,62
OCO,12.0,110.578,HARD,1.0,1,26.7,47.0,38.0,1017.7,2.6,110
OCO,13.0,109.904,HARD,1.0,1,27.0,47.0,38.0,1017.7,1.8,339
OCO,14.0,110.542,HARD,1.0,1,26.9,46.1,39.0,1017.7,1.2,98
OCO,15.0,110.556,HARD,1.0,1,26.8,46.4,39.0,1017.8,1.1,244
OCO,16.0,111.138,HARD,1.0,1,26.9,47.1,38.0,1017.7,1.5,202
OCO,17.0,112.19,HARD,1.0,1,27.0,47.1,37.0,1017.7,1.4,179
OCO,18.0,110.598,HARD,1.0,1,26.9,47.4,38.0,1017.8,0.5,249
OCO,19.0,110.988,HARD,1.0,1,27.2,47.6,38.0,1017.7,1.2,186
OCO,20.0,110.801,HARD,1.0,1,27.5,47.5,38.0,1017.8,1.6,154
OCO,21.0,110.349,HARD,1.0,1,27.5,47.2,38.0,1017.7,1.2,220
OCO,22.0,110.499,HARD,1.0,1,27.4,46.6,39.0,1017.6,1.6,108
OCO,23.0,110.812,HARD,1.0,1,27.0,46.6,40.0,1017.6,1.0,144
OCO,24.0,110.527,HARD,1.0,1,27.0,45.6,41.0,1017.6,1.7,65
OCO,25.0,110.162,HARD,1.0,1,26.9,46.3,39.0,1017.5,2.7,112
OCO,26.0,109.944,HARD,1.0,1,26.7,46.3,39.0,1017.5,2.9,84
OCO,27.0,109.753,HARD,1.0,1,26.5,46.3,39.0,1017.7,4.0,88
OCO,28.0,109.607,HARD,1.0,1,26.6,46.3,40.0,1017.6,2.9,78
OCO,29.0,109.526,HARD,1.0,1,26.8,46.3,40.0,1017.6,1.1,81
OCO,30.0,109.485,HARD,1.0,1,27.1,45.7,40.0,1017.6,1.8,80
OCO,31.0,109.702,HARD,1.0,1,27.1,46.5,40.0,1017.7,1.6,232
OCO,32.0,109.419,HARD,1.0,1,26.9,46.5,40.0,1017.5,0.9,32
OCO,33.0,109.086,HARD,1.0,1,27.1,46.5,41.0,1017.5,1.4,151
OCO,34.0,109.383,HARD,1.0,1,27.3,46.5,41.0,1017.6,1.4,149
OCO,35.0,108.831,HARD,1.0,1,27.3,46.4,42.0,1017.6,1.1,219
OCO,36.0,115.839,HARD,1.0,12,27.5,46.7,42.0,1017.6,0.8,124
OCO,37.0,109.555,HARD,1.0,1,27.8,47.9,41.0,1017.5,0.5,53
OCO,38.0,109.112,HARD,1.0,1,28.2,46.7,39.0,1017.5,1.4,105
OCO,39.0,108.944,HARD,1.0,1,28.1,46.4,39.0,1017.6,1.4,128
OCO,40.0,109.273,HARD,1.0,1,27.7,46.4,40.0,1017.5,0.8,38
OCO,41.0,109.059,HARD,1.0,1,27.8,46.7,40.0,1017.6,0.9,122
OCO,42.0,109.315,HARD,1.0,1,27.3,45.9,43.0,1017.6,0.8,186
OCO,43.0,108.994,HARD,1.0,1,27.3,39.9,41.0,1017.6,1.0,215
OCO,44.0,109.269,HARD,1.0,1,27.1,39.3,41.0,1017.7,0.9,0
OCO,45.0,109.018,HARD,1.0,1,26.8,44.5,43.0,1017.6,0.9,101
OCO,46.0,109.419,HARD,1.0,1,26.9,45.6,43.0,1017.6,1.3,0
OCO,47.0,109.507,HARD,1.0,1,27.3,46.4,41.0,1017.6,1.0,111
OCO,48.0,111.775,HARD,1.0,1,27.0,46.1,42.0,1017.6,1.5,332
OCO,49.0,115.188,HARD,1.0,126,27.2,45.1,42.0,1017.5,1.2,27
OCO,50.0,,SOFT,2.0,6,26.9,45.3,42.0,1017.6,1.0,189
