Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
STR,1.0,,SOFT,1.0,1,17.1,23.4,46.0,1017.0,2.5,95
STR,2.0,91.691,SOFT,1.0,1,17.1,23.3,46.0,1017.0,2.4,78
STR,3.0,141.51,SOFT,1.0,1,17.2,23.2,46.0,1017.1,1.8,104
STR,4.0,91.693,SOFT,1.0,1,17.2,23.2,46.0,1017.0,3.3,83
STR,5.0,134.171,SOFT,1.0,1,17.1,23.2,45.0,1017.0,2.6,134
STR,6.0,122.221,SOFT,1.0,1,17.1,23.1,45.0,1017.1,2.3,77
STR,7.0,92.479,SOFT,1.0,1,17.1,23.1,45.0,1017.1,3.2,54
STR,8.0,103.35,SOFT,1.0,1,17.1,23.0,45.0,1017.0,2.0,67
STR,9.0,,SOFT,2.0,1,17.1,23.1,45.0,1017.2,2.1,81
STR,10.0,146.673,SOFT,2.0,1,17.1,23.0,43.0,1017.1,2.2,100
STR,11.0,90.891,SOFT,2.0,1,17.1,23.0,43.0,1017.0,3.0,84
STR,12.0,111.98,SOFT,2.0,1,17.1,22.9,42.0,1017.1,2.6,95
STR,13.0,,SOFT,3.0,1,17.1,22.9,41.0,1017.0,3.5,67
STR,14.0,97.076,SOFT,3.0,1,17.2,22.8,41.0,1017.0,2.5,84
STR,15.0,97.391,SOFT,3.0,1,17.2,22.8,41.0,1017.1,2.3,75
STR,16.0,97.179,SOFT,3.0,1,17.2,22.7,40.0,1017.1,2.7,62
STR,17.0,97.193,SOFT,3.0,1,17.2,22.6,40.0,1017.1,2.0,63
STR,18.0,97.75,SOFT,3.0,1,17.2,22.7,40.0,1017.1,2.9,47
STR,19.0,97.957,SOFT,3.0,1,17.2,22.7,40.0,1017.2,2.6,82
STR,20.0,97.894,SOFT,3.0,1,17.2,22.7,40.0,1017.2,1.9,62
STR,21.0,97.724,SOFT,3.0,1,17.2,22.7,41.0,1017.2,2.0,82
STR,22.0,97.875,SOFT,3.0,1,17.2,22.7,41.0,1017.3,1.9,62
STR,23.0,98.334,SOFT,3.0,1,17.3,22.6,41.0,1017.1,2.1,92
STR,24.0,98.566,SOFT,3.0,1,17.3,22.6,41.0,1017.3,2.0,67
STR,25.0,126.109,SOFT,3.0,1,17.2,22.6,41.0,1017.3,1.4,99
STR,26.0,,SOFT,3.0,1,17.2,22.6,41.0,1017.2,2.3,47
