Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
VER,1.0,,SOFT,1.0,1,18.2,22.2,48.0,1018.8,2.7,53
VER,2.0,90.031,SOFT,1.0,1,18.1,22.2,48.0,1018.8,2.9,51
VER,3.0,128.726,SOFT,1.0,1,18.1,22.2,48.0,1018.8,2.1,57
VER,4.0,,SOFT,2.0,1,18.1,22.2,48.0,1018.8,2.4,48
VER,5.0,90.16,SOFT,2.0,1,18.1,22.2,48.0,1018.8,2.3,45
VER,6.0,102.855,SOFT,2.0,1,18.1,22.2,48.0,1018.8,2.3,45
VER,7.0,,SOFT,3.0,1,18.1,22.0,48.0,1018.8,3.1,40
VER,8.0,89.374,SOFT,3.0,1,18.1,22.0,48.0,1018.8,3.1,47
VER,9.0,116.873,SOFT,3.0,1,18.1,22.0,48.0,1018.8,2.9,60
VER,10.0,,SOFT,4.0,1,18.1,22.0,48.0,1018.8,2.5,42
VER,11.0,97.787,SOFT,4.0,1,18.1,22.0,48.0,1018.8,2.8,37
VER,12.0,,SOFT,5.0,1,18.1,22.0,48.0,1018.7,2.4,49
VER,13.0,89.421,SOFT,5.0,1,18.1,22.0,48.0,1018.8,2.9,45
VER,14.0,112.745,SOFT,5.0,1,18.1,22.0,48.0,1018.9,2.8,53
VER,15.0,,SOFT,6.0,1,18.1,21.9,48.0,1018.8,2.5,59
VER,16.0,89.179,SOFT,6.0,1,18.1,21.8,48.0,1018.9,2.8,60
VER,17.0,119.683,SOFT,6.0,1,18.1,21.8,48.0,1018.9,2.0,73
