Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
STR,1.0,110.214,SOFT,1.0,12,18.9,26.5,46.0,1017.1,0.9,162
STR,2.0,97.987,SOFT,1.0,1,18.9,26.5,46.0,1017.0,1.0,55
STR,3.0,98.279,SOFT,1.0,1,18.9,26.5,46.0,1017.0,1.0,55
STR,4.0,98.364,SOFT,1.0,1,18.9,26.2,45.0,1017.0,1.1,85
STR,5.0,98.725,SOFT,1.0,1,18.9,26.2,46.0,1017.0,1.0,178
STR,6.0,98.925,SOFT,1.0,1,18.9,26.2,46.0,1017.0,1.0,178
STR,7.0,98.769,SOFT,1.0,1,18.9,26.1,46.0,1017.0,1.5,56
STR,8.0,98.857,SOFT,1.0,1,18.9,26.2,46.0,1017.0,0.8,155
STR,9.0,102.112,SOFT,1.0,1,18.9,26.2,46.0,1017.0,0.9,15
STR,10.0,117.815,HARD,2.0,12,18.9,26.0,46.0,1017.0,1.0,51
STR,11.0,96.494,HARD,2.0,1,18.9,25.8,46.0,1017.0,1.6,147
STR,12.0,97.175,HARD,2.0,1,18.8,25.7,47.0,1017.0,1.1,84
STR,13.0,97.289,HARD,2.0,1,18.8,25.7,47.0,1017.1,1.0,64
STR,14.0,97.624,HARD,2.0,1,18.7,25.8,47.0,1017.0,0.8,26
STR,15.0,97.533,HARD,2.0,1,18.8,25.8,46.0,1017.0,1.3,143
STR,16.0,98.027,HARD,2.0,1,18.8,25.7,46.0,1017.1,1.4,36
STR,17.0,98.777,HARD,2.0,1,18.7,25.6,46.0,1017.1,0.6,216
STR,18.0,97.417,HARD,2.0,1,18.7,25.6,46.0,1017.0,0.5,37
STR,19.0,97.554,HARD,2.0,1,18.7,25.6,46.0,1017.0,1.1,27
STR,20.0,97.859,HARD,2.0,1,18.7,25.5,46.0,1017.0,1.0,48
STR,21.0,98.022,HARD,2.0,1,18.7,25.5,46.0,1016.9,0.8,147
STR,22.0,98.175,HARD,2.0,1,18.7,25.5,46.0,1017.0,1.0,162
STR,23.0,97.826,HARD,2.0,1,18.7,25.4,46.0,1017.0,1.2,140
STR,24.0,98.138,HARD,2.0,1,18.7,25.4,46.0,1017.0,1.3,182
STR,25.0,97.994,HARD,2.0,1,18.7,25.4,46.0,1017.0,1.4,144
STR,26.0,98.133,HARD,2.0,1,18.7,25.4,46.0,1017.0,1.4,14
STR,27.0,100.71,HARD,2.0,1,18.7,25.4,46.0,1017.0,1.1,180
STR,28.0,116.64,HARD,3.0,1,18.6,25.5,46.0,1017.1,0.4,77
STR,29.0,95.854,HARD,3.0,1,18.6,25.3,46.0,1017.1,0.6,0
STR,30.0,95.632,HARD,3.0,1,18.6,25.3,46.0,1017.1,0.7,39
STR,31.0,96.202,HARD,3.0,1,18.6,25.0,46.0,1017.0,0.4,332
STR,32.0,95.821,HARD,3.0,1,18.6,25.0,46.0,1017.0,0.9,45
STR,33.0,96.349,HARD,3.0,1,18.6,24.9,46.0,1017.0,1.4,35
STR,34.0,96.332,HARD,3.0,1,18.6,24.9,46.0,1017.0,1.3,59
STR,35.0,96.242,HARD,3.0,1,18.6,24.9,46.0,1017.0,0.9,36
STR,36.0,96.086,HARD,3.0,1,18.5,24.7,46.0,1017.0,1.6,44
STR,37.0,95.987,HARD,3.0,1,18.5,24.7,47.0,1017.0,1.6,53
STR,38.0,96.364,HARD,3.0,1,18.5,24.7,47.0,1017.0,1.0,44
STR,39.0,96.353,HARD,3.0,1,18.5,24.6,47.0,1017.1,1.4,39
STR,40.0,96.485,HARD,3.0,1,18.5,24.7,47.0,1017.1,1.3,0
STR,41.0,96.322,HARD,3.0,1,18.5,24.7,47.0,1017.0,0.5,26
STR,42.0,96.343,HARD,3.0,1,18.5,24.5,47.0,1017.1,0.8,48
STR,43.0,96.304,HARD,3.0,1,18.5,24.5,47.0,1017.0,1.8,30
STR,44.0,96.564,HARD,3.0,1,18.5,24.5,47.0,1017.1,1.5,113
STR,45.0,96.243,HARD,3.0,1,18.4,24.3,48.0,1017.1,1.2,40
STR,46.0,96.379,HARD,3.0,1,18.4,24.3,49.0,1017.0,1.6,23
STR,47.0,96.298,HARD,3.0,1,18.4,24.3,49.0,1017.0,0.9,43
STR,48.0,97.325,HARD,3.0,1,18.4,24.2,49.0,1017.0,1.8,28
STR,49.0,96.871,HARD,3.0,1,18.4,24.1,49.0,1017.0,1.6,22
STR,50.0,96.541,HARD,3.0,1,18.4,24.1,49.0,1017.0,1.3,40
STR,51.0,96.763,HARD,3.0,1,18.4,24.2,49.0,1017.0,1.6,57
STR,52.0,96.934,HARD,3.0,1,18.4,24.1,49.0,1017.0,1.6,71
STR,53.0,96.64,HARD,3.0,1,18.4,24.0,49.0,1017.0,2.0,42
STR,54.0,96.693,HARD,3.0,1,18.4,23.9,49.0,1017.0,1.8,26
STR,55.0,96.68,HARD,3.0,1,18.3,23.8,49.0,1017.1,1.8,30
STR,56.0,96.582,HARD,3.0,1,18.4,23.7,49.0,1017.0,2.1,32
STR,57.0,97.335,HARD,3.0,1,18.3,23.7,49.0,1017.0,1.6,37
