Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HAM,1.0,,MEDIUM,1.0,1,21.4,35.7,62.0,964.6,0.6,285
HAM,2.0,105.888,MEDIUM,1.0,12,21.4,35.2,62.0,964.6,0.8,178
HAM,3.0,,MEDIUM,1.0,1,21.4,35.7,63.0,964.6,1.6,206
HAM,4.0,141.107,MEDIUM,1.0,1,21.4,36.0,64.0,964.7,2.4,181
HAM,5.0,105.207,MEDIUM,1.0,1,21.5,36.9,63.0,964.6,1.1,71
HAM,6.0,129.863,MEDIUM,1.0,1,21.6,36.4,62.0,964.7,0.7,232
HAM,7.0,,SOFT,2.0,1,21.5,36.2,63.0,964.6,1.4,0
HAM,8.0,104.279,SOFT,2.0,1,21.6,36.4,63.0,964.6,0.0,267
HAM,9.0,,SOFT,2.0,1,21.5,36.5,65.0,964.7,2.4,28
HAM,10.0,125.221,SOFT,2.0,1,21.5,36.1,65.0,964.6,0.5,357
HAM,11.0,,MEDIUM,3.0,1,21.5,36.0,64.0,964.5,1.5,46
HAM,12.0,111.263,MEDIUM,3.0,1,21.5,36.0,65.0,964.7,2.5,335
HAM,13.0,109.232,MEDIUM,3.0,1,21.5,36.1,63.0,964.7,2.5,195
HAM,14.0,109.417,MEDIUM,3.0,1,21.5,36.4,64.0,964.7,1.7,252
HAM,15.0,116.858,MEDIUM,3.0,1,21.6,36.6,64.0,964.6,1.1,174
HAM,16.0,129.74,MEDIUM,4.0,1,21.7,36.8,65.0,964.7,0.6,205
HAM,17.0,110.338,MEDIUM,4.0,1,21.7,37.3,63.0,964.6,1.1,139
HAM,18.0,111.118,MEDIUM,4.0,1,21.6,37.3,60.0,964.7,1.2,18
HAM,19.0,111.927,MEDIUM,4.0,1,21.6,37.2,60.0,964.7,1.8,25
HAM,20.0,,MEDIUM,4.0,1,21.7,37.4,62.0,964.7,2.0,118
HAM,21.0,,MEDIUM,4.0,1,21.7,38.5,60.0,964.7,1.5,137
