Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
OCO,1.0,,INTERMEDIATE,1.0,1,18.1,22.7,93.0,966.4,0.0,326
OCO,2.0,118.598,INTERMEDIATE,1.0,1,18.2,22.3,92.0,966.3,0.9,243
OCO,3.0,117.449,INTERMEDIATE,1.0,1,18.1,22.3,92.0,966.3,0.3,0
OCO,4.0,132.742,INTERMEDIATE,1.0,1,18.1,22.3,92.0,966.4,0.4,234
OCO,5.0,,INTERMEDIATE,2.0,1,18.1,22.3,93.0,966.4,0.8,311
OCO,6.0,115.964,INTERMEDIATE,2.0,1,18.1,22.2,92.0,966.4,0.7,0
OCO,7.0,,INTERMEDIATE,2.0,1,18.2,22.3,92.0,966.4,0.6,38
OCO,8.0,115.417,INTERMEDIATE,2.0,1,18.2,22.4,92.0,966.4,1.1,306
OCO,9.0,140.043,INTERMEDIATE,2.0,1,18.2,22.1,92.0,966.4,0.6,276
OCO,10.0,,INTERMEDIATE,3.0,1,18.2,21.9,92.0,966.4,1.5,0
OCO,11.0,114.785,INTERMEDIATE,3.0,1,18.1,22.0,93.0,966.4,0.7,129
OCO,12.0,137.624,INTERMEDIATE,3.0,1,18.2,22.0,92.0,966.4,1.1,233
OCO,13.0,116.144,INTERMEDIATE,3.0,1,18.2,22.0,92.0,966.4,0.7,207
OCO,14.0,133.488,INTERMEDIATE,3.0,1,18.1,22.1,92.0,966.4,0.7,176
OCO,15.0,145.17,INTERMEDIATE,4.0,1,18.1,22.0,92.0,966.5,0.9,0
OCO,16.0,114.46,INTERMEDIATE,4.0,1,18.0,22.1,93.0,966.3,0.4,28
OCO,17.0,141.305,INTERMEDIATE,4.0,1,18.0,22.3,92.0,966.3,1.4,81
OCO,18.0,,INTERMEDIATE,5.0,1,18.0,22.3,92.0,966.3,0.6,141
OCO,19.0,114.81,INTERMEDIATE,5.0,1,18.0,22.3,92.0,966.3,0.3,138
OCO,20.0,130.439,INTERMEDIATE,5.0,1,18.0,22.2,91.0,966.3,0.9,137
OCO,21.0,,INTERMEDIATE,6.0,1,18.1,21.9,92.0,966.2,1.4,110
OCO,22.0,114.958,INTERMEDIATE,6.0,1,18.1,21.8,92.0,966.3,2.2,169
OCO,23.0,,INTERMEDIATE,6.0,1,18.0,21.7,92.0,966.4,2.2,184
