Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
RUS,1.0,114.763,MEDIUM,1.0,1,21.0,42.1,52.0,978.1,0.5,217
RUS,2.0,110.16,MEDIUM,1.0,1,20.6,42.1,53.0,978.0,1.1,0
RUS,3.0,110.012,MEDIUM,1.0,1,20.6,42.2,52.0,978.0,0.7,284
RUS,4.0,110.057,MEDIUM,1.0,1,20.7,42.0,51.0,978.1,1.4,244
RUS,5.0,110.185,MEDIUM,1.0,1,20.7,41.1,51.0,978.1,1.2,13
RUS,6.0,110.09,MEDIUM,1.0,1,20.6,41.1,51.0,978.1,1.5,328
RUS,7.0,109.912,MEDIUM,1.0,1,20.8,40.5,50.0,978.1,1.8,21
RUS,8.0,110.548,MEDIUM,1.0,1,20.9,39.9,50.0,978.1,1.3,328
RUS,9.0,110.142,MEDIUM,1.0,1,20.9,40.1,51.0,978.2,1.3,314
RUS,10.0,114.652,MEDIUM,1.0,1,20.9,40.5,51.0,978.1,0.9,285
RUS,11.0,122.456,HARD,2.0,1,21.0,40.9,51.0,978.2,1.2,203
RUS,12.0,109.872,HARD,2.0,1,20.9,41.5,50.0,978.1,0.9,204
RUS,13.0,108.702,HARD,2.0,1,20.8,41.5,51.0,978.0,0.9,177
RUS,14.0,108.265,HARD,2.0,1,20.8,41.5,51.0,978.1,0.9,127
RUS,15.0,108.315,HARD,2.0,12,20.9,41.8,51.0,978.0,1.4,152
RUS,16.0,108.606,HARD,2.0,1,21.0,41.9,50.0,978.1,1.4,219
RUS,17.0,108.46,HARD,2.0,1,21.0,41.9,53.0,978.1,1.2,349
RUS,18.0,108.556,HARD,2.0,1,21.0,42.3,50.0,978.1,2.6,4
RUS,19.0,108.499,HARD,2.0,1,21.1,42.4,49.0,978.2,2.4,345
RUS,20.0,109.605,HARD,2.0,1,21.2,42.3,50.0,978.2,1.7,12
RUS,21.0,107.763,HARD,2.0,1,21.3,42.4,51.0,978.2,1.0,15
RUS,22.0,108.588,HARD,2.0,1,21.5,42.4,51.0,978.2,1.2,355
RUS,23.0,108.412,HARD,2.0,1,21.4,42.3,50.0,978.2,0.8,345
RUS,24.0,108.325,HARD,2.0,1,21.4,42.3,51.0,978.2,1.5,4
RUS,25.0,107.992,HARD,2.0,1,21.4,42.4,52.0,978.1,0.8,258
RUS,26.0,107.759,HARD,2.0,1,21.3,42.6,51.0,978.1,0.7,267
RUS,27.0,107.707,HARD,2.0,1,21.2,42.6,52.0,978.1,1.8,6
RUS,28.0,107.665,HARD,2.0,1,21.2,42.6,50.0,978.2,2.3,30
RUS,29.0,107.76,HARD,2.0,1,21.0,42.6,51.0,978.2,1.3,358
RUS,30.0,107.628,HARD,2.0,1,20.9,42.2,50.0,978.2,2.0,319
RUS,31.0,107.48,HARD,2.0,1,20.7,40.1,51.0,978.2,1.7,19
RUS,32.0,107.596,HARD,2.0,1,20.6,39.4,51.0,978.2,2.5,279
RUS,33.0,107.315,HARD,2.0,1,20.6,39.7,52.0,978.2,0.8,223
RUS,34.0,107.432,HARD,2.0,1,20.8,40.9,53.0,978.1,0.9,1
RUS,35.0,107.562,HARD,2.0,1,21.0,41.6,51.0,978.3,0.9,348
RUS,36.0,107.62,HARD,2.0,1,21.0,41.2,50.0,978.2,2.2,19
RUS,37.0,107.919,HARD,2.0,1,21.0,40.2,51.0,978.3,1.6,22
RUS,38.0,107.6,HARD,2.0,1,20.8,39.8,52.0,978.2,2.1,20
RUS,39.0,107.796,HARD,2.0,1,20.7,39.1,52.0,978.1,2.0,329
RUS,40.0,107.631,HARD,2.0,1,20.7,38.2,51.0,978.2,2.6,17
RUS,41.0,107.754,HARD,2.0,1,20.8,38.0,51.0,978.2,2.3,352
RUS,42.0,107.465,HARD,2.0,1,20.8,37.8,51.0,978.2,2.6,15
RUS,43.0,107.301,HARD,2.0,1,20.8,37.7,51.0,978.2,2.2,29
RUS,44.0,107.113,HARD,2.0,1,20.9,37.7,52.0,978.2,1.9,47
