Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
RUS,1.0,,INTERMEDIATE,1.0,1,10.7,15.8,92.0,983.7,1.3,229
RUS,2.0,,INTERMEDIATE,1.0,125,10.7,15.9,92.0,983.8,1.9,213
RUS,3.0,,INTERMEDIATE,2.0,1,10.7,15.9,92.0,983.8,2.0,254
RUS,4.0,104.599,INTERMEDIATE,2.0,12,10.7,16.0,92.0,983.8,1.5,240
RUS,5.0,101.087,INTERMEDIATE,2.0,1,10.7,16.0,92.0,983.8,1.9,239
RUS,6.0,127.226,INTERMEDIATE,2.0,1,10.7,16.0,92.0,983.8,1.4,250
RUS,7.0,99.753,INTERMEDIATE,2.0,1,10.7,16.1,92.0,983.9,1.1,271
RUS,8.0,131.898,INTERMEDIATE,2.0,1,10.8,16.2,92.0,983.9,1.6,221
RUS,9.0,101.574,INTERMEDIATE,2.0,1,10.8,16.2,91.0,984.0,2.7,230
RUS,10.0,127.68,INTERMEDIATE,2.0,1,10.8,16.1,91.0,983.9,2.3,134
RUS,11.0,97.529,INTERMEDIATE,2.0,1,10.9,16.0,91.0,984.0,1.0,227
RUS,12.0,119.088,INTERMEDIATE,2.0,1,10.8,16.0,92.0,983.9,2.4,225
RUS,13.0,,INTERMEDIATE,3.0,1,10.9,15.9,91.0,983.9,2.7,245
RUS,14.0,101.104,INTERMEDIATE,3.0,1,10.9,16.0,91.0,984.0,2.4,235
RUS,15.0,100.604,INTERMEDIATE,3.0,1,10.9,16.1,91.0,984.0,2.5,240
RUS,16.0,99.98,INTERMEDIATE,3.0,1,10.9,16.2,91.0,984.0,2.6,248
RUS,17.0,99.936,INTERMEDIATE,3.0,1,10.9,16.4,92.0,984.0,1.1,268
RUS,18.0,98.444,INTERMEDIATE,3.0,1,10.9,16.4,92.0,984.0,1.8,252
RUS,19.0,99.346,INTERMEDIATE,3.0,1,11.0,16.4,90.0,984.1,2.6,208
RUS,20.0,99.643,INTERMEDIATE,3.0,1,10.9,16.3,91.0,984.1,1.8,242
RUS,21.0,,INTERMEDIATE,4.0,1,11.0,16.3,91.0,984.0,3.1,229
RUS,22.0,129.166,INTERMEDIATE,4.0,1,11.0,16.1,90.0,984.1,2.6,275
RUS,23.0,146.984,INTERMEDIATE,4.0,1,11.0,16.1,90.0,984.1,2.0,225
