Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
BOT,1.0,,INTERMEDIATE,1.0,1,12.4,19.4,83.0,986.6,1.2,216
BOT,2.0,99.718,INTERMEDIATE,1.0,1,12.4,19.6,85.0,986.7,1.6,261
BOT,3.0,124.999,INTERMEDIATE,1.0,1,12.4,20.5,84.0,986.7,1.7,246
BOT,4.0,102.318,INTERMEDIATE,1.0,1,12.6,20.8,83.0,986.6,1.6,201
BOT,5.0,,SOFT,2.0,1,12.6,21.3,83.0,986.7,1.5,86
BOT,6.0,,SOFT,2.0,125,12.8,21.1,82.0,986.8,0.7,0
BOT,7.0,,SOFT,3.0,1,12.9,21.4,81.0,986.8,0.9,75
BOT,8.0,92.431,SOFT,3.0,1,12.9,21.4,81.0,986.8,0.9,116
BOT,9.0,99.799,SOFT,3.0,1,12.9,21.2,79.0,986.8,1.7,222
BOT,10.0,110.296,SOFT,3.0,1,13.0,21.2,81.0,986.8,1.1,155
BOT,11.0,96.275,SOFT,3.0,1,13.1,21.9,81.0,986.8,1.2,264
