Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
PIA,1.0,98.008,MEDIUM,1.0,1,15.9,28.1,67.0,991.8,2.2,226
PIA,2.0,92.361,MEDIUM,1.0,1,15.9,27.6,66.0,991.7,1.5,268
PIA,3.0,91.927,MEDIUM,1.0,1,15.9,27.0,65.0,991.7,1.4,291
PIA,4.0,91.919,MEDIUM,1.0,1,15.9,27.0,66.0,991.8,1.1,195
PIA,5.0,91.832,MEDIUM,1.0,1,15.9,31.0,64.0,991.8,1.9,225
PIA,6.0,92.062,MEDIUM,1.0,1,15.9,31.3,64.0,991.9,2.0,206
PIA,7.0,91.925,MEDIUM,1.0,1,15.8,31.3,64.0,991.9,2.0,206
PIA,8.0,91.994,MEDIUM,1.0,1,15.8,31.0,67.0,991.8,1.1,242
PIA,9.0,92.0,MEDIUM,1.0,1,15.8,26.5,68.0,991.8,1.0,254
PIA,10.0,91.811,MEDIUM,1.0,1,15.8,26.5,70.0,991.8,0.6,0
PIA,11.0,91.855,MEDIUM,1.0,1,15.7,26.6,70.0,991.9,0.7,0
PIA,12.0,91.663,MEDIUM,1.0,1,15.6,26.5,70.0,991.9,0.7,327
PIA,13.0,91.896,MEDIUM,1.0,1,15.5,26.5,71.0,991.9,0.7,224
PIA,14.0,91.697,MEDIUM,1.0,1,15.4,27.6,75.0,991.9,1.0,157
PIA,15.0,91.514,MEDIUM,1.0,1,15.4,29.4,73.0,992.0,0.6,238
PIA,16.0,92.118,MEDIUM,1.0,1,15.4,29.8,73.0,992.0,1.0,243
PIA,17.0,93.988,MEDIUM,1.0,1,15.3,32.2,73.0,991.9,0.9,97
PIA,18.0,94.269,MEDIUM,1.0,1,15.3,32.9,72.0,991.9,1.0,236
PIA,19.0,100.728,MEDIUM,1.0,1,15.3,34.7,74.0,991.8,0.5,101
PIA,20.0,97.348,MEDIUM,1.0,1,15.4,35.2,72.0,991.9,0.7,5
PIA,21.0,91.819,MEDIUM,1.0,1,15.6,35.2,72.0,991.9,0.7,255
PIA,22.0,91.169,MEDIUM,1.0,1,15.8,34.5,71.0,991.9,0.8,286
PIA,23.0,90.976,MEDIUM,1.0,1,15.9,36.4,73.0,991.9,0.7,261
PIA,24.0,91.392,MEDIUM,1.0,1,16.0,36.9,71.0,991.8,1.0,225
PIA,25.0,94.271,MEDIUM,1.0,1,16.1,36.4,66.0,991.8,1.4,218
PIA,26.0,100.622,MEDIUM,1.0,1,16.2,37.1,67.0,991.8,2.0,301
PIA,27.0,109.747,MEDIUM,1.0,1,16.3,33.1,65.0,991.8,1.2,132
PIA,28.0,112.976,MEDIUM,1.0,1,16.2,31.5,67.0,991.8,1.2,229
PIA,29.0,121.184,INTERMEDIATE,2.0,1,16.3,31.5,65.0,991.9,0.9,7
PIA,30.0,100.492,INTERMEDIATE,2.0,1,16.3,36.9,67.0,991.8,0.6,219
PIA,31.0,102.161,INTERMEDIATE,2.0,1,16.4,36.9,65.0,991.9,2.2,263
PIA,32.0,103.137,INTERMEDIATE,2.0,1,16.3,36.9,62.0,992.0,1.1,221
PIA,33.0,103.325,INTERMEDIATE,2.0,1,16.4,35.4,61.0,992.0,1.8,222
PIA,34.0,103.954,INTERMEDIATE,2.0,1,16.1,35.2,64.0,991.9,1.4,319
PIA,35.0,103.309,INTERMEDIATE,2.0,1,16.1,35.2,63.0,991.9,1.0,222
PIA,36.0,102.52,INTERMEDIATE,2.0,1,16.2,35.2,62.0,992.0,1.2,213
PIA,37.0,99.635,INTERMEDIATE,2.0,1,16.2,35.2,65.0,992.0,0.8,3
PIA,38.0,97.106,INTERMEDIATE,2.0,1,16.3,36.4,64.0,991.9,0.7,270
PIA,39.0,114.658,MEDIUM,3.0,1,16.3,37.2,65.0,992.0,1.2,194
PIA,40.0,89.913,MEDIUM,3.0,1,16.2,36.8,64.0,991.9,1.2,234
PIA,41.0,89.574,MEDIUM,3.0,1,16.1,36.5,66.0,991.9,1.0,245
PIA,42.0,89.581,MEDIUM,3.0,1,16.0,36.5,67.0,992.0,0.9,258
PIA,43.0,89.286,MEDIUM,3.0,1,16.1,36.8,64.0,992.0,1.1,260
PIA,44.0,89.221,MEDIUM,3.0,1,16.0,36.8,65.0,991.9,1.0,42
PIA,45.0,89.222,MEDIUM,3.0,1,16.0,37.3,64.0,991.9,1.6,0
PIA,46.0,89.233,MEDIUM,3.0,1,16.1,37.6,63.0,992.0,0.9,227
PIA,47.0,89.049,MEDIUM,3.0,1,16.2,37.9,64.0,992.0,0.8,238
PIA,48.0,89.124,MEDIUM,3.0,1,16.3,37.0,64.0,991.9,0.6,189
PIA,49.0,89.283,MEDIUM,3.0,1,16.3,33.2,64.0,991.9,0.4,270
PIA,50.0,89.958,MEDIUM,3.0,1,16.3,33.0,63.0,992.0,0.7,278
PIA,51.0,88.748,MEDIUM,3.0,1,16.3,33.0,63.0,991.9,0.8,209
PIA,52.0,89.928,MEDIUM,3.0,1,16.3,33.2,62.0,992.1,1.4,285
