Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
STR,1.0,,SOFT,1.0,1,19.6,26.9,67.0,998.9,2.7,221
STR,2.0,92.434,SOFT,2.0,12,19.6,26.9,67.0,998.9,2.2,239
STR,3.0,87.041,SOFT,2.0,1,19.6,26.9,68.0,998.8,1.9,223
STR,4.0,86.575,SOFT,2.0,1,19.6,26.9,68.0,998.8,1.9,223
STR,5.0,79.841,SOFT,2.0,1,19.6,26.7,67.0,998.8,1.9,234
STR,6.0,79.492,SOFT,2.0,1,19.6,26.7,67.0,998.8,1.9,222
STR,7.0,78.21,SOFT,2.0,1,19.6,26.6,68.0,998.9,2.5,220
STR,8.0,82.944,SOFT,2.0,1,19.6,26.6,66.0,998.9,2.4,226
STR,9.0,85.14,SOFT,2.0,1,19.6,26.6,66.0,998.8,2.8,228
STR,10.0,76.851,SOFT,2.0,1,19.6,26.6,67.0,998.9,2.7,224
STR,11.0,89.865,SOFT,2.0,1,19.6,26.9,66.0,998.8,2.9,221
STR,12.0,76.464,SOFT,2.0,1,19.6,26.9,66.0,998.9,2.6,245
STR,13.0,,SOFT,2.0,1,19.6,26.9,66.0,998.9,2.6,245
STR,14.0,99.936,INTERMEDIATE,3.0,1,19.6,27.0,66.0,998.9,2.1,219
STR,15.0,90.885,INTERMEDIATE,3.0,1,19.5,27.0,66.0,998.9,2.1,219
STR,16.0,94.983,INTERMEDIATE,3.0,1,19.5,27.1,67.0,999.0,1.9,215
STR,17.0,91.571,INTERMEDIATE,3.0,12,19.5,27.1,69.0,998.9,1.4,214
STR,18.0,87.634,INTERMEDIATE,3.0,1,19.5,26.9,70.0,999.1,1.4,226
STR,19.0,128.037,INTERMEDIATE,3.0,1,19.5,26.7,70.0,999.1,1.5,234
STR,20.0,98.285,INTERMEDIATE,4.0,1,19.5,26.6,70.0,999.1,1.4,232
STR,21.0,86.605,INTERMEDIATE,4.0,1,19.5,26.6,70.0,999.1,0.9,190
STR,22.0,86.444,INTERMEDIATE,4.0,1,19.4,26.9,72.0,999.1,0.9,191
STR,23.0,117.751,INTERMEDIATE,4.0,1,19.4,26.8,72.0,999.0,1.2,211
STR,24.0,86.87,INTERMEDIATE,4.0,1,19.4,26.9,70.0,999.1,1.8,221
STR,25.0,86.575,INTERMEDIATE,4.0,12,19.4,26.7,71.0,999.2,1.1,170
STR,26.0,146.96,INTERMEDIATE,4.0,1,19.5,26.7,71.0,999.2,1.2,220
STR,27.0,,INTERMEDIATE,4.0,1,19.4,26.7,71.0,999.2,1.2,228
