Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
STR,1.0,105.389,SOFT,1.0,1,20.4,33.7,69.0,1000.6,1.7,215
STR,2.0,92.396,SOFT,1.0,1,20.3,33.6,69.0,1000.7,1.4,181
STR,3.0,74.519,SOFT,1.0,1,20.3,33.5,69.0,1000.5,2.0,109
STR,4.0,93.703,SOFT,1.0,1,20.2,33.4,70.0,1000.7,2.3,183
STR,5.0,73.543,SOFT,1.0,12,20.2,33.2,69.0,1000.6,2.7,173
STR,6.0,,SOFT,1.0,1,20.2,32.9,69.0,1000.6,2.2,175
STR,7.0,96.037,SOFT,2.0,1,20.2,32.9,70.0,1000.7,1.3,216
STR,8.0,73.088,SOFT,2.0,1,20.2,32.9,69.0,1000.6,1.6,219
STR,9.0,112.063,SOFT,2.0,1,20.2,32.9,69.0,1000.7,1.3,222
STR,10.0,73.162,SOFT,2.0,1,20.2,32.6,69.0,1000.7,1.7,170
STR,11.0,,SOFT,2.0,1,20.2,32.5,70.0,1000.7,1.9,200
STR,12.0,117.243,SOFT,3.0,1,20.1,32.4,70.0,1000.8,1.5,203
STR,13.0,73.252,SOFT,3.0,1,20.1,32.4,71.0,1000.7,1.8,193
STR,14.0,,SOFT,3.0,1,20.1,32.2,70.0,1000.6,2.1,341
STR,15.0,101.46,SOFT,4.0,1,20.1,32.1,71.0,1000.8,1.5,222
STR,16.0,72.659,SOFT,4.0,1,20.1,31.6,71.0,1000.7,1.2,108
STR,17.0,94.76,SOFT,4.0,1,20.1,31.6,71.0,1000.8,1.6,261
STR,18.0,72.796,SOFT,4.0,1,20.1,31.4,70.0,1000.7,1.3,24
STR,19.0,,SOFT,4.0,1,20.1,31.4,71.0,1000.8,2.4,197
STR,20.0,99.735,SOFT,5.0,1,20.1,31.3,71.0,1000.8,1.8,193
STR,21.0,73.154,SOFT,5.0,1,20.2,31.3,71.0,1000.7,1.4,200
STR,22.0,,SOFT,5.0,1,20.3,31.1,70.0,1000.8,2.4,183
STR,23.0,89.168,SOFT,6.0,1,20.3,31.0,70.0,1000.8,2.5,215
STR,24.0,72.701,SOFT,6.0,1,20.2,30.8,70.0,1000.7,2.4,194
STR,25.0,,SOFT,6.0,1,20.2,30.5,70.0,1000.7,2.9,114
