Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
VER,1.0,104.993,INTERMEDIATE,1.0,12,16.3,21.1,78.0,996.4,0.6,179
VER,2.0,97.672,INTERMEDIATE,1.0,1,16.3,21.2,78.0,996.5,1.0,182
VER,3.0,96.443,INTERMEDIATE,1.0,1,16.3,21.0,76.0,996.4,1.3,161
VER,4.0,95.105,INTERMEDIATE,1.0,1,16.3,20.8,77.0,996.4,0.9,98
VER,5.0,93.859,INTERMEDIATE,1.0,1,16.3,20.7,77.0,996.3,1.4,58
VER,6.0,92.634,INTERMEDIATE,1.0,12,16.3,20.7,74.0,996.4,1.8,179
VER,7.0,91.258,INTERMEDIATE,1.0,1,16.3,20.7,76.0,996.3,1.5,220
VER,8.0,90.766,INTERMEDIATE,1.0,1,16.3,20.6,75.0,996.3,1.1,96
VER,9.0,90.159,INTERMEDIATE,1.0,1,16.2,20.4,74.0,996.4,1.4,115
VER,10.0,89.295,INTERMEDIATE,1.0,1,16.2,20.0,75.0,996.2,0.7,146
VER,11.0,89.7,INTERMEDIATE,1.0,1,16.0,19.9,76.0,996.2,1.3,104
VER,12.0,88.991,INTERMEDIATE,1.0,1,16.0,19.9,78.0,996.3,0.9,343
VER,13.0,88.532,INTERMEDIATE,1.0,1,15.9,19.9,78.0,996.2,0.8,142
VER,14.0,88.527,INTERMEDIATE,1.0,1,16.0,20.0,78.0,996.2,1.7,4
VER,15.0,88.637,INTERMEDIATE,1.0,1,16.0,20.1,79.0,996.3,0.5,115
VER,16.0,88.138,INTERMEDIATE,1.0,1,15.9,20.3,77.0,996.3,1.4,143
VER,17.0,89.256,INTERMEDIATE,1.0,1,16.0,20.5,80.0,996.3,1.3,313
VER,18.0,86.436,INTERMEDIATE,1.0,1,16.1,23.0,78.0,996.2,0.7,119
VER,19.0,86.001,INTERMEDIATE,1.0,1,16.5,23.8,78.0,996.3,1.1,209
VER,20.0,86.265,INTERMEDIATE,1.0,1,16.5,24.5,78.0,996.3,1.2,1
VER,21.0,86.578,INTERMEDIATE,1.0,1,16.8,24.8,76.0,996.3,1.2,148
VER,22.0,86.59,INTERMEDIATE,1.0,1,17.0,25.3,79.0,996.3,0.7,132
VER,23.0,86.591,INTERMEDIATE,1.0,1,17.3,25.7,78.0,996.4,0.5,0
VER,24.0,87.034,INTERMEDIATE,1.0,1,17.4,25.8,74.0,996.3,0.6,137
VER,25.0,113.896,INTERMEDIATE,1.0,124,17.5,25.8,72.0,996.3,1.1,185
VER,26.0,109.849,INTERMEDIATE,2.0,4,17.5,25.9,74.0,996.2,1.4,79
VER,27.0,130.108,INTERMEDIATE,2.0,4,17.5,26.1,72.0,996.3,1.5,348
VER,28.0,128.316,INTERMEDIATE,2.0,4,17.6,26.3,73.0,996.3,1.5,25
VER,29.0,133.946,INTERMEDIATE,2.0,412,17.7,26.3,72.0,996.2,1.9,34
VER,30.0,86.187,INTERMEDIATE,2.0,1,17.9,26.3,73.0,996.2,1.2,98
VER,31.0,89.219,INTERMEDIATE,2.0,1,17.9,26.5,72.0,996.2,1.0,0
VER,32.0,90.715,INTERMEDIATE,2.0,1,17.9,26.7,70.0,996.2,0.8,104
VER,33.0,89.528,INTERMEDIATE,2.0,1,18.0,26.7,71.0,996.2,1.1,94
VER,34.0,87.754,INTERMEDIATE,2.0,1,18.0,26.6,72.0,996.2,1.6,84
VER,35.0,86.792,INTERMEDIATE,2.0,1,18.1,26.7,71.0,996.3,0.9,358
VER,36.0,86.269,INTERMEDIATE,2.0,1,18.2,27.0,72.0,996.3,0.7,284
VER,37.0,85.748,INTERMEDIATE,2.0,1,18.2,27.0,71.0,996.2,0.9,169
VER,38.0,85.386,INTERMEDIATE,2.0,1,18.2,26.9,72.0,996.2,0.6,187
VER,39.0,84.859,INTERMEDIATE,2.0,1,18.3,27.3,71.0,996.3,1.2,212
VER,40.0,84.711,INTERMEDIATE,2.0,1,18.3,27.3,71.0,996.2,1.2,358
VER,41.0,84.159,INTERMEDIATE,2.0,12,18.4,27.2,71.0,996.2,0.8,34
VER,42.0,84.079,INTERMEDIATE,2.0,1,18.4,26.1,71.0,996.2,1.1,35
