Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
SAR,1.0,,MEDIUM,1.0,1,22.5,38.9,24.0,1010.1,1.5,123
SAR,2.0,104.457,MEDIUM,1.0,1,22.5,38.9,24.0,1010.0,2.6,101
SAR,3.0,134.421,MEDIUM,1.0,1,22.5,38.9,24.0,1010.0,2.9,151
SAR,4.0,100.862,MEDIUM,1.0,1,22.5,38.7,25.0,1010.0,2.3,126
SAR,5.0,,MEDIUM,1.0,15,22.5,38.5,24.0,1010.1,1.1,94
SAR,6.0,,MEDIUM,2.0,1,22.5,38.3,24.0,1010.0,0.7,214
SAR,7.0,103.128,MEDIUM,2.0,1,22.5,38.2,25.0,1010.0,0.9,267
SAR,8.0,102.268,MEDIUM,2.0,1,22.4,38.2,25.0,1010.0,0.0,254
SAR,9.0,102.918,MEDIUM,2.0,1,22.3,38.5,25.0,1010.0,1.4,270
SAR,10.0,102.813,MEDIUM,2.0,1,22.3,38.6,25.0,1010.0,1.4,272
SAR,11.0,103.821,MEDIUM,2.0,1,22.3,38.8,25.0,1009.9,1.2,285
SAR,12.0,103.636,MEDIUM,2.0,1,22.4,38.8,25.0,1009.9,1.0,259
SAR,13.0,109.057,MEDIUM,2.0,1,22.5,38.5,25.0,1009.8,0.9,266
SAR,14.0,126.197,MEDIUM,3.0,1,22.6,38.5,25.0,1009.9,1.2,266
SAR,15.0,,SOFT,4.0,1,22.6,38.6,25.0,1009.8,1.2,250
SAR,16.0,98.317,SOFT,4.0,1,22.6,38.8,25.0,1009.9,1.0,326
SAR,17.0,140.511,SOFT,4.0,1,22.6,39.3,24.0,1009.8,1.2,273
SAR,18.0,141.89,SOFT,4.0,1,22.7,39.4,24.0,1009.7,1.4,267
SAR,19.0,98.286,SOFT,4.0,1,22.8,39.6,24.0,1009.8,1.0,54
SAR,20.0,114.715,SOFT,4.0,1,22.9,39.4,24.0,1009.7,0.4,232
SAR,21.0,,SOFT,5.0,1,22.9,39.0,24.0,1009.7,0.7,95
SAR,22.0,139.775,SOFT,5.0,1,22.9,38.6,24.0,1009.7,1.6,117
SAR,23.0,,SOFT,5.0,1,22.9,38.6,24.0,1009.6,0.9,117
