Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALO,1.0,,SOFT,1.0,1,22.1,35.5,57.0,1007.2,1.7,267
ALO,2.0,95.116,SOFT,1.0,1,22.0,35.5,57.0,1007.1,2.1,280
ALO,3.0,133.312,SOFT,1.0,1,21.9,35.0,56.0,1007.1,2.9,262
ALO,4.0,,SOFT,2.0,12,22.0,34.8,57.0,1007.1,2.2,262
ALO,5.0,94.801,SOFT,2.0,1,22.0,34.9,57.0,1007.1,1.7,262
ALO,6.0,,SOFT,2.0,125,22.0,35.1,57.0,1007.1,1.6,260
ALO,7.0,,SOFT,3.0,1,21.9,35.1,57.0,1007.2,1.4,252
ALO,8.0,94.652,SOFT,3.0,1,21.9,35.2,57.0,1007.1,2.2,266
ALO,9.0,129.22,SOFT,3.0,1,21.9,35.2,57.0,1007.1,1.6,270
ALO,10.0,,SOFT,4.0,1,21.9,35.0,57.0,1007.1,1.8,248
ALO,11.0,94.371,SOFT,4.0,1,21.9,35.0,57.0,1007.1,1.5,258
ALO,12.0,131.197,SOFT,4.0,1,21.8,35.1,57.0,1007.2,1.5,237
ALO,13.0,,SOFT,5.0,1,21.8,35.1,58.0,1007.2,0.9,359
ALO,14.0,94.148,SOFT,5.0,1,21.9,35.0,57.0,1007.2,1.4,237
ALO,15.0,141.234,SOFT,5.0,1,21.9,35.0,56.0,1007.2,2.2,264
