Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
OCO,1.0,108.897,MEDIUM,1.0,1,19.1,32.2,65.0,1011.9,1.0,149
OCO,2.0,103.022,MEDIUM,1.0,1,19.0,32.1,63.0,1011.9,2.1,151
OCO,3.0,102.807,MEDIUM,1.0,1,19.1,31.5,64.0,1011.8,1.5,173
OCO,4.0,103.002,MEDIUM,1.0,1,19.0,31.7,65.0,1011.8,1.3,171
OCO,5.0,103.105,MEDIUM,1.0,1,19.0,31.5,66.0,1011.8,0.9,223
OCO,6.0,103.212,MEDIUM,1.0,1,18.9,31.5,66.0,1011.8,0.6,174
OCO,7.0,103.549,MEDIUM,1.0,1,18.9,31.6,66.0,1011.7,0.8,150
OCO,8.0,104.045,MEDIUM,1.0,1,18.9,31.9,66.0,1011.7,1.1,143
OCO,9.0,108.29,MEDIUM,1.0,1,19.0,32.3,65.0,1011.7,1.1,141
OCO,10.0,120.652,HARD,2.0,1,19.1,31.9,64.0,1011.8,1.8,188
OCO,11.0,101.472,HARD,2.0,1,19.1,31.9,64.0,1011.7,1.1,123
OCO,12.0,101.793,HARD,2.0,1,19.1,31.9,64.0,1011.7,1.4,148
OCO,13.0,102.193,HARD,2.0,1,19.1,32.0,65.0,1011.6,1.4,167
OCO,14.0,102.112,HARD,2.0,1,19.1,31.8,63.0,1011.6,1.6,143
OCO,15.0,102.357,HARD,2.0,1,19.0,31.8,65.0,1011.7,1.4,140
OCO,16.0,102.443,HARD,2.0,1,19.0,31.7,65.0,1011.6,1.9,163
OCO,17.0,102.55,HARD,2.0,1,19.0,31.7,65.0,1011.6,1.4,212
OCO,18.0,102.486,HARD,2.0,1,19.0,31.5,65.0,1011.6,1.0,180
OCO,19.0,102.544,HARD,2.0,1,18.9,31.1,65.0,1011.6,1.5,190
OCO,20.0,102.599,HARD,2.0,12,18.8,31.0,66.0,1011.5,1.4,183
OCO,21.0,117.545,HARD,2.0,26,18.8,31.3,66.0,1011.5,1.4,84
OCO,22.0,135.159,HARD,2.0,6,18.7,31.3,66.0,1011.6,0.9,162
OCO,23.0,137.613,HARD,2.0,64,18.8,31.3,65.0,1011.6,0.6,120
OCO,24.0,148.655,HARD,3.0,4,18.6,31.3,65.0,1011.6,0.8,215
OCO,25.0,116.221,HARD,3.0,4,18.6,31.3,65.0,1011.5,1.3,156
OCO,26.0,147.921,HARD,3.0,41,18.7,31.3,65.0,1011.6,1.0,206
OCO,27.0,116.712,HARD,3.0,124,18.7,31.3,65.0,1011.5,0.7,200
OCO,28.0,147.622,HARD,3.0,4,18.7,31.3,64.0,1011.5,0.5,127
OCO,29.0,144.917,HARD,3.0,4,18.8,31.3,65.0,1011.5,0.4,164
OCO,30.0,141.322,HARD,3.0,4,18.8,31.3,64.0,1011.5,1.4,93
OCO,31.0,142.345,HARD,3.0,41,18.8,31.3,64.0,1011.5,1.4,93
OCO,32.0,101.902,HARD,3.0,1,18.8,31.3,64.0,1011.5,0.8,129
OCO,33.0,100.937,HARD,3.0,1,18.8,31.3,65.0,1011.5,0.8,0
OCO,34.0,100.972,HARD,3.0,1,18.7,31.3,66.0,1011.5,0.6,142
OCO,35.0,101.009,HARD,3.0,1,18.8,31.3,64.0,1011.4,1.2,151
OCO,36.0,101.194,HARD,3.0,1,18.8,31.3,64.0,1011.5,1.1,132
OCO,37.0,101.361,HARD,3.0,1,18.8,31.3,64.0,1011.6,1.0,181
OCO,38.0,101.131,HARD,3.0,1,18.9,30.4,63.0,1011.6,1.2,180
OCO,39.0,101.313,HARD,3.0,1,18.9,30.3,64.0,1011.6,1.3,184
OCO,40.0,101.592,HARD,3.0,1,18.8,30.6,65.0,1011.6,1.1,228
OCO,41.0,101.653,HARD,3.0,1,18.8,30.8,65.0,1011.6,0.4,169
OCO,42.0,101.515,HARD,3.0,1,18.8,30.6,65.0,1011.6,1.0,201
OCO,43.0,101.535,HARD,3.0,1,18.9,31.0,65.0,1011.6,1.0,194
OCO,44.0,101.24,HARD,3.0,1,19.0,30.7,65.0,1011.6,1.1,305
OCO,45.0,101.423,HARD,3.0,1,18.9,30.9,65.0,1011.7,0.7,270
OCO,46.0,102.084,HARD,3.0,1,19.0,31.2,65.0,1011.6,0.9,240
OCO,47.0,101.743,HARD,3.0,1,18.9,31.2,65.0,1011.6,0.7,65
OCO,48.0,101.301,HARD,3.0,1,19.0,31.2,64.0,1011.6,0.6,133
OCO,49.0,101.297,HARD,3.0,1,18.9,30.8,64.0,1011.6,1.7,178
OCO,50.0,101.567,HARD,3.0,1,18.9,30.6,64.0,1011.6,1.3,195
OCO,51.0,101.477,HARD,3.0,1,18.8,30.7,65.0,1011.7,0.6,122
OCO,52.0,101.559,HARD,3.0,1,18.8,30.8,65.0,1011.7,1.2,129
OCO,53.0,101.652,HARD,3.0,1,18.8,30.8,65.0,1011.6,1.3,166
OCO,54.0,101.522,HARD,3.0,1,18.9,30.6,66.0,1011.6,1.4,171
OCO,55.0,101.574,HARD,3.0,1,18.9,30.5,65.0,1011.6,1.1,143
OCO,56.0,101.651,HARD,3.0,1,18.8,30.3,66.0,1011.5,1.4,122
