Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALO,1.0,,MEDIUM,1.0,1,19.0,24.9,76.0,1007.3,2.1,308
ALO,2.0,100.651,MEDIUM,1.0,1,19.1,25.1,75.0,1007.3,2.4,302
ALO,3.0,100.537,MEDIUM,1.0,1,19.1,24.9,74.0,1007.2,1.8,282
ALO,4.0,100.979,MEDIUM,1.0,1,19.1,24.8,73.0,1007.3,3.1,296
ALO,5.0,101.388,MEDIUM,1.0,1,19.2,25.0,73.0,1007.3,4.1,284
ALO,6.0,101.364,MEDIUM,1.0,1,19.2,25.5,73.0,1007.3,3.6,293
ALO,7.0,102.711,MEDIUM,1.0,1,19.1,26.0,74.0,1007.3,3.0,290
ALO,8.0,102.532,MEDIUM,1.0,1,19.2,26.0,73.0,1007.3,2.7,280
ALO,9.0,102.009,MEDIUM,1.0,1,19.2,26.0,73.0,1007.2,4.1,285
ALO,10.0,102.245,MEDIUM,1.0,1,19.2,25.5,72.0,1007.3,4.5,287
ALO,11.0,102.461,MEDIUM,1.0,1,19.2,25.5,72.0,1007.2,3.2,288
ALO,12.0,102.378,MEDIUM,1.0,1,19.3,25.5,73.0,1007.3,3.3,291
ALO,13.0,102.428,MEDIUM,1.0,1,19.3,25.5,72.0,1007.3,2.7,284
ALO,14.0,102.864,MEDIUM,1.0,1,19.3,25.1,72.0,1007.3,3.0,297
ALO,15.0,102.715,MEDIUM,1.0,1,19.4,25.0,72.0,1007.4,3.9,283
ALO,16.0,111.825,MEDIUM,1.0,1,19.4,25.0,72.0,1007.3,3.1,277
ALO,17.0,127.395,MEDIUM,2.0,1,19.4,25.0,72.0,1007.3,4.0,284
