Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
PER,1.0,,MEDIUM,1.0,1,20.3,28.9,32.0,1006.2,0.0,0
PER,2.0,96.11,MEDIUM,1.0,1,20.3,28.7,32.0,1006.2,0.0,99
PER,3.0,130.183,MEDIUM,1.0,1,20.3,28.7,32.0,1006.1,0.4,114
PER,4.0,138.219,MEDIUM,1.0,1,20.3,28.7,32.0,1006.2,0.6,128
PER,5.0,,MEDIUM,2.0,12,20.3,28.7,32.0,1006.2,0.6,128
PER,6.0,95.781,MEDIUM,2.0,1,20.2,28.7,32.0,1006.1,1.4,153
PER,7.0,131.423,MEDIUM,2.0,1,20.2,28.6,32.0,1006.2,1.0,125
PER,8.0,,INTERMEDIATE,3.0,12,20.1,28.6,33.0,1006.2,0.8,103
PER,9.0,120.455,INTERMEDIATE,3.0,1,20.1,28.7,33.0,1006.2,0.7,213
PER,10.0,120.375,INTERMEDIATE,3.0,1,20.1,28.7,33.0,1006.2,0.7,213
PER,11.0,121.557,INTERMEDIATE,3.0,1,20.1,28.6,33.0,1006.3,0.5,0
PER,12.0,,INTERMEDIATE,3.0,1,20.1,28.7,34.0,1006.3,0.0,184
