Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALB,1.0,,HARD,1.0,1,21.3,31.7,62.0,1006.2,6.1,199
ALB,2.0,74.162,HARD,1.0,1,21.3,31.7,62.0,1006.3,6.2,215
ALB,3.0,102.122,HARD,1.0,1,21.3,31.7,61.0,1006.2,6.1,208
ALB,4.0,73.18,HARD,1.0,1,21.3,31.7,61.0,1006.3,6.3,200
ALB,5.0,110.136,HARD,1.0,1,21.3,31.6,61.0,1006.4,6.2,204
ALB,6.0,96.695,HARD,1.0,1,21.4,31.6,61.0,1006.2,6.6,199
ALB,7.0,72.549,HARD,1.0,1,21.4,31.6,62.0,1006.4,5.8,209
ALB,8.0,110.328,HARD,1.0,1,21.4,31.6,61.0,1006.4,5.9,201
ALB,9.0,,SOFT,2.0,1,21.3,31.7,60.0,1006.4,5.8,194
ALB,10.0,71.639,SOFT,2.0,1,21.3,31.8,62.0,1006.4,7.0,197
ALB,11.0,124.114,SOFT,2.0,1,21.3,31.8,63.0,1006.5,6.1,196
ALB,12.0,127.731,SOFT,3.0,1,21.4,31.8,62.0,1006.6,5.8,208
ALB,13.0,71.55,SOFT,3.0,1,21.4,31.8,62.0,1006.4,6.1,197
ALB,14.0,109.435,SOFT,3.0,1,21.4,31.7,63.0,1006.5,6.6,192
ALB,15.0,,SOFT,4.0,1,21.4,31.8,64.0,1006.5,6.2,200
ALB,16.0,78.685,SOFT,4.0,1,21.3,31.8,64.0,1006.5,6.1,191
ALB,17.0,105.111,HARD,5.0,1,21.3,31.9,63.0,1006.6,6.0,210
ALB,18.0,76.179,HARD,5.0,1,21.4,31.9,62.0,1006.5,5.3,187
ALB,19.0,75.867,HARD,5.0,1,21.4,31.9,64.0,1006.6,5.7,199
ALB,20.0,76.116,HARD,5.0,1,21.4,31.5,63.0,1006.6,5.0,198
ALB,21.0,76.273,HARD,5.0,1,21.4,31.5,64.0,1006.6,6.1,201
ALB,22.0,77.435,HARD,5.0,1,21.4,31.6,63.0,1006.6,5.8,209
ALB,23.0,76.247,HARD,5.0,1,21.5,31.6,63.0,1006.7,5.6,213
ALB,24.0,76.098,HARD,5.0,1,21.4,31.5,63.0,1006.7,5.1,200
ALB,25.0,76.261,HARD,5.0,1,21.5,31.4,62.0,1006.7,5.3,200
ALB,26.0,76.119,HARD,5.0,1,21.4,31.4,63.0,1006.7,5.2,219
ALB,27.0,76.237,HARD,5.0,1,21.5,31.4,63.0,1006.7,5.7,219
ALB,28.0,76.479,HARD,5.0,1,21.5,31.2,63.0,1006.7,5.5,206
ALB,29.0,76.506,HARD,5.0,1,21.5,31.2,63.0,1006.8,5.3,200
ALB,30.0,76.871,HARD,5.0,1,21.5,31.3,64.0,1006.8,6.0,230
ALB,31.0,76.693,HARD,5.0,1,21.6,31.3,64.0,1006.6,5.8,214
ALB,32.0,121.905,HARD,5.0,1,21.5,31.2,64.0,1006.7,5.9,214
ALB,33.0,101.533,HARD,5.0,1,21.4,31.2,64.0,1006.7,5.7,219
