Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
RIC,1.0,,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,2.0,81.42,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,3.0,80.822,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,4.0,113.652,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,5.0,79.556,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,6.0,126.758,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,7.0,93.174,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,8.0,122.563,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,9.0,79.268,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,10.0,121.519,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,11.0,,SOFT,3.0,125,23.3,42.6,35.0,1006.7,4.4,318
RIC,12.0,,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,13.0,89.063,SOFT,3.0,1,23.3,42.6,35.0,1006.7,4.4,318
RIC,14.0,128.328,SOFT,3.0,1,23.5,42.9,33.0,1007.0,5.3,253
RIC,15.0,115.78,SOFT,3.0,1,23.7,43.2,33.0,1007.1,3.6,291
RIC,16.0,78.142,SOFT,3.0,1,23.7,43.2,33.0,1007.0,4.0,320
RIC,17.0,97.192,SOFT,3.0,1,23.8,42.7,34.0,1007.0,3.7,331
RIC,18.0,,SOFT,3.0,1,23.8,42.9,34.0,1007.0,2.8,305
RIC,19.0,79.241,SOFT,3.0,1,23.8,43.1,32.0,1006.9,3.7,307
RIC,20.0,83.084,SOFT,3.0,1,23.9,42.9,33.0,1007.1,5.0,274
RIC,21.0,80.224,SOFT,3.0,1,23.8,42.9,31.0,1007.0,3.3,274
RIC,22.0,85.111,SOFT,3.0,1,23.7,43.3,32.0,1007.1,3.0,299
RIC,23.0,110.933,HARD,4.0,1,23.6,43.3,32.0,1007.0,4.3,329
RIC,24.0,81.634,HARD,4.0,1,23.5,43.1,32.0,1007.0,5.1,318
RIC,25.0,113.254,HARD,4.0,1,23.5,43.1,32.0,1006.9,3.7,303
RIC,26.0,128.653,HARD,4.0,1,23.7,43.2,32.0,1007.0,3.7,306
