Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
GAS,1.0,,SOFT,1.0,1,24.3,43.8,43.0,1008.2,3.5,125
GAS,2.0,77.284,SOFT,1.0,1,24.2,43.3,43.0,1008.2,3.7,138
GAS,3.0,94.778,SOFT,1.0,1,24.1,43.0,42.0,1008.2,2.7,120
GAS,4.0,,SOFT,2.0,1,24.0,41.4,42.0,1008.2,3.4,129
GAS,5.0,76.015,SOFT,2.0,12,23.9,41.6,42.0,1008.3,3.5,121
GAS,6.0,100.069,SOFT,2.0,1,23.9,41.6,43.0,1008.2,3.2,111
GAS,7.0,,SOFT,3.0,1,23.9,42.0,43.0,1008.2,2.3,108
GAS,8.0,96.145,SOFT,3.0,1,23.9,42.0,42.0,1008.2,2.5,141
GAS,9.0,,SOFT,4.0,12,23.9,42.3,44.0,1008.2,3.9,141
GAS,10.0,76.381,SOFT,4.0,1,24.0,42.3,43.0,1008.2,2.9,143
GAS,11.0,96.225,SOFT,4.0,1,24.1,43.0,42.0,1008.3,2.0,136
GAS,12.0,,SOFT,5.0,1,24.3,43.0,43.0,1008.2,3.1,106
GAS,13.0,76.283,SOFT,5.0,1,24.3,43.4,42.0,1008.2,2.7,154
GAS,14.0,105.595,SOFT,5.0,1,24.2,43.2,43.0,1008.3,4.1,126
