Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALB,1.0,91.012,MEDIUM,1.0,1,24.2,43.4,51.0,1007.2,1.8,138
ALB,2.0,83.115,MEDIUM,1.0,1,24.0,43.1,52.0,1007.2,1.2,112
ALB,3.0,82.652,MEDIUM,1.0,1,24.0,43.3,53.0,1007.2,1.7,117
ALB,4.0,82.578,MEDIUM,1.0,1,24.0,43.3,53.0,1007.2,2.3,134
ALB,5.0,82.357,MEDIUM,1.0,1,24.2,42.9,53.0,1007.3,1.6,122
ALB,6.0,82.472,MEDIUM,1.0,1,24.4,42.6,53.0,1007.2,1.4,133
ALB,7.0,82.495,MEDIUM,1.0,1,24.4,42.4,54.0,1007.2,2.0,125
ALB,8.0,86.643,MEDIUM,1.0,1,24.3,41.8,55.0,1007.1,2.1,116
ALB,9.0,,HARD,2.0,1,24.2,41.4,55.0,1007.2,1.6,109
ALB,10.0,113.376,MEDIUM,3.0,1,24.1,41.4,55.0,1007.2,1.7,102
ALB,11.0,81.718,MEDIUM,3.0,1,24.2,41.1,55.0,1007.2,1.1,144
ALB,12.0,81.558,MEDIUM,3.0,1,24.3,41.1,54.0,1007.2,2.0,122
ALB,13.0,81.491,MEDIUM,3.0,1,24.2,41.3,54.0,1007.1,2.8,138
ALB,14.0,81.839,MEDIUM,3.0,1,24.2,40.8,54.0,1007.2,2.8,161
ALB,15.0,81.773,MEDIUM,3.0,1,24.3,40.8,55.0,1007.2,1.2,130
ALB,16.0,82.144,MEDIUM,3.0,1,24.3,40.9,54.0,1007.1,2.2,134
ALB,17.0,82.41,MEDIUM,3.0,1,24.3,40.9,54.0,1007.1,1.2,175
ALB,18.0,82.247,MEDIUM,3.0,1,24.4,41.2,55.0,1007.2,1.0,179
ALB,19.0,82.579,MEDIUM,3.0,1,24.3,42.0,54.0,1007.1,1.1,134
ALB,20.0,81.725,MEDIUM,3.0,1,24.4,42.6,53.0,1007.1,1.4,140
ALB,21.0,82.335,MEDIUM,3.0,1,24.3,42.8,52.0,1007.1,1.8,126
ALB,22.0,82.27,MEDIUM,3.0,1,24.3,43.1,51.0,1007.0,1.5,146
ALB,23.0,86.978,MEDIUM,3.0,1,24.4,43.7,51.0,1007.1,1.9,128
ALB,24.0,114.335,MEDIUM,4.0,1,24.4,44.0,50.0,1007.0,1.4,148
ALB,25.0,85.644,MEDIUM,4.0,1,24.5,43.6,50.0,1007.0,1.6,133
ALB,26.0,82.204,MEDIUM,4.0,1,24.5,43.6,50.0,1007.0,1.9,132
ALB,27.0,82.127,MEDIUM,4.0,1,24.5,43.7,50.0,1006.9,1.6,142
ALB,28.0,88.256,MEDIUM,4.0,1,24.4,43.8,51.0,1007.0,1.9,149
ALB,29.0,107.016,MEDIUM,5.0,1,24.5,43.8,51.0,1007.0,1.3,125
ALB,30.0,81.354,MEDIUM,5.0,1,24.5,43.7,51.0,1007.0,1.7,73
ALB,31.0,81.949,MEDIUM,5.0,1,24.6,43.2,50.0,1007.0,1.4,134
ALB,32.0,81.817,MEDIUM,5.0,1,24.8,42.5,51.0,1007.1,1.7,137
ALB,33.0,81.849,MEDIUM,5.0,1,24.7,41.4,51.0,1007.0,1.3,172
ALB,34.0,81.773,MEDIUM,5.0,1,24.6,40.3,52.0,1006.9,1.6,177
ALB,35.0,81.607,MEDIUM,5.0,1,24.6,40.8,53.0,1007.0,1.8,161
ALB,36.0,81.759,MEDIUM,5.0,1,24.6,41.3,52.0,1007.0,0.7,268
ALB,37.0,81.67,MEDIUM,5.0,1,24.6,42.7,50.0,1007.0,1.2,335
ALB,38.0,81.712,MEDIUM,5.0,1,24.5,42.7,50.0,1006.9,1.3,238
ALB,39.0,81.694,MEDIUM,5.0,1,24.6,42.7,51.0,1006.9,0.9,228
ALB,40.0,81.854,MEDIUM,5.0,1,24.7,43.3,50.0,1007.0,0.3,168
ALB,41.0,81.722,MEDIUM,5.0,1,24.9,43.9,49.0,1006.8,0.5,75
ALB,42.0,81.808,MEDIUM,5.0,1,25.0,44.8,49.0,1006.9,1.0,165
ALB,43.0,81.679,MEDIUM,5.0,1,25.0,44.4,49.0,1006.8,1.8,158
ALB,44.0,81.521,MEDIUM,5.0,1,25.1,44.0,48.0,1006.8,2.2,147
ALB,45.0,81.597,MEDIUM,5.0,1,25.0,44.0,50.0,1006.8,2.1,137
ALB,46.0,81.331,MEDIUM,5.0,1,24.9,44.1,50.0,1006.8,1.6,161
ALB,47.0,81.347,MEDIUM,5.0,1,24.8,44.4,51.0,1006.8,1.3,143
ALB,48.0,81.274,MEDIUM,5.0,1,25.0,44.4,51.0,1006.8,0.7,0
ALB,49.0,83.819,MEDIUM,5.0,1,25.2,44.7,50.0,1006.8,0.5,314
ALB,50.0,82.412,MEDIUM,5.0,1,25.3,45.3,49.0,1006.8,0.9,121
ALB,51.0,89.784,MEDIUM,5.0,1,25.5,45.3,48.0,1006.8,0.7,144
