Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HAM,1.0,,MEDIUM,1.0,1,31.5,49.2,36.0,988.5,0.7,201
HAM,2.0,78.961,MEDIUM,1.0,1,31.5,49.3,36.0,988.5,0.4,209
HAM,3.0,,MEDIUM,1.0,1,31.5,48.9,35.0,988.5,1.5,181
HAM,4.0,,MEDIUM,2.0,1,31.4,48.9,36.0,988.5,0.8,238
HAM,5.0,99.438,MEDIUM,2.0,1,31.4,47.7,36.0,988.5,0.0,262
HAM,6.0,,SOFT,3.0,1,31.5,48.1,36.0,988.6,0.8,135
HAM,7.0,78.363,SOFT,3.0,12,31.5,48.2,35.0,988.5,1.6,138
HAM,8.0,110.688,SOFT,3.0,21,31.4,48.2,36.0,988.5,2.0,139
HAM,9.0,,SOFT,4.0,1,31.4,48.3,37.0,988.5,1.5,125
HAM,10.0,85.236,SOFT,4.0,1,31.3,48.8,36.0,988.5,2.5,155
HAM,11.0,85.043,SOFT,4.0,1,31.3,48.6,36.0,988.4,2.0,136
HAM,12.0,84.734,SOFT,4.0,1,31.2,48.8,37.0,988.5,2.3,149
HAM,13.0,84.649,SOFT,4.0,1,31.2,48.8,36.0,988.4,1.7,186
HAM,14.0,84.628,SOFT,4.0,1,31.3,48.6,37.0,988.5,0.9,0
HAM,15.0,84.618,SOFT,4.0,1,31.3,48.3,37.0,988.5,0.4,151
HAM,16.0,84.652,SOFT,4.0,1,31.3,48.3,37.0,988.5,0.8,164
HAM,17.0,84.762,SOFT,4.0,1,31.5,49.7,37.0,988.4,0.4,0
HAM,18.0,84.839,SOFT,4.0,1,31.8,49.8,36.0,988.3,0.7,277
HAM,19.0,139.356,SOFT,4.0,1,31.9,49.1,35.0,988.4,1.4,265
HAM,20.0,123.783,SOFT,4.0,1,31.7,48.0,36.0,988.3,0.7,180
