Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
BOT,1.0,,SOFT,1.0,1,24.5,29.8,61.0,984.4,1.1,274
BOT,2.0,79.371,SOFT,1.0,1,24.5,29.3,60.0,984.4,0.4,20
BOT,3.0,100.107,SOFT,1.0,1,24.4,29.2,62.0,984.4,0.5,0
BOT,4.0,78.443,SOFT,1.0,12,24.4,29.3,62.0,984.4,0.5,224
BOT,5.0,100.906,SOFT,1.0,21,24.4,29.3,62.0,984.3,0.6,307
BOT,6.0,,SOFT,2.0,12,24.3,29.3,64.0,984.3,0.5,291
BOT,7.0,,SOFT,2.0,251,24.3,29.2,64.0,984.3,0.6,233
BOT,8.0,,SOFT,3.0,1,24.3,29.2,65.0,984.3,0.8,268
BOT,9.0,91.043,SOFT,3.0,1,24.3,29.2,63.0,984.3,0.5,226
BOT,10.0,80.249,SOFT,3.0,1,24.2,29.3,65.0,984.3,0.5,12
BOT,11.0,110.012,SOFT,3.0,1,24.2,29.5,63.0,984.2,1.1,338
BOT,12.0,77.487,SOFT,3.0,1,24.3,29.5,63.0,984.3,1.0,336
BOT,13.0,103.625,SOFT,3.0,1,24.3,29.4,62.0,984.2,0.6,293
BOT,14.0,,SOFT,4.0,1,24.3,29.4,63.0,984.3,0.8,290
BOT,15.0,77.085,SOFT,4.0,1,24.3,29.5,63.0,984.3,1.0,307
BOT,16.0,102.59,SOFT,4.0,1,24.3,29.6,66.0,984.3,0.9,215
BOT,17.0,,SOFT,5.0,1,24.3,29.7,64.0,984.3,1.1,176
BOT,18.0,76.384,SOFT,5.0,1,24.2,29.7,67.0,984.3,0.9,360
BOT,19.0,113.561,SOFT,5.0,1,24.3,29.7,67.0,984.3,0.4,41
