Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
NOR,1.0,89.389,MEDIUM,1.0,1,27.4,43.7,51.0,982.0,1.0,333
NOR,2.0,84.24,MEDIUM,1.0,1,27.4,45.1,52.0,982.0,1.4,318
NOR,3.0,84.393,MEDIUM,1.0,1,27.5,46.0,51.0,982.0,1.6,306
NOR,4.0,83.627,MEDIUM,1.0,1,27.5,46.0,51.0,982.1,1.3,308
NOR,5.0,83.804,MEDIUM,1.0,1,27.4,45.4,51.0,982.0,1.9,325
NOR,6.0,84.045,MEDIUM,1.0,1,27.5,45.8,51.0,982.0,1.5,32
NOR,7.0,84.085,MEDIUM,1.0,1,27.5,45.8,52.0,982.0,1.3,313
NOR,8.0,84.027,MEDIUM,1.0,1,27.5,46.1,51.0,982.0,1.0,316
NOR,9.0,84.225,MEDIUM,1.0,1,27.6,46.0,52.0,982.0,1.6,268
NOR,10.0,84.508,MEDIUM,1.0,1,27.6,47.7,52.0,982.0,1.2,331
NOR,11.0,84.245,MEDIUM,1.0,1,27.7,46.9,51.0,982.0,0.8,336
NOR,12.0,84.042,MEDIUM,1.0,1,27.6,47.6,51.0,982.0,1.3,358
NOR,13.0,84.343,MEDIUM,1.0,1,27.7,47.4,50.0,981.9,1.6,330
NOR,14.0,84.367,MEDIUM,1.0,1,27.6,45.3,50.0,981.9,1.9,10
NOR,15.0,84.334,MEDIUM,1.0,1,27.6,44.0,50.0,981.9,2.4,357
NOR,16.0,84.296,MEDIUM,1.0,1,27.6,44.3,51.0,982.0,1.5,191
NOR,17.0,86.485,MEDIUM,1.0,1,27.7,45.6,51.0,982.0,1.1,250
NOR,18.0,101.807,HARD,2.0,1,27.6,45.6,51.0,982.0,0.9,205
NOR,19.0,83.779,HARD,2.0,1,27.8,47.3,51.0,982.0,0.5,236
NOR,20.0,83.455,HARD,2.0,1,28.0,47.3,49.0,982.0,0.8,235
