Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
RIC,1.0,,SOFT,1.0,1,16.8,24.2,68.0,1016.5,0.6,0
RIC,2.0,91.129,SOFT,1.0,1,16.8,24.6,69.0,1016.4,0.5,232
RIC,3.0,,SOFT,1.0,1,16.7,24.8,68.0,1016.4,1.2,193
RIC,4.0,126.871,SOFT,1.0,1,16.8,24.7,69.0,1016.4,0.9,202
RIC,5.0,135.684,SOFT,1.0,12,16.8,24.5,67.0,1016.4,0.9,245
RIC,6.0,91.168,SOFT,1.0,1,16.8,24.5,68.0,1016.3,1.8,196
RIC,7.0,135.844,SOFT,1.0,1,16.9,24.9,67.0,1016.3,2.5,174
RIC,8.0,,SOFT,2.0,1,17.0,24.9,68.0,1016.3,1.2,140
RIC,9.0,95.929,SOFT,2.0,1,17.0,24.9,68.0,1016.3,0.9,176
RIC,10.0,,SOFT,3.0,1,17.1,25.1,69.0,1016.3,1.8,211
RIC,11.0,94.124,SOFT,3.0,1,17.1,25.4,67.0,1016.2,1.4,191
RIC,12.0,95.365,SOFT,3.0,1,17.0,25.5,67.0,1016.2,1.6,186
RIC,13.0,95.364,SOFT,3.0,1,17.2,24.9,68.0,1016.2,1.3,190
RIC,14.0,95.169,SOFT,3.0,1,17.3,24.9,68.0,1016.2,1.7,198
RIC,15.0,95.674,SOFT,3.0,1,17.4,24.8,66.0,1016.1,1.2,204
RIC,16.0,99.074,SOFT,3.0,1,17.3,24.7,67.0,1016.2,1.0,210
RIC,17.0,,SOFT,4.0,1,17.2,24.7,67.0,1016.2,0.7,194
RIC,18.0,90.682,SOFT,4.0,1,17.2,25.0,68.0,1016.1,1.0,181
RIC,19.0,,SOFT,4.0,1,17.2,25.3,68.0,1016.2,1.0,177
RIC,20.0,146.743,SOFT,4.0,1,17.1,25.4,68.0,1016.2,0.7,142
RIC,21.0,110.384,SOFT,4.0,1,17.1,25.4,68.0,1016.1,0.4,214
RIC,22.0,92.182,SOFT,4.0,1,17.3,25.9,67.0,1016.2,1.3,128
RIC,23.0,125.721,SOFT,4.0,1,17.3,25.4,65.0,1016.2,1.5,176
RIC,24.0,129.214,SOFT,4.0,1,17.4,25.3,65.0,1016.2,1.4,193
