Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
TSU,1.0,,SOFT,1.0,1,17.6,27.9,58.0,1014.2,1.3,174
TSU,2.0,89.821,SOFT,1.0,1,17.7,27.9,58.0,1014.2,1.6,164
TSU,3.0,104.54,SOFT,1.0,1,17.7,27.9,57.0,1014.1,1.4,196
TSU,4.0,,SOFT,2.0,1,17.7,28.3,57.0,1014.2,1.6,181
TSU,5.0,89.775,SOFT,2.0,1,17.7,28.3,56.0,1014.1,1.9,187
TSU,6.0,113.313,SOFT,2.0,1,17.7,28.1,55.0,1014.2,1.6,182
TSU,7.0,,SOFT,3.0,1,17.8,28.2,56.0,1014.0,1.9,171
TSU,8.0,90.399,SOFT,3.0,1,17.9,28.0,56.0,1014.2,1.8,175
TSU,9.0,107.357,SOFT,3.0,1,17.9,27.9,56.0,1014.1,2.0,175
TSU,10.0,,SOFT,4.0,1,17.9,27.6,55.0,1014.1,2.0,154
TSU,11.0,89.417,SOFT,4.0,1,17.9,28.0,55.0,1014.1,1.2,174
TSU,12.0,117.953,SOFT,4.0,1,17.9,27.7,56.0,1014.0,1.9,197
TSU,13.0,,SOFT,5.0,1,17.9,27.7,56.0,1014.0,2.3,183
TSU,14.0,90.191,SOFT,5.0,1,17.9,27.7,57.0,1014.0,1.7,177
TSU,15.0,107.169,SOFT,5.0,1,17.9,27.5,56.0,1014.0,1.7,175
TSU,16.0,,SOFT,6.0,1,17.9,27.2,56.0,1014.1,2.0,173
TSU,17.0,89.413,SOFT,6.0,1,17.9,27.2,56.0,1013.9,1.4,183
TSU,18.0,125.633,SOFT,6.0,1,17.8,27.5,57.0,1014.0,1.3,164
