Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
TSU,1.0,167.566,MEDIUM,1.0,125,22.2,39.4,44.0,1012.5,2.1,179
TSU,2.0,,SOFT,2.0,1,22.1,39.3,44.0,1012.5,1.8,181
TSU,3.0,,SOFT,2.0,1,22.0,39.2,45.0,1012.4,1.8,170
TSU,4.0,99.108,SOFT,2.0,1,22.0,39.3,45.0,1012.4,2.1,182
TSU,5.0,99.508,SOFT,2.0,1,22.0,39.1,44.0,1012.4,2.2,196
TSU,6.0,98.887,SOFT,2.0,1,22.0,38.9,44.0,1012.4,2.5,172
TSU,7.0,100.998,SOFT,2.0,1,22.0,38.9,45.0,1012.4,2.7,171
TSU,8.0,118.044,HARD,3.0,1,22.1,39.4,45.0,1012.5,1.7,172
TSU,9.0,97.17,HARD,3.0,1,22.2,39.4,45.0,1012.4,2.0,172
TSU,10.0,97.496,HARD,3.0,1,22.0,39.5,44.0,1012.4,1.7,177
TSU,11.0,97.895,HARD,3.0,1,22.0,39.5,44.0,1012.4,1.7,167
TSU,12.0,100.057,HARD,3.0,1,22.1,39.8,45.0,1012.4,1.8,154
TSU,13.0,98.98,HARD,3.0,1,22.1,39.7,45.0,1012.4,1.4,169
TSU,14.0,98.51,HARD,3.0,1,22.2,39.4,45.0,1012.3,2.2,186
TSU,15.0,99.925,HARD,3.0,1,22.3,39.4,43.0,1012.5,2.4,193
TSU,16.0,100.096,HARD,3.0,1,22.1,39.0,43.0,1012.5,2.2,180
TSU,17.0,97.944,HARD,3.0,1,21.9,39.1,44.0,1012.4,2.2,192
TSU,18.0,99.27,HARD,3.0,1,22.0,39.4,42.0,1012.4,1.5,147
TSU,19.0,99.658,HARD,3.0,1,22.0,39.4,43.0,1012.3,1.7,185
TSU,20.0,99.1,HARD,3.0,1,22.0,39.3,42.0,1012.3,2.4,200
TSU,21.0,99.562,HARD,3.0,1,22.2,39.5,43.0,1012.3,2.1,191
TSU,22.0,101.916,HARD,3.0,1,22.2,39.5,43.0,1012.3,1.6,174
TSU,23.0,117.251,HARD,4.0,1,22.2,39.8,43.0,1012.3,2.3,191
TSU,24.0,96.637,HARD,4.0,1,22.1,39.9,43.0,1012.3,2.2,186
TSU,25.0,97.073,HARD,4.0,1,22.1,39.7,42.0,1012.4,2.1,194
TSU,26.0,97.037,HARD,4.0,1,22.0,39.5,41.0,1012.3,1.4,193
TSU,27.0,97.184,HARD,4.0,1,22.0,39.3,43.0,1012.3,1.5,201
TSU,28.0,97.227,HARD,4.0,1,22.1,39.8,42.0,1012.2,1.2,176
TSU,29.0,97.319,HARD,4.0,1,22.3,40.0,42.0,1012.1,1.3,167
TSU,30.0,97.617,HARD,4.0,1,22.3,40.2,41.0,1012.2,1.5,164
TSU,31.0,97.676,HARD,4.0,1,22.2,40.2,41.0,1012.2,1.5,146
TSU,32.0,98.624,HARD,4.0,1,22.2,40.2,40.0,1012.2,0.9,165
TSU,33.0,98.692,HARD,4.0,1,22.3,39.7,39.0,1012.1,1.8,168
TSU,34.0,97.793,HARD,4.0,1,22.1,39.6,38.0,1012.2,1.6,178
TSU,35.0,97.626,HARD,4.0,1,22.1,39.6,39.0,1012.1,1.5,212
TSU,36.0,97.103,HARD,4.0,1,22.2,40.0,41.0,1012.1,2.3,194
TSU,37.0,97.419,HARD,4.0,1,22.3,39.9,39.0,1012.1,2.9,203
TSU,38.0,97.442,HARD,4.0,1,22.1,39.5,39.0,1012.1,1.7,149
TSU,39.0,97.595,HARD,4.0,1,22.1,39.5,41.0,1012.1,1.2,205
TSU,40.0,97.441,HARD,4.0,1,22.2,39.9,42.0,1012.1,1.8,226
TSU,41.0,97.297,HARD,4.0,12,22.3,39.9,41.0,1012.1,1.0,183
TSU,42.0,97.493,HARD,4.0,21,22.4,39.9,42.0,1012.1,2.3,200
TSU,43.0,97.498,HARD,4.0,1,22.4,40.4,41.0,1012.1,3.4,201
TSU,44.0,97.329,HARD,4.0,1,22.2,39.9,41.0,1012.1,2.4,185
TSU,45.0,97.25,HARD,4.0,1,22.1,40.4,41.0,1012.1,2.2,183
TSU,46.0,97.046,HARD,4.0,1,22.1,40.0,40.0,1012.1,1.4,195
TSU,47.0,97.106,HARD,4.0,1,22.2,40.2,42.0,1012.0,1.8,179
TSU,48.0,97.038,HARD,4.0,1,22.3,40.2,42.0,1012.1,2.2,189
TSU,49.0,96.557,HARD,4.0,1,22.5,39.7,41.0,1012.1,1.4,173
TSU,50.0,96.388,HARD,4.0,1,22.4,39.7,41.0,1012.1,1.4,173
TSU,51.0,96.342,HARD,4.0,1,22.5,39.7,41.0,1012.0,1.4,147
TSU,52.0,98.195,HARD,4.0,1,22.5,40.1,41.0,1012.1,1.9,183
