Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
STR,1.0,,HARD,1.0,1,15.1,17.4,18.0,942.4,0.0,0
STR,2.0,141.914,HARD,2.0,1,15.1,17.4,18.0,942.3,0.0,0
STR,3.0,137.621,MEDIUM,3.0,1,15.1,17.4,19.0,942.3,0.0,221
STR,4.0,,SOFT,4.0,1,15.1,17.4,19.0,942.3,0.0,0
STR,5.0,109.961,SOFT,4.0,1,15.1,17.3,19.0,942.3,0.0,0
STR,6.0,97.627,SOFT,4.0,1,15.1,17.3,18.0,942.3,0.0,55
STR,7.0,116.8,SOFT,4.0,12,15.1,17.7,17.0,942.3,0.5,0
STR,8.0,97.67,SOFT,4.0,1,15.1,17.7,17.0,942.3,0.3,35
STR,9.0,127.257,SOFT,4.0,1,15.1,17.7,17.0,942.4,0.5,0
STR,10.0,96.95,SOFT,4.0,1,15.1,17.5,18.0,942.3,0.0,0
STR,11.0,117.556,SOFT,4.0,12,15.1,17.4,18.0,942.2,0.6,27
STR,12.0,,SOFT,5.0,1,15.2,17.4,18.0,942.2,0.7,32
STR,13.0,,SOFT,5.0,125,15.1,17.4,18.0,942.1,0.5,66
