Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
SAI,1.0,,SOFT,1.0,1,12.2,14.9,25.0,941.4,1.4,207
SAI,2.0,95.979,SOFT,1.0,1,12.1,14.8,26.0,941.3,1.3,202
SAI,3.0,128.662,SOFT,1.0,1,12.1,14.7,25.0,941.3,1.3,213
SAI,4.0,93.484,SOFT,1.0,1,12.1,14.7,26.0,941.4,1.2,207
SAI,5.0,136.404,SOFT,1.0,1,12.1,14.7,26.0,941.4,1.2,210
SAI,6.0,133.658,SOFT,2.0,1,12.1,14.8,26.0,941.4,1.2,211
SAI,7.0,93.537,SOFT,2.0,12,12.1,14.7,25.0,941.3,0.9,192
SAI,8.0,125.737,SOFT,2.0,1,12.1,14.7,25.0,941.4,0.9,204
SAI,9.0,,SOFT,3.0,1,12.1,14.7,25.0,941.4,1.0,197
SAI,10.0,100.169,SOFT,3.0,1,12.1,14.7,25.0,941.4,1.0,206
SAI,11.0,133.442,SOFT,4.0,1,12.1,14.6,26.0,941.4,1.1,236
SAI,12.0,112.369,SOFT,4.0,1,12.1,14.6,26.0,941.4,0.9,219
SAI,13.0,93.148,SOFT,4.0,1,12.1,14.5,26.0,941.4,1.2,204
SAI,14.0,131.463,SOFT,4.0,1,11.9,14.5,26.0,941.4,0.8,209
SAI,15.0,117.472,SOFT,4.0,1,11.9,14.5,26.0,941.4,0.9,205
SAI,16.0,92.711,SOFT,4.0,1,11.9,14.6,26.0,941.4,0.7,0
SAI,17.0,141.049,SOFT,4.0,12,11.8,14.6,26.0,941.6,0.0,0
SAI,18.0,,SOFT,5.0,21,12.0,14.6,26.0,941.5,0.5,235
SAI,19.0,93.022,SOFT,5.0,1,12.1,14.6,25.0,941.5,1.0,220
SAI,20.0,110.69,SOFT,5.0,1,12.2,14.6,25.0,941.5,1.2,207
SAI,21.0,,SOFT,6.0,1,12.3,14.7,25.0,941.5,0.9,223
SAI,22.0,107.256,SOFT,6.0,1,12.4,14.7,25.0,941.4,1.3,206
SAI,23.0,92.41,SOFT,6.0,1,12.4,14.6,25.0,941.5,1.1,181
SAI,24.0,129.701,SOFT,6.0,1,12.4,14.6,25.0,941.5,1.1,183
