Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HAM,1.0,109.116,MEDIUM,1.0,1,18.6,18.2,49.0,935.7,2.4,245
HAM,2.0,100.033,MEDIUM,1.0,1,18.5,18.3,49.0,935.7,2.8,223
HAM,3.0,99.403,MEDIUM,1.0,1,18.6,18.4,49.0,935.8,1.4,220
HAM,4.0,99.157,MEDIUM,1.0,1,18.6,18.3,49.0,935.8,2.6,244
HAM,5.0,99.207,MEDIUM,1.0,1,18.6,18.1,49.0,935.7,4.0,228
HAM,6.0,98.648,MEDIUM,1.0,1,18.5,18.1,49.0,935.8,3.8,228
HAM,7.0,100.235,MEDIUM,1.0,1,18.5,18.3,49.0,935.8,2.9,216
HAM,8.0,99.095,MEDIUM,1.0,1,18.5,18.3,49.0,935.8,1.8,262
HAM,9.0,100.926,MEDIUM,1.0,1,18.5,18.4,49.0,935.7,2.2,270
HAM,10.0,100.2,MEDIUM,1.0,1,18.5,18.5,49.0,935.9,2.9,241
HAM,11.0,99.007,MEDIUM,1.0,1,18.5,18.5,49.0,935.8,2.4,209
HAM,12.0,99.078,MEDIUM,1.0,1,18.5,18.7,49.0,935.8,2.8,230
HAM,13.0,103.19,MEDIUM,1.0,1,18.5,18.6,49.0,935.8,1.6,225
HAM,14.0,114.928,HARD,2.0,1,18.5,18.6,49.0,935.8,1.3,193
HAM,15.0,97.772,HARD,2.0,1,18.4,18.5,49.0,935.8,2.5,223
HAM,16.0,97.091,HARD,2.0,1,18.4,18.4,49.0,935.8,2.5,0
HAM,17.0,99.354,HARD,2.0,1,18.4,18.8,49.0,935.7,1.1,251
HAM,18.0,97.668,HARD,2.0,1,18.4,18.4,49.0,935.7,2.3,220
HAM,19.0,98.14,HARD,2.0,1,18.4,18.4,49.0,935.5,2.4,256
HAM,20.0,97.275,HARD,2.0,1,18.4,18.4,49.0,935.6,2.2,237
HAM,21.0,97.355,HARD,2.0,1,18.4,18.5,49.0,935.5,1.9,221
HAM,22.0,97.086,HARD,2.0,1,18.4,18.7,49.0,935.5,2.5,131
HAM,23.0,97.121,HARD,2.0,1,18.4,18.4,49.0,935.4,2.1,349
HAM,24.0,97.323,HARD,2.0,1,18.3,18.6,50.0,935.6,1.5,228
HAM,25.0,98.213,HARD,2.0,1,18.4,18.6,49.0,935.5,2.1,228
HAM,26.0,97.055,HARD,2.0,1,18.4,18.8,49.0,935.5,4.2,355
HAM,27.0,103.83,HARD,2.0,1,18.3,18.8,49.0,935.5,2.9,263
HAM,28.0,112.902,HARD,3.0,1,18.3,18.8,49.0,935.5,2.5,251
HAM,29.0,96.951,HARD,3.0,1,18.3,19.9,49.0,935.6,2.9,254
HAM,30.0,96.748,HARD,3.0,1,18.3,18.6,49.0,935.6,3.6,126
HAM,31.0,96.412,HARD,3.0,1,18.3,18.6,49.0,935.5,2.3,239
HAM,32.0,96.96,HARD,3.0,1,18.3,18.6,49.0,935.6,2.3,272
HAM,33.0,97.293,HARD,3.0,1,18.2,18.6,49.0,935.5,1.9,270
HAM,34.0,96.685,HARD,3.0,1,18.2,18.6,49.0,935.6,1.6,241
HAM,35.0,96.397,HARD,3.0,1,18.3,18.6,49.0,935.7,2.1,222
HAM,36.0,96.288,HARD,3.0,1,18.3,18.6,49.0,935.7,2.0,201
HAM,37.0,96.177,HARD,3.0,1,18.2,18.6,49.0,935.8,1.2,260
HAM,38.0,96.148,HARD,3.0,1,18.2,18.6,49.0,935.8,4.1,229
HAM,39.0,95.88,HARD,3.0,1,18.2,18.6,49.0,935.6,3.9,204
HAM,40.0,95.928,HARD,3.0,1,18.1,18.6,50.0,935.5,3.6,259
HAM,41.0,95.48,HARD,3.0,1,18.1,18.5,50.0,935.6,3.5,232
HAM,42.0,95.884,HARD,3.0,1,18.1,18.5,49.0,935.6,3.8,219
HAM,43.0,95.863,HARD,3.0,1,18.1,18.6,50.0,935.6,3.2,199
HAM,44.0,95.662,HARD,3.0,1,18.1,18.6,50.0,935.5,2.3,210
HAM,45.0,95.988,HARD,3.0,1,18.1,18.5,50.0,935.6,2.9,210
HAM,46.0,95.877,HARD,3.0,1,18.0,18.5,50.0,935.6,2.5,195
HAM,47.0,97.086,HARD,3.0,1,18.0,18.5,50.0,935.6,2.5,195
HAM,48.0,97.457,HARD,3.0,1,18.0,18.5,50.0,935.6,1.9,162
HAM,49.0,97.593,HARD,3.0,1,18.0,18.5,50.0,935.7,0.9,258
HAM,50.0,98.117,HARD,3.0,1,18.0,18.5,50.0,935.7,2.7,246
