Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HUL,1.0,,TEST_UNKNOWN,1.0,12,22.8,42.9,27.0,783.2,0.9,267
HUL,2.0,80.003,TEST_UNKNOWN,1.0,1,22.9,42.7,27.0,783.3,1.9,292
HUL,3.0,111.778,TEST_UNKNOWN,1.0,1,22.9,42.6,26.0,783.3,2.5,274
HUL,4.0,79.432,TEST_UNKNOWN,1.0,1,22.8,42.5,27.0,783.3,1.8,324
HUL,5.0,90.768,TEST_UNKNOWN,1.0,1,22.8,42.2,28.0,783.3,1.9,277
HUL,6.0,,TEST_UNKNOWN,2.0,1,22.7,42.1,27.0,783.3,1.0,278
HUL,7.0,78.621,TEST_UNKNOWN,2.0,1,22.8,42.1,28.0,783.2,2.2,308
HUL,8.0,126.718,TEST_UNKNOWN,2.0,1,22.9,42.4,28.0,783.3,2.8,297
HUL,9.0,78.854,TEST_UNKNOWN,2.0,1,22.8,42.4,27.0,783.2,2.7,238
HUL,10.0,95.678,TEST_UNKNOWN,2.0,12,22.7,42.3,28.0,783.3,2.4,314
HUL,11.0,,TEST_UNKNOWN,3.0,1,22.7,42.2,28.0,783.2,0.8,239
HUL,12.0,82.079,TEST_UNKNOWN,3.0,1,22.6,41.9,28.0,783.2,1.0,285
HUL,13.0,82.693,TEST_UNKNOWN,3.0,1,22.6,41.9,28.0,783.2,0.9,268
HUL,14.0,82.665,TEST_UNKNOWN,3.0,1,22.7,41.9,28.0,783.3,1.1,275
HUL,15.0,83.041,TEST_UNKNOWN,3.0,1,22.7,41.9,28.0,783.2,1.4,275
HUL,16.0,83.383,TEST_UNKNOWN,3.0,1,22.8,41.8,28.0,783.3,1.1,279
HUL,17.0,83.51,TEST_UNKNOWN,3.0,1,22.9,41.8,28.0,783.2,1.2,309
HUL,18.0,83.523,TEST_UNKNOWN,3.0,1,23.0,41.8,28.0,783.3,1.0,197
HUL,19.0,83.581,TEST_UNKNOWN,3.0,1,23.0,41.6,28.0,783.3,0.7,117
HUL,20.0,83.909,TEST_UNKNOWN,3.0,1,22.9,41.6,27.0,783.3,2.6,309
HUL,21.0,83.844,TEST_UNKNOWN,3.0,1,22.9,41.6,24.0,783.2,2.2,269
HUL,22.0,89.295,TEST_UNKNOWN,3.0,1,23.0,41.6,24.0,783.3,2.8,267
HUL,23.0,,TEST_UNKNOWN,4.0,1,23.0,41.4,24.0,783.2,2.2,276
HUL,24.0,82.433,TEST_UNKNOWN,4.0,1,23.0,41.0,24.0,783.3,2.4,287
HUL,25.0,82.241,TEST_UNKNOWN,4.0,1,23.0,41.0,24.0,783.3,1.1,333
HUL,26.0,82.372,TEST_UNKNOWN,4.0,1,23.0,41.0,24.0,783.3,1.5,239
HUL,27.0,82.478,TEST_UNKNOWN,4.0,1,23.0,40.8,23.0,783.2,1.0,304
HUL,28.0,82.671,TEST_UNKNOWN,4.0,1,23.0,41.0,23.0,783.3,1.1,354
HUL,29.0,83.233,TEST_UNKNOWN,4.0,1,22.9,41.0,23.0,783.3,0.9,266
HUL,30.0,82.61,TEST_UNKNOWN,4.0,1,22.9,40.9,23.0,783.3,1.4,271
HUL,31.0,82.783,TEST_UNKNOWN,4.0,1,22.9,40.8,23.0,783.4,1.0,317
HUL,32.0,82.704,TEST_UNKNOWN,4.0,1,22.8,40.7,23.0,783.3,1.6,5
HUL,33.0,82.891,TEST_UNKNOWN,4.0,1,22.8,40.8,23.0,783.3,1.1,293
HUL,34.0,89.491,TEST_UNKNOWN,4.0,1,23.0,40.6,23.0,783.3,1.1,307
