Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
NOR,1.0,,MEDIUM,1.0,1,21.9,44.7,40.0,784.9,1.4,207
NOR,2.0,77.203,MEDIUM,1.0,1,22.0,44.3,41.0,784.8,1.0,274
NOR,3.0,108.041,MEDIUM,1.0,1,22.2,44.4,40.0,784.9,3.2,277
NOR,4.0,,SOFT,2.0,1,22.2,44.9,41.0,784.8,3.5,280
NOR,5.0,76.505,SOFT,2.0,1,22.3,44.8,41.0,784.8,2.2,6
NOR,6.0,99.304,SOFT,2.0,1,22.3,44.6,40.0,784.8,1.2,285
NOR,7.0,,SOFT,3.0,1,22.4,44.4,40.0,784.8,2.5,303
NOR,8.0,76.301,SOFT,3.0,1,22.4,44.4,41.0,784.9,2.4,288
NOR,9.0,96.388,SOFT,3.0,1,22.3,44.4,41.0,784.8,1.3,290
NOR,10.0,,SOFT,4.0,1,22.4,44.3,41.0,784.7,0.6,325
NOR,11.0,76.937,SOFT,4.0,1,22.3,43.9,40.0,784.8,0.7,300
NOR,12.0,94.29,SOFT,4.0,1,22.3,43.4,41.0,784.8,2.4,290
NOR,13.0,,SOFT,5.0,1,22.2,43.1,41.0,784.8,2.2,292
NOR,14.0,76.26,SOFT,5.0,1,22.2,43.1,41.0,784.8,2.2,317
NOR,15.0,101.095,SOFT,5.0,1,22.2,43.4,41.0,784.8,1.8,11
