Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
NOR,1.0,109.304,MEDIUM,1.0,124,18.1,33.1,55.0,786.5,2.3,311
NOR,2.0,138.718,MEDIUM,1.0,4,18.2,32.8,55.0,786.5,2.6,324
NOR,3.0,133.243,MEDIUM,1.0,4,18.1,32.8,55.0,786.5,2.4,324
NOR,4.0,131.1,MEDIUM,1.0,4,18.1,32.9,56.0,786.4,1.8,329
NOR,5.0,129.824,MEDIUM,1.0,4,18.1,32.9,55.0,786.4,2.5,322
NOR,6.0,121.27,MEDIUM,1.0,41,18.1,32.9,54.0,786.4,2.5,328
NOR,7.0,81.885,MEDIUM,1.0,1,18.1,32.8,55.0,786.3,2.6,313
NOR,8.0,81.724,MEDIUM,1.0,1,18.0,32.7,55.0,786.3,2.5,324
NOR,9.0,82.413,MEDIUM,1.0,1,18.1,33.0,55.0,786.3,2.0,321
NOR,10.0,84.863,MEDIUM,1.0,1,18.2,32.5,55.0,786.3,2.5,287
NOR,11.0,82.047,MEDIUM,1.0,1,18.3,32.5,55.0,786.2,1.7,285
NOR,12.0,81.803,MEDIUM,1.0,1,18.3,32.5,54.0,786.3,1.2,310
NOR,13.0,81.935,MEDIUM,1.0,1,18.4,32.9,54.0,786.2,2.1,341
NOR,14.0,81.988,MEDIUM,1.0,1,18.4,33.1,54.0,786.2,1.4,315
NOR,15.0,82.146,MEDIUM,1.0,1,18.5,33.1,54.0,786.2,1.5,303
NOR,16.0,81.981,MEDIUM,1.0,1,18.6,33.1,54.0,786.2,3.6,281
NOR,17.0,82.332,MEDIUM,1.0,1,18.7,32.9,54.0,786.2,2.5,298
NOR,18.0,82.271,MEDIUM,1.0,1,18.8,32.8,54.0,786.3,2.7,294
NOR,19.0,82.393,MEDIUM,1.0,1,18.7,32.8,54.0,786.1,3.2,340
NOR,20.0,82.352,MEDIUM,1.0,1,18.7,32.7,55.0,786.1,1.5,303
NOR,21.0,82.137,MEDIUM,1.0,1,18.8,32.8,54.0,786.1,2.2,303
NOR,22.0,82.311,MEDIUM,1.0,1,18.8,32.9,55.0,786.1,1.5,299
NOR,23.0,82.29,MEDIUM,1.0,1,18.9,33.7,54.0,786.0,1.5,280
NOR,24.0,82.062,MEDIUM,1.0,1,19.0,34.2,53.0,786.0,3.0,319
NOR,25.0,82.535,MEDIUM,1.0,1,19.1,35.5,53.0,786.0,2.5,296
NOR,26.0,82.63,MEDIUM,1.0,1,19.2,36.0,53.0,786.0,2.1,318
NOR,27.0,82.185,MEDIUM,1.0,1,19.3,36.3,52.0,786.1,1.8,337
NOR,28.0,82.676,MEDIUM,1.0,1,19.4,35.8,52.0,785.9,1.8,352
NOR,29.0,82.735,MEDIUM,1.0,1,19.4,36.5,52.0,785.9,1.8,334
NOR,30.0,86.051,MEDIUM,1.0,1,19.5,37.1,52.0,785.9,1.0,320
NOR,31.0,99.899,HARD,2.0,1,19.5,37.3,51.0,785.9,1.5,313
NOR,32.0,81.052,HARD,2.0,1,19.6,38.2,52.0,785.9,2.8,283
NOR,33.0,80.859,HARD,2.0,1,19.6,38.2,52.0,785.9,1.1,166
NOR,34.0,80.881,HARD,2.0,1,19.7,38.3,51.0,785.8,1.2,105
NOR,35.0,80.697,HARD,2.0,1,19.7,38.7,50.0,785.9,1.5,296
NOR,36.0,80.703,HARD,2.0,1,19.8,39.3,51.0,785.9,1.7,304
NOR,37.0,81.008,HARD,2.0,1,19.8,39.2,51.0,785.7,1.8,331
NOR,38.0,80.868,HARD,2.0,1,19.8,38.8,51.0,785.8,1.3,329
NOR,39.0,80.71,HARD,2.0,1,19.8,38.8,52.0,785.8,1.6,330
NOR,40.0,80.845,HARD,2.0,1,19.8,39.6,51.0,785.8,2.3,294
NOR,41.0,80.768,HARD,2.0,1,19.8,39.9,51.0,785.6,3.2,262
NOR,42.0,80.451,HARD,2.0,1,19.8,40.0,51.0,785.8,2.3,295
NOR,43.0,80.687,HARD,2.0,1,19.8,40.0,51.0,785.8,2.4,273
NOR,44.0,80.385,HARD,2.0,1,19.7,39.0,51.0,785.8,2.4,287
NOR,45.0,80.37,HARD,2.0,1,19.6,38.6,52.0,785.7,2.1,288
NOR,46.0,80.221,HARD,2.0,1,19.6,38.6,52.0,785.7,1.5,247
NOR,47.0,80.561,HARD,2.0,1,19.6,38.4,52.0,785.6,0.8,49
NOR,48.0,80.443,HARD,2.0,1,19.6,38.4,52.0,785.6,1.0,170
NOR,49.0,80.638,HARD,2.0,1,19.6,37.8,52.0,785.5,1.2,357
NOR,50.0,80.545,HARD,2.0,1,19.8,37.8,52.0,785.5,1.2,350
NOR,51.0,80.405,HARD,2.0,1,19.7,37.9,52.0,785.5,2.1,329
NOR,52.0,80.474,HARD,2.0,1,19.7,37.7,51.0,785.5,2.7,322
NOR,53.0,80.471,HARD,2.0,1,19.7,37.4,51.0,785.5,2.5,334
NOR,54.0,80.667,HARD,2.0,1,19.5,36.9,51.0,785.6,2.2,329
NOR,55.0,80.398,HARD,2.0,1,19.5,36.7,52.0,785.4,1.5,310
NOR,56.0,80.509,HARD,2.0,1,19.7,36.9,51.0,785.5,1.3,330
NOR,57.0,80.271,HARD,2.0,1,19.8,37.0,50.0,785.5,1.3,282
NOR,58.0,80.405,HARD,2.0,1,19.9,37.0,50.0,785.5,0.9,325
NOR,59.0,80.163,HARD,2.0,1,19.9,36.7,50.0,785.4,2.4,293
NOR,60.0,80.272,HARD,2.0,1,20.0,36.6,50.0,785.4,2.9,318
NOR,61.0,80.045,HARD,2.0,1,20.0,36.2,50.0,785.4,2.9,329
NOR,62.0,80.141,HARD,2.0,1,20.0,36.1,50.0,785.5,2.7,291
NOR,63.0,79.858,HARD,2.0,1,19.9,36.0,51.0,785.2,2.2,323
NOR,64.0,80.494,HARD,2.0,1,20.0,36.1,52.0,785.3,0.9,52
NOR,65.0,80.194,HARD,2.0,1,20.0,36.1,52.0,785.3,0.6,301
NOR,66.0,80.274,HARD,2.0,1,20.0,36.0,51.0,785.3,1.0,289
NOR,67.0,79.972,HARD,2.0,1,20.0,35.7,50.0,785.3,1.3,293
NOR,68.0,79.691,HARD,2.0,1,20.1,35.7,51.0,785.3,2.5,301
NOR,69.0,79.922,HARD,2.0,1,20.1,36.2,51.0,785.3,2.0,315
NOR,70.0,79.721,HARD,2.0,1,20.2,37.2,51.0,785.3,1.7,298
NOR,71.0,80.363,HARD,2.0,1,20.3,37.7,50.0,785.3,2.9,301
