Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
SAR,1.0,,HARD,1.0,12,28.5,49.7,56.0,1015.6,3.0,148
SAR,2.0,,HARD,1.0,251,28.4,48.4,58.0,1015.6,4.4,180
SAR,3.0,,HARD,2.0,1,28.3,46.6,58.0,1015.5,2.9,149
SAR,4.0,92.736,HARD,2.0,1,28.3,45.0,59.0,1015.5,2.7,168
SAR,5.0,91.502,HARD,2.0,1,28.4,47.6,59.0,1015.5,3.0,152
SAR,6.0,126.954,HARD,2.0,1,28.5,48.2,58.0,1015.5,2.2,148
SAR,7.0,122.132,HARD,3.0,1,28.3,47.9,58.0,1015.5,2.8,166
SAR,8.0,92.68,HARD,3.0,12,28.3,47.6,58.0,1015.4,3.0,165
SAR,9.0,92.68,HARD,3.0,1,28.3,47.6,58.0,1015.5,2.9,171
SAR,10.0,92.61,HARD,3.0,1,28.3,48.3,57.0,1015.5,3.6,155
SAR,11.0,92.587,HARD,3.0,1,28.5,48.7,57.0,1015.5,3.1,160
SAR,12.0,95.16,HARD,3.0,1,28.6,49.7,57.0,1015.5,2.8,148
SAR,13.0,93.492,HARD,3.0,1,28.7,49.5,55.0,1015.6,3.2,165
SAR,14.0,116.756,HARD,3.0,1,28.8,49.5,55.0,1015.5,3.0,182
SAR,15.0,,MEDIUM,4.0,1,28.7,47.4,55.0,1015.6,2.2,169
SAR,16.0,90.151,MEDIUM,4.0,1,28.6,47.0,56.0,1015.6,2.1,170
SAR,17.0,128.429,MEDIUM,4.0,1,28.6,46.1,56.0,1015.5,1.3,156
SAR,18.0,126.095,MEDIUM,4.0,1,28.7,43.4,54.0,1015.5,2.7,149
SAR,19.0,89.891,MEDIUM,4.0,1,28.8,43.4,55.0,1015.5,3.0,170
SAR,20.0,116.821,MEDIUM,4.0,1,28.6,45.0,56.0,1015.5,2.6,175
SAR,21.0,,MEDIUM,5.0,1,28.5,44.4,56.0,1015.5,3.3,163
SAR,22.0,126.797,MEDIUM,5.0,1,28.7,43.4,57.0,1015.4,3.0,143
SAR,23.0,133.67,MEDIUM,5.0,1,28.5,43.4,57.0,1015.5,3.1,153
