Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
HUL,1.0,,SOFT,1.0,1,29.4,49.2,52.0,1015.9,3.1,155
HUL,2.0,88.945,SOFT,1.0,1,29.5,49.2,50.0,1015.9,2.3,155
HUL,3.0,121.928,SOFT,1.0,1,29.4,49.9,52.0,1015.8,1.4,147
HUL,4.0,148.174,SOFT,2.0,1,29.3,49.9,53.0,1015.9,1.9,152
HUL,5.0,88.383,SOFT,2.0,1,29.2,49.8,53.0,1015.9,1.4,149
HUL,6.0,118.628,SOFT,2.0,1,29.2,50.4,53.0,1015.9,1.9,178
HUL,7.0,,SOFT,3.0,1,29.3,50.4,52.0,1015.8,3.8,157
HUL,8.0,89.232,SOFT,3.0,1,29.3,49.1,53.0,1015.9,3.0,167
HUL,9.0,114.443,SOFT,3.0,1,29.2,49.0,53.0,1015.9,3.5,149
HUL,10.0,,SOFT,4.0,1,29.0,47.9,54.0,1015.8,3.2,175
HUL,11.0,88.2,SOFT,4.0,1,28.9,47.6,55.0,1015.7,3.0,178
HUL,12.0,102.999,SOFT,4.0,12,28.9,48.4,55.0,1015.8,2.7,140
HUL,13.0,,SOFT,5.0,1,28.8,49.1,54.0,1015.8,3.1,152
HUL,14.0,88.387,SOFT,5.0,1,28.8,49.1,55.0,1015.8,3.3,171
HUL,15.0,118.368,SOFT,5.0,1,28.8,49.1,55.0,1015.8,3.2,167
HUL,16.0,,SOFT,6.0,1,29.0,49.5,55.0,1015.9,2.3,151
HUL,17.0,89.104,SOFT,6.0,1,29.0,49.5,53.0,1015.9,3.3,174
HUL,18.0,110.111,SOFT,6.0,1,29.1,47.6,54.0,1015.8,2.4,145
HUL,19.0,,SOFT,7.0,1,29.1,46.2,54.0,1015.7,2.1,186
HUL,20.0,88.146,SOFT,7.0,1,29.2,46.2,55.0,1015.8,2.1,157
HUL,21.0,,SOFT,7.0,1,29.2,48.5,55.0,1015.8,1.2,162
