Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALO,1.0,103.024,HARD,1.0,1,28.6,46.4,57.0,1017.0,3.3,166
ALO,2.0,95.579,HARD,1.0,1,28.8,47.2,57.0,1017.0,3.4,163
ALO,3.0,94.003,HARD,1.0,1,28.6,47.6,57.0,1017.0,3.4,169
ALO,4.0,94.022,HARD,1.0,1,28.5,47.5,57.0,1016.9,3.6,145
ALO,5.0,94.018,HARD,1.0,1,28.5,46.4,57.0,1016.9,4.0,147
ALO,6.0,94.06,HARD,1.0,1,28.6,47.1,58.0,1016.8,3.2,161
ALO,7.0,94.605,HARD,1.0,1,28.5,47.6,58.0,1016.9,3.1,155
ALO,8.0,93.751,HARD,1.0,1,28.5,48.3,57.0,1016.9,3.2,154
ALO,9.0,94.006,HARD,1.0,1,28.6,48.4,58.0,1016.8,3.0,147
ALO,10.0,94.619,HARD,1.0,1,28.6,48.0,58.0,1016.8,2.4,164
ALO,11.0,95.199,HARD,1.0,1,28.6,45.9,58.0,1016.7,2.0,149
ALO,12.0,95.193,HARD,1.0,1,28.6,45.9,58.0,1016.8,3.8,131
ALO,13.0,94.657,HARD,1.0,1,28.7,45.9,58.0,1016.7,2.6,142
ALO,14.0,94.618,HARD,1.0,1,28.9,47.1,56.0,1016.7,2.4,164
ALO,15.0,94.35,HARD,1.0,1,29.0,47.9,56.0,1016.7,3.3,163
ALO,16.0,94.208,HARD,1.0,1,29.0,48.4,56.0,1016.7,3.5,144
ALO,17.0,94.26,HARD,1.0,1,28.9,48.1,56.0,1016.8,3.7,153
ALO,18.0,94.157,HARD,1.0,1,28.9,48.1,57.0,1016.8,3.6,146
ALO,19.0,94.049,HARD,1.0,1,28.9,48.4,57.0,1016.8,3.2,141
ALO,20.0,94.23,HARD,1.0,1,29.0,48.8,58.0,1016.6,2.8,135
ALO,21.0,94.258,HARD,1.0,1,29.0,49.1,57.0,1016.7,3.0,136
ALO,22.0,102.401,HARD,1.0,16,29.0,48.6,57.0,1016.6,4.1,151
ALO,23.0,109.315,MEDIUM,2.0,671,28.8,49.1,57.0,1016.7,3.4,156
ALO,24.0,93.447,MEDIUM,2.0,1,28.6,49.1,56.0,1016.7,3.1,134
ALO,25.0,93.648,MEDIUM,2.0,1,28.6,46.8,56.0,1016.7,3.0,173
ALO,26.0,93.462,MEDIUM,2.0,1,28.7,48.0,56.0,1016.6,3.1,136
ALO,27.0,93.183,MEDIUM,2.0,1,28.7,49.0,56.0,1016.5,3.1,153
ALO,28.0,110.113,MEDIUM,2.0,124,28.8,48.3,56.0,1016.6,3.2,136
ALO,29.0,128.086,MEDIUM,2.0,4,28.8,46.7,57.0,1016.6,3.5,144
ALO,30.0,118.134,MEDIUM,2.0,4,28.7,46.4,58.0,1016.6,3.2,144
ALO,31.0,109.088,MEDIUM,2.0,4,28.6,46.3,58.0,1016.6,2.7,143
ALO,32.0,131.634,MEDIUM,2.0,41,28.5,45.2,57.0,1016.5,3.1,144
ALO,33.0,94.9,MEDIUM,2.0,1,28.5,44.2,57.0,1016.5,3.0,142
ALO,34.0,93.068,MEDIUM,2.0,1,28.5,44.2,57.0,1016.5,2.8,164
ALO,35.0,92.671,MEDIUM,2.0,1,28.5,44.9,58.0,1016.4,2.4,139
ALO,36.0,92.311,MEDIUM,2.0,1,28.5,45.1,58.0,1016.4,2.1,149
ALO,37.0,92.406,MEDIUM,2.0,1,28.6,45.1,57.0,1016.4,2.4,173
ALO,38.0,92.221,MEDIUM,2.0,1,28.6,45.1,56.0,1016.4,3.5,155
ALO,39.0,92.66,MEDIUM,2.0,1,28.6,44.1,56.0,1016.4,2.7,163
ALO,40.0,92.482,MEDIUM,2.0,1,28.6,44.3,56.0,1016.4,3.0,137
ALO,41.0,92.867,MEDIUM,2.0,1,28.6,45.8,57.0,1016.4,2.6,141
ALO,42.0,92.18,MEDIUM,2.0,1,28.7,46.8,57.0,1016.4,2.4,169
ALO,43.0,92.229,MEDIUM,2.0,1,28.6,47.3,56.0,1016.4,2.7,155
ALO,44.0,92.264,MEDIUM,2.0,1,28.6,47.9,56.0,1016.4,3.3,142
ALO,45.0,93.052,MEDIUM,2.0,1,28.5,48.0,57.0,1016.4,2.7,144
ALO,46.0,93.592,MEDIUM,2.0,1,28.5,46.6,57.0,1016.5,3.2,157
ALO,47.0,93.12,MEDIUM,2.0,1,28.4,46.4,57.0,1016.4,3.0,165
ALO,48.0,93.044,MEDIUM,2.0,1,28.5,46.4,57.0,1016.4,2.8,134
ALO,49.0,92.303,MEDIUM,2.0,1,28.6,45.6,58.0,1016.3,3.7,163
ALO,50.0,92.07,MEDIUM,2.0,1,28.4,45.2,57.0,1016.3,3.9,153
ALO,51.0,91.997,MEDIUM,2.0,1,28.4,43.0,57.0,1016.3,3.6,144
ALO,52.0,91.885,MEDIUM,2.0,1,28.3,42.9,58.0,1016.3,2.7,150
ALO,53.0,92.157,MEDIUM,2.0,1,28.3,43.5,58.0,1016.2,2.8,163
ALO,54.0,91.733,MEDIUM,2.0,1,28.4,45.6,58.0,1016.3,2.7,150
ALO,55.0,91.727,MEDIUM,2.0,1,28.4,45.9,57.0,1016.3,2.7,174
ALO,56.0,92.131,MEDIUM,2.0,1,28.5,46.2,57.0,1016.4,2.8,144
ALO,57.0,92.536,MEDIUM,2.0,1,28.5,45.9,57.0,1016.4,2.9,148
