Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
PIA,1.0,,MEDIUM,1.0,124,28.4,40.0,59.0,1016.8,3.5,160
PIA,2.0,,MEDIUM,2.0,4,28.4,40.0,58.0,1016.8,3.2,150
PIA,3.0,,MEDIUM,3.0,41,28.4,40.0,58.0,1016.8,3.0,169
PIA,4.0,92.362,MEDIUM,3.0,1,28.2,41.3,57.0,1016.9,3.1,172
PIA,5.0,91.478,MEDIUM,3.0,1,28.4,41.3,57.0,1016.8,3.6,147
PIA,6.0,91.812,MEDIUM,3.0,1,28.4,41.2,55.0,1016.8,3.4,148
PIA,7.0,91.887,MEDIUM,3.0,1,28.4,42.1,56.0,1016.8,3.1,148
PIA,8.0,91.762,MEDIUM,3.0,1,28.3,42.1,55.0,1016.9,3.7,168
PIA,9.0,92.341,MEDIUM,3.0,1,28.3,41.1,55.0,1016.9,3.6,162
PIA,10.0,92.188,MEDIUM,3.0,1,28.3,41.6,55.0,1016.9,3.1,141
PIA,11.0,92.307,MEDIUM,3.0,1,28.4,42.4,55.0,1016.9,3.3,162
PIA,12.0,93.274,MEDIUM,3.0,1,28.5,42.5,54.0,1016.9,3.4,156
PIA,13.0,91.631,MEDIUM,3.0,1,28.5,42.4,55.0,1016.9,2.9,149
PIA,14.0,91.628,MEDIUM,3.0,1,28.5,41.4,55.0,1016.9,2.6,159
PIA,15.0,91.677,MEDIUM,3.0,1,28.4,42.4,56.0,1017.0,3.2,165
PIA,16.0,91.839,MEDIUM,3.0,1,28.5,42.4,55.0,1016.9,4.3,169
PIA,17.0,91.71,MEDIUM,3.0,1,28.6,42.4,57.0,1016.9,3.8,153
PIA,18.0,91.745,MEDIUM,3.0,1,28.5,43.4,58.0,1016.8,2.9,158
PIA,19.0,91.393,MEDIUM,3.0,1,28.5,43.4,56.0,1016.9,3.1,151
