Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
RUS,1.0,,MEDIUM,1.0,1,28.8,50.8,56.0,1014.2,2.9,177
RUS,2.0,88.986,MEDIUM,1.0,1,28.7,50.8,56.0,1014.2,3.7,171
RUS,3.0,133.756,MEDIUM,1.0,1,28.7,49.8,57.0,1014.2,4.6,184
RUS,4.0,141.842,MEDIUM,2.0,1,28.6,49.9,57.0,1014.2,3.1,172
RUS,5.0,88.387,MEDIUM,2.0,1,28.6,49.9,57.0,1014.2,3.7,180
RUS,6.0,117.289,MEDIUM,2.0,1,28.6,49.3,57.0,1014.2,3.9,148
RUS,7.0,,MEDIUM,3.0,1,28.5,49.2,57.0,1014.1,3.3,157
RUS,8.0,88.343,MEDIUM,3.0,1,28.5,47.7,57.0,1014.1,3.7,165
RUS,9.0,128.636,MEDIUM,3.0,1,28.5,47.6,57.0,1014.2,3.5,163
RUS,10.0,132.469,MEDIUM,4.0,1,28.5,48.0,59.0,1014.2,3.4,158
RUS,11.0,88.502,MEDIUM,4.0,1,28.5,48.0,60.0,1014.2,3.6,174
RUS,12.0,,MEDIUM,4.0,1,28.3,47.5,59.0,1014.1,4.1,181
