Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ZHO,1.0,104.187,SOFT,1.0,1,21.6,45.0,56.0,1017.6,0.0,92
ZHO,2.0,,SOFT,1.0,125,21.7,45.0,56.0,1017.5,0.3,0
ZHO,3.0,104.443,SOFT,2.0,12,21.6,45.2,55.0,1017.6,0.0,326
ZHO,4.0,75.543,SOFT,2.0,1,21.7,45.7,55.0,1017.6,0.0,317
ZHO,5.0,108.932,SOFT,2.0,12,21.8,45.8,57.0,1017.5,0.7,276
ZHO,6.0,95.281,SOFT,2.0,1,21.8,45.8,57.0,1017.6,0.6,5
ZHO,7.0,75.173,SOFT,2.0,1,21.9,45.4,57.0,1017.6,1.1,3
ZHO,8.0,96.862,SOFT,2.0,12,21.7,45.2,58.0,1017.5,1.6,344
ZHO,9.0,98.459,SOFT,2.0,1,21.7,45.4,59.0,1017.5,1.1,334
ZHO,10.0,75.069,SOFT,2.0,1,21.7,46.0,59.0,1017.6,1.1,2
ZHO,11.0,99.424,SOFT,2.0,1,21.6,46.3,59.0,1017.5,0.8,0
ZHO,12.0,74.668,SOFT,2.0,1,21.5,46.3,58.0,1017.6,0.7,345
ZHO,13.0,99.901,SOFT,2.0,1,21.5,46.2,57.0,1017.5,0.8,0
ZHO,14.0,,SOFT,2.0,1,21.5,46.6,58.0,1017.4,0.0,0
ZHO,15.0,101.96,SOFT,3.0,1,21.5,46.7,58.0,1017.4,0.8,56
ZHO,16.0,84.683,SOFT,3.0,1,21.5,46.6,58.0,1017.4,0.6,16
ZHO,17.0,108.071,SOFT,3.0,1,21.5,46.6,58.0,1017.4,0.6,16
ZHO,18.0,74.381,SOFT,3.0,1,21.5,46.7,57.0,1017.4,1.3,277
ZHO,19.0,101.319,SOFT,3.0,1,21.4,46.3,58.0,1017.5,0.4,8
ZHO,20.0,73.947,SOFT,3.0,1,21.5,46.9,57.0,1017.4,1.0,3
ZHO,21.0,97.824,SOFT,3.0,1,21.6,46.9,57.0,1017.4,1.0,348
ZHO,22.0,73.83,SOFT,3.0,1,21.6,46.9,57.0,1017.4,0.9,20
ZHO,23.0,97.637,SOFT,3.0,1,21.7,46.8,57.0,1017.5,1.5,327
ZHO,24.0,78.473,SOFT,3.0,1,21.8,47.1,56.0,1017.4,0.8,359
ZHO,25.0,94.263,SOFT,3.0,1,21.8,47.1,57.0,1017.4,0.0,0
ZHO,26.0,74.705,SOFT,3.0,1,21.8,47.2,57.0,1017.5,0.5,0
ZHO,27.0,122.45,SOFT,3.0,1,21.8,47.2,56.0,1017.5,0.4,13
ZHO,28.0,,SOFT,3.0,1,21.8,47.7,57.0,1017.5,0.3,345
