Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
LEC,1.0,107.009,SOFT,1.0,1,21.4,49.0,58.0,1017.1,1.8,339
LEC,2.0,72.839,SOFT,1.0,1,21.5,49.0,58.0,1017.0,1.6,354
LEC,3.0,97.033,SOFT,1.0,1,21.5,48.9,58.0,1016.9,1.4,17
LEC,4.0,72.452,SOFT,1.0,1,21.5,48.4,58.0,1016.9,1.5,351
LEC,5.0,116.238,SOFT,1.0,1,21.6,48.1,59.0,1017.0,1.2,5
LEC,6.0,102.528,SOFT,2.0,1,21.6,48.7,59.0,1016.9,1.2,7
LEC,7.0,71.653,SOFT,2.0,12,21.6,48.7,59.0,1016.8,1.6,11
LEC,8.0,99.792,SOFT,2.0,1,21.5,47.9,59.0,1016.9,2.0,348
LEC,9.0,71.584,SOFT,2.0,1,21.4,47.7,61.0,1016.9,2.1,2
LEC,10.0,,SOFT,2.0,12,21.4,48.3,60.0,1017.0,1.6,352
LEC,11.0,96.347,SOFT,3.0,1,21.6,48.2,60.0,1017.0,1.4,347
LEC,12.0,71.356,SOFT,3.0,1,21.5,47.8,61.0,1016.9,1.4,313
LEC,13.0,95.734,SOFT,3.0,1,21.4,47.8,62.0,1016.9,1.4,328
LEC,14.0,71.289,SOFT,3.0,1,21.3,47.9,64.0,1016.9,1.4,312
LEC,15.0,,SOFT,3.0,1,21.3,47.9,65.0,1016.9,1.0,19
LEC,16.0,83.239,SOFT,4.0,1,21.3,47.2,64.0,1017.0,0.9,236
LEC,17.0,70.825,SOFT,4.0,1,21.4,46.7,61.0,1017.0,0.5,301
LEC,18.0,90.654,SOFT,4.0,1,21.4,46.7,60.0,1017.0,0.7,285
LEC,19.0,71.074,SOFT,4.0,1,21.5,45.6,61.0,1017.0,1.1,192
LEC,20.0,,SOFT,4.0,12,21.5,45.5,59.0,1016.9,1.0,317
LEC,21.0,92.957,SOFT,5.0,1,21.5,45.5,60.0,1017.0,1.2,246
LEC,22.0,70.418,SOFT,5.0,1,21.5,45.3,60.0,1017.0,0.9,215
LEC,23.0,,SOFT,5.0,1,21.5,44.9,59.0,1016.9,1.1,0
LEC,24.0,95.143,SOFT,6.0,1,21.5,44.9,58.0,1016.9,0.4,275
LEC,25.0,70.27,SOFT,6.0,1,21.5,44.8,58.0,1016.9,0.9,0
LEC,26.0,,SOFT,6.0,1,21.5,44.8,59.0,1016.9,0.9,320
