Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALB,1.0,2494.817,MEDIUM,1.0,1254,21.1,49.4,69.0,1019.1,1.1,27
ALB,2.0,142.255,HARD,2.0,41,21.1,49.5,68.0,1019.1,0.8,2
ALB,3.0,87.834,HARD,2.0,1,21.0,50.0,68.0,1019.2,0.9,3
ALB,4.0,83.286,HARD,2.0,1,21.0,48.3,68.0,1019.1,0.7,8
ALB,5.0,83.369,HARD,2.0,1,20.9,48.4,66.0,1019.1,1.2,107
ALB,6.0,83.416,HARD,2.0,1,21.0,48.4,66.0,1019.1,0.4,1
ALB,7.0,81.913,HARD,2.0,1,21.1,48.0,67.0,1019.1,1.3,329
ALB,8.0,81.536,HARD,2.0,1,21.0,47.8,67.0,1019.1,1.4,38
ALB,9.0,82.004,HARD,2.0,1,21.0,48.0,66.0,1019.0,1.0,9
ALB,10.0,81.562,HARD,2.0,1,21.2,48.0,66.0,1019.1,1.1,22
ALB,11.0,81.514,HARD,2.0,1,21.1,48.0,66.0,1019.0,1.3,353
ALB,12.0,80.821,HARD,2.0,1,21.1,48.4,68.0,1018.9,1.1,352
ALB,13.0,81.42,HARD,2.0,1,21.1,48.0,67.0,1019.0,1.0,348
ALB,14.0,80.591,HARD,2.0,1,21.1,48.3,67.0,1019.1,0.8,6
ALB,15.0,80.591,HARD,2.0,1,21.1,48.1,68.0,1019.0,1.1,27
ALB,16.0,80.793,HARD,2.0,1,21.1,48.3,68.0,1019.1,1.1,329
ALB,17.0,81.137,HARD,2.0,1,21.1,48.3,67.0,1019.0,1.0,22
ALB,18.0,80.042,HARD,2.0,1,21.2,48.1,67.0,1019.0,1.4,357
ALB,19.0,80.245,HARD,2.0,1,21.1,48.1,67.0,1019.0,1.1,210
ALB,20.0,80.36,HARD,2.0,1,21.2,48.7,66.0,1018.9,2.2,215
ALB,21.0,80.937,HARD,2.0,1,21.3,48.7,66.0,1019.0,1.4,0
ALB,22.0,80.542,HARD,2.0,1,21.3,48.5,66.0,1019.0,0.7,333
ALB,23.0,80.143,HARD,2.0,1,21.3,48.5,67.0,1019.0,0.6,210
ALB,24.0,80.517,HARD,2.0,1,21.2,45.8,67.0,1019.0,1.1,228
ALB,25.0,80.323,HARD,2.0,1,21.2,45.8,68.0,1019.1,0.7,19
ALB,26.0,80.463,HARD,2.0,1,21.3,45.8,68.0,1019.0,0.7,233
ALB,27.0,80.509,HARD,2.0,1,21.3,46.4,69.0,1019.0,0.8,237
ALB,28.0,79.51,HARD,2.0,1,21.3,46.6,69.0,1019.1,1.5,213
ALB,29.0,80.271,HARD,2.0,1,21.2,46.6,69.0,1019.0,2.3,0
ALB,30.0,81.439,HARD,2.0,1,21.2,47.3,69.0,1019.0,0.6,0
ALB,31.0,80.941,HARD,2.0,1,21.2,47.9,68.0,1019.0,0.0,225
ALB,32.0,80.148,HARD,2.0,1,21.2,47.3,68.0,1018.9,0.4,9
ALB,33.0,79.491,HARD,2.0,1,21.4,47.4,67.0,1018.9,1.9,7
ALB,34.0,79.134,HARD,2.0,1,21.3,47.4,67.0,1019.0,1.1,358
ALB,35.0,78.816,HARD,2.0,1,21.3,47.7,67.0,1019.0,0.7,355
ALB,36.0,81.628,HARD,2.0,1,21.3,48.6,67.0,1019.0,0.9,213
ALB,37.0,80.775,HARD,2.0,1,21.2,49.2,67.0,1018.9,0.9,337
ALB,38.0,80.314,HARD,2.0,1,21.3,48.9,67.0,1019.0,0.7,204
ALB,39.0,80.389,HARD,2.0,1,21.3,48.5,68.0,1019.0,0.9,229
ALB,40.0,79.812,HARD,2.0,1,21.4,48.7,68.0,1018.9,0.8,211
ALB,41.0,79.329,HARD,2.0,1,21.5,48.7,67.0,1018.9,0.6,343
ALB,42.0,80.084,HARD,2.0,1,21.6,48.8,67.0,1018.9,0.5,0
ALB,43.0,79.496,HARD,2.0,1,21.4,48.4,66.0,1018.9,0.4,21
ALB,44.0,79.683,HARD,2.0,1,21.5,48.3,66.0,1018.8,1.1,56
ALB,45.0,81.748,HARD,2.0,1,21.5,48.0,66.0,1018.8,1.0,56
ALB,46.0,80.594,HARD,2.0,1,21.4,48.0,66.0,1018.8,1.2,20
ALB,47.0,80.462,HARD,2.0,1,21.4,47.4,67.0,1018.9,1.1,209
ALB,48.0,79.321,HARD,2.0,1,21.4,47.0,66.0,1018.9,0.8,324
ALB,49.0,79.378,HARD,2.0,1,21.4,47.6,67.0,1019.0,0.7,333
