Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
ALO,1.0,,MEDIUM,1.0,1,21.2,26.7,51.0,1017.7,3.5,359
ALO,2.0,89.988,MEDIUM,1.0,1,21.3,26.7,51.0,1017.7,4.4,6
ALO,3.0,124.856,MEDIUM,1.0,1,21.2,26.5,51.0,1017.7,4.6,350
ALO,4.0,86.024,MEDIUM,1.0,1,21.2,26.4,52.0,1017.8,5.1,351
ALO,5.0,127.854,MEDIUM,1.0,1,21.1,26.4,53.0,1017.8,4.8,355
ALO,6.0,118.951,MEDIUM,1.0,1,21.1,26.4,53.0,1017.7,5.0,10
ALO,7.0,109.401,MEDIUM,1.0,1,21.1,26.3,54.0,1017.8,4.4,354
ALO,8.0,85.215,MEDIUM,1.0,1,21.0,26.0,54.0,1017.8,4.6,336
ALO,9.0,124.443,MEDIUM,1.0,1,21.0,26.0,55.0,1017.9,4.3,2
ALO,10.0,,MEDIUM,2.0,1,20.9,26.3,55.0,1017.8,4.1,5
ALO,11.0,84.762,MEDIUM,2.0,1,20.9,26.2,55.0,1017.9,5.0,357
ALO,12.0,135.593,MEDIUM,2.0,1,20.9,26.2,55.0,1017.9,4.2,353
ALO,13.0,84.159,MEDIUM,2.0,1,20.9,26.1,55.0,1018.0,3.6,347
ALO,14.0,124.222,MEDIUM,2.0,1,20.8,26.1,55.0,1017.9,3.7,15
ALO,15.0,85.981,MEDIUM,2.0,1,20.8,26.1,55.0,1017.9,4.1,357
ALO,16.0,85.814,MEDIUM,2.0,1,20.8,26.1,55.0,1017.8,3.8,9
ALO,17.0,86.661,MEDIUM,2.0,1,20.7,26.0,56.0,1017.9,4.3,350
ALO,18.0,97.612,MEDIUM,2.0,1,20.6,25.9,56.0,1018.1,4.2,359
ALO,19.0,,SOFT,3.0,1,20.6,25.9,56.0,1018.0,4.1,346
ALO,20.0,83.227,SOFT,3.0,1,20.6,25.9,56.0,1018.0,3.4,349
ALO,21.0,130.932,SOFT,3.0,1,20.6,25.8,56.0,1018.0,3.3,346
ALO,22.0,,MEDIUM,4.0,1,20.6,25.9,56.0,1018.1,3.6,347
ALO,23.0,118.28,MEDIUM,4.0,1,20.5,25.9,57.0,1018.0,3.4,8
ALO,24.0,,MEDIUM,4.0,1,20.5,25.9,57.0,1018.0,3.3,14
