Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
BOT,1.0,,SOFT,1.0,1,19.0,22.1,61.0,1017.8,2.2,4
BOT,2.0,82.753,SOFT,1.0,1,19.0,22.1,61.0,1017.7,1.7,352
BOT,3.0,129.542,SOFT,1.0,1,19.0,22.1,61.0,1017.7,1.9,355
BOT,4.0,82.348,SOFT,1.0,1,19.0,22.0,60.0,1017.7,2.1,355
BOT,5.0,103.08,SOFT,1.0,1,19.0,22.0,60.0,1017.7,2.4,11
BOT,6.0,,SOFT,2.0,1,19.0,22.0,60.0,1017.7,2.6,340
BOT,7.0,94.227,SOFT,2.0,1,19.0,22.1,60.0,1017.7,2.5,357
BOT,8.0,82.541,SOFT,2.0,1,19.0,22.0,60.0,1017.7,2.3,353
BOT,9.0,123.784,SOFT,2.0,1,19.0,22.0,60.0,1017.8,2.4,351
BOT,10.0,81.927,SOFT,2.0,1,19.0,22.0,60.0,1017.6,2.2,334
BOT,11.0,114.128,SOFT,2.0,1,19.0,22.0,60.0,1017.7,2.5,6
BOT,12.0,,SOFT,3.0,1,19.0,22.0,60.0,1017.7,2.6,351
BOT,13.0,96.854,SOFT,3.0,1,19.0,21.9,60.0,1017.7,2.2,346
BOT,14.0,81.883,SOFT,3.0,1,19.0,21.9,60.0,1017.7,2.2,346
BOT,15.0,104.479,SOFT,3.0,1,19.0,21.9,60.0,1017.7,2.3,348
BOT,16.0,,SOFT,4.0,1,19.0,22.0,60.0,1017.8,2.1,2
BOT,17.0,107.53,SOFT,4.0,1,19.0,22.0,60.0,1017.7,2.0,356
BOT,18.0,81.731,SOFT,4.0,1,18.9,22.0,60.0,1017.7,2.3,343
BOT,19.0,,SOFT,4.0,1,18.9,21.9,60.0,1017.7,2.2,345
