Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
GAS,1.0,130.912,MEDIUM,1.0,124,19.7,23.8,57.0,1015.2,2.3,358
GAS,2.0,143.807,MEDIUM,1.0,4,19.7,23.8,56.0,1015.2,2.6,8
GAS,3.0,139.509,MEDIUM,1.0,4,19.7,23.8,57.0,1015.1,2.5,4
GAS,4.0,133.088,MEDIUM,1.0,41,19.6,23.8,57.0,1015.2,2.4,6
GAS,5.0,91.425,MEDIUM,1.0,12,19.6,23.8,57.0,1015.2,2.4,341
GAS,6.0,88.418,MEDIUM,1.0,1,19.6,23.8,57.0,1015.2,2.7,351
GAS,7.0,87.738,MEDIUM,1.0,1,19.6,23.8,57.0,1015.2,2.3,0
GAS,8.0,87.881,MEDIUM,1.0,1,19.6,23.8,57.0,1015.2,2.5,8
GAS,9.0,87.58,MEDIUM,1.0,1,19.6,23.7,57.0,1015.3,2.9,11
GAS,10.0,88.272,MEDIUM,1.0,1,19.6,23.7,57.0,1015.3,3.1,10
GAS,11.0,88.181,MEDIUM,1.0,1,19.6,23.7,57.0,1015.3,2.6,0
GAS,12.0,87.827,MEDIUM,1.0,1,19.6,23.7,57.0,1015.2,2.7,16
GAS,13.0,86.986,MEDIUM,1.0,1,19.6,23.7,57.0,1015.3,2.4,341
GAS,14.0,87.011,MEDIUM,1.0,1,19.5,23.6,57.0,1015.3,2.5,4
GAS,15.0,86.737,MEDIUM,1.0,1,19.5,23.6,57.0,1015.3,2.4,359
GAS,16.0,86.7,MEDIUM,1.0,1,19.5,23.6,57.0,1015.2,2.9,349
GAS,17.0,86.514,MEDIUM,1.0,1,19.5,23.7,56.0,1015.3,2.3,22
GAS,18.0,86.694,MEDIUM,1.0,1,19.6,23.6,56.0,1015.4,2.2,355
GAS,19.0,86.696,MEDIUM,1.0,1,19.6,23.7,56.0,1015.3,1.9,12
GAS,20.0,86.369,MEDIUM,1.0,1,19.6,23.7,55.0,1015.2,2.5,347
GAS,21.0,86.946,MEDIUM,1.0,1,19.6,23.7,55.0,1015.3,1.9,14
GAS,22.0,86.453,MEDIUM,1.0,1,19.6,23.6,55.0,1015.3,2.4,1
GAS,23.0,86.298,MEDIUM,1.0,1,19.5,23.6,55.0,1015.3,2.5,2
GAS,24.0,86.235,MEDIUM,1.0,1,19.5,23.5,55.0,1015.4,2.9,10
GAS,25.0,86.174,MEDIUM,1.0,1,19.5,23.5,56.0,1015.3,2.5,4
GAS,26.0,86.12,MEDIUM,1.0,1,19.5,23.5,56.0,1015.3,2.6,14
GAS,27.0,85.969,MEDIUM,1.0,1,19.5,23.4,56.0,1015.3,2.9,12
GAS,28.0,85.533,MEDIUM,1.0,1,19.5,23.4,56.0,1015.4,2.9,5
GAS,29.0,85.588,MEDIUM,1.0,12,19.4,23.4,56.0,1015.3,3.2,25
GAS,30.0,85.344,MEDIUM,1.0,1,19.4,23.4,56.0,1015.4,2.5,3
GAS,31.0,85.335,MEDIUM,1.0,1,19.4,23.4,56.0,1015.4,2.5,16
GAS,32.0,85.331,MEDIUM,1.0,1,19.4,23.4,55.0,1015.3,2.9,6
GAS,33.0,85.122,MEDIUM,1.0,1,19.4,23.4,55.0,1015.5,3.0,339
GAS,34.0,85.622,MEDIUM,1.0,1,19.4,23.4,55.0,1015.3,2.5,13
GAS,35.0,111.497,MEDIUM,1.0,14,19.4,23.3,55.0,1015.3,2.5,11
GAS,36.0,142.16,HARD,2.0,4,19.4,23.3,55.0,1015.3,2.2,346
GAS,37.0,141.304,HARD,3.0,4,19.4,23.3,55.0,1015.5,1.9,12
GAS,38.0,146.588,HARD,4.0,4,19.3,23.3,55.0,1015.5,2.7,7
GAS,39.0,139.279,HARD,4.0,41,19.3,23.3,55.0,1015.4,2.2,6
GAS,40.0,108.476,HARD,4.0,1264,19.3,23.3,55.0,1015.5,2.5,3
GAS,41.0,133.101,HARD,4.0,4,19.3,23.3,55.0,1015.5,2.3,3
GAS,42.0,143.945,HARD,4.0,41,19.3,23.3,55.0,1015.5,2.2,8
GAS,43.0,87.285,HARD,4.0,1,19.3,23.2,55.0,1015.4,2.4,1
GAS,44.0,85.421,HARD,4.0,1,19.3,23.2,55.0,1015.5,2.4,3
GAS,45.0,84.508,HARD,4.0,1,19.3,23.2,55.0,1015.5,2.1,5
GAS,46.0,84.238,HARD,4.0,1,19.3,23.3,55.0,1015.5,2.0,5
GAS,47.0,84.097,HARD,4.0,1,19.2,23.2,55.0,1015.5,2.0,12
GAS,48.0,84.156,HARD,4.0,1,19.2,23.2,55.0,1015.4,2.1,14
GAS,49.0,83.942,HARD,4.0,1,19.2,23.2,55.0,1015.4,2.3,12
GAS,50.0,83.866,HARD,4.0,1,19.2,23.2,55.0,1015.5,2.1,5
GAS,51.0,83.904,HARD,4.0,1,19.2,23.1,55.0,1015.5,1.9,357
GAS,52.0,84.057,HARD,4.0,1,19.2,23.1,55.0,1015.5,2.0,3
GAS,53.0,83.984,HARD,4.0,1,19.1,23.1,55.0,1015.5,2.0,0
GAS,54.0,84.082,HARD,4.0,1,19.1,23.1,55.0,1015.5,1.7,5
GAS,55.0,84.158,HARD,4.0,1,19.1,23.0,55.0,1015.5,1.8,18
GAS,56.0,83.705,HARD,4.0,1,19.1,23.1,54.0,1015.5,2.1,14
GAS,57.0,83.937,HARD,4.0,1,19.1,23.0,55.0,1015.5,2.4,8
