Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
LEC,1.0,,MEDIUM,1.0,1,21.8,27.3,50.0,1016.9,4.9,353
LEC,2.0,86.794,MEDIUM,1.0,1,21.8,27.2,50.0,1016.9,3.8,12
LEC,3.0,86.083,MEDIUM,1.0,1,21.8,27.1,50.0,1016.9,4.7,354
LEC,4.0,86.448,MEDIUM,1.0,1,21.7,27.1,51.0,1016.9,4.5,5
LEC,5.0,85.915,MEDIUM,1.0,1,21.7,27.1,51.0,1016.9,5.0,352
LEC,6.0,85.522,MEDIUM,1.0,1,21.7,27.1,51.0,1016.8,5.2,348
LEC,7.0,85.608,MEDIUM,1.0,1,21.7,27.0,51.0,1016.9,4.3,350
LEC,8.0,85.527,MEDIUM,1.0,1,21.6,27.0,51.0,1016.9,4.7,357
LEC,9.0,85.11,MEDIUM,1.0,1,21.6,26.9,51.0,1017.0,4.7,342
LEC,10.0,85.301,MEDIUM,1.0,1,21.6,26.9,51.0,1016.9,4.8,351
LEC,11.0,85.097,MEDIUM,1.0,1,21.6,26.9,51.0,1017.0,4.2,354
LEC,12.0,84.971,MEDIUM,1.0,1,21.6,26.8,51.0,1017.0,3.7,354
LEC,13.0,85.104,MEDIUM,1.0,1,21.6,26.7,51.0,1017.0,3.9,340
LEC,14.0,85.186,MEDIUM,1.0,1,21.5,26.7,51.0,1017.0,4.4,3
LEC,15.0,84.871,MEDIUM,1.0,1,21.5,26.6,51.0,1017.0,4.3,0
LEC,16.0,84.437,MEDIUM,1.0,1,21.5,26.6,52.0,1017.1,3.6,4
LEC,17.0,84.203,MEDIUM,1.0,1,21.5,26.6,52.0,1017.0,4.1,350
LEC,18.0,83.923,MEDIUM,1.0,1,21.5,26.6,52.0,1017.2,3.5,353
LEC,19.0,86.2,MEDIUM,1.0,1,21.5,26.6,52.0,1017.1,3.8,358
