Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
BOT,1.0,,MEDIUM,1.0,1,18.4,22.0,64.0,1019.1,2.1,7
BOT,2.0,83.407,MEDIUM,1.0,1,18.4,21.9,64.0,1019.1,2.3,352
BOT,3.0,118.663,MEDIUM,1.0,1,18.4,21.9,64.0,1019.0,2.0,6
BOT,4.0,82.974,MEDIUM,1.0,1,18.4,21.9,64.0,1018.9,2.1,7
BOT,5.0,120.97,MEDIUM,1.0,1,18.4,21.9,64.0,1019.1,2.4,5
BOT,6.0,141.199,MEDIUM,2.0,1,18.4,21.9,64.0,1019.0,2.4,9
BOT,7.0,82.506,MEDIUM,2.0,1,18.4,21.9,64.0,1019.0,2.0,15
BOT,8.0,110.171,MEDIUM,2.0,1,18.4,21.9,64.0,1019.0,2.3,16
BOT,9.0,,MEDIUM,3.0,1,18.4,21.7,64.0,1019.0,2.2,9
BOT,10.0,83.658,MEDIUM,3.0,1,18.4,21.8,64.0,1019.0,2.3,2
BOT,11.0,121.89,MEDIUM,3.0,1,18.3,21.8,64.0,1019.0,1.9,7
BOT,12.0,82.538,MEDIUM,3.0,1,18.3,21.8,64.0,1019.0,2.4,5
BOT,13.0,113.31,MEDIUM,3.0,1,18.3,21.7,64.0,1019.1,2.0,17
