Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
NOR,1.0,,HARD,1.0,1,26.2,43.4,57.0,1012.9,4.4,11
NOR,2.0,,SOFT,2.0,1,26.2,43.5,57.0,1012.9,5.6,21
NOR,3.0,89.957,SOFT,2.0,1,26.3,43.3,57.0,1012.8,4.0,31
NOR,4.0,145.253,SOFT,2.0,1,26.3,43.3,57.0,1012.8,4.2,20
NOR,5.0,89.827,SOFT,2.0,1,26.3,43.4,58.0,1012.8,5.2,21
NOR,6.0,,SOFT,2.0,1,26.3,42.7,59.0,1012.8,4.3,39
NOR,7.0,97.837,SOFT,2.0,1,26.2,43.1,59.0,1012.8,4.1,25
NOR,8.0,,SOFT,3.0,1,26.2,42.9,58.0,1012.8,4.1,29
NOR,9.0,88.971,SOFT,3.0,1,26.3,42.9,58.0,1012.8,4.2,22
NOR,10.0,126.32,SOFT,3.0,1,26.2,42.3,58.0,1012.8,4.9,17
NOR,11.0,144.557,SOFT,3.0,1,26.2,42.3,58.0,1012.8,5.1,16
