Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
VER,1.0,,SOFT,1.0,1,25.1,31.9,56.0,1014.4,1.9,12
VER,2.0,88.491,SOFT,1.0,1,25.1,31.7,56.0,1014.4,2.6,32
VER,3.0,125.837,SOFT,1.0,1,25.2,31.7,56.0,1014.3,1.9,28
VER,4.0,,SOFT,2.0,1,25.1,31.7,56.0,1014.4,2.0,5
VER,5.0,88.171,SOFT,2.0,1,25.1,31.5,56.0,1014.4,1.6,351
VER,6.0,109.554,SOFT,2.0,1,25.1,31.5,56.0,1014.4,1.9,0
VER,7.0,,SOFT,3.0,1,25.1,31.6,56.0,1014.4,2.1,7
VER,8.0,88.078,SOFT,3.0,1,25.1,31.7,56.0,1014.5,1.9,25
VER,9.0,109.937,SOFT,3.0,1,25.1,31.7,56.0,1014.5,2.2,14
VER,10.0,,SOFT,4.0,1,25.1,31.5,56.0,1014.6,2.9,351
VER,11.0,88.033,SOFT,4.0,1,25.1,31.5,56.0,1014.7,2.3,19
VER,12.0,115.55,SOFT,4.0,1,25.1,31.4,57.0,1014.6,2.2,11
VER,13.0,,SOFT,5.0,1,25.1,31.6,56.0,1014.6,2.6,349
VER,14.0,87.472,SOFT,5.0,1,25.1,31.6,56.0,1014.6,2.7,339
VER,15.0,106.594,SOFT,5.0,1,25.1,31.5,57.0,1014.6,2.2,8
VER,16.0,,SOFT,6.0,1,25.1,31.4,57.0,1014.6,2.4,3
VER,17.0,87.684,SOFT,6.0,1,25.1,31.5,56.0,1014.6,2.2,353
VER,18.0,122.162,SOFT,6.0,1,25.1,31.3,57.0,1014.6,1.9,9
