Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
MAG,1.0,103.159,MEDIUM,1.0,1,25.5,33.6,67.0,1012.0,2.6,342
MAG,2.0,97.522,MEDIUM,1.0,1,25.5,33.6,67.0,1012.0,1.9,20
MAG,3.0,95.85,MEDIUM,1.0,1,25.5,33.4,67.0,1012.0,2.4,21
MAG,4.0,95.367,MEDIUM,1.0,1,25.5,33.3,67.0,1012.0,2.3,22
MAG,5.0,95.684,MEDIUM,1.0,1,25.5,33.3,67.0,1012.0,2.6,23
MAG,6.0,96.027,MEDIUM,1.0,12,25.5,33.5,67.0,1012.1,2.5,12
MAG,7.0,131.564,MEDIUM,1.0,24,25.5,33.5,67.0,1012.0,1.9,5
MAG,8.0,,HARD,2.0,4,25.5,33.4,67.0,1012.0,1.8,13
MAG,9.0,145.832,HARD,2.0,41,25.5,33.4,67.0,1012.0,2.1,26
MAG,10.0,99.463,HARD,2.0,1,25.5,33.4,65.0,1012.1,2.3,10
MAG,11.0,96.036,HARD,2.0,1,25.5,33.3,66.0,1012.2,2.1,343
MAG,12.0,95.229,HARD,2.0,1,25.5,33.1,65.0,1012.1,1.7,334
MAG,13.0,95.062,HARD,2.0,1,25.5,33.2,65.0,1012.1,1.9,0
MAG,14.0,95.553,HARD,2.0,1,25.5,33.2,66.0,1012.1,1.4,5
MAG,15.0,95.746,HARD,2.0,1,25.5,33.4,64.0,1012.2,1.1,22
MAG,16.0,96.1,HARD,2.0,1,25.6,33.4,63.0,1012.2,1.3,10
MAG,17.0,96.621,HARD,2.0,1,25.5,33.4,63.0,1012.2,1.0,23
MAG,18.0,95.266,HARD,2.0,1,25.5,33.1,61.0,1012.3,1.0,30
MAG,19.0,95.22,HARD,2.0,1,25.5,33.2,62.0,1012.2,1.4,6
MAG,20.0,95.012,HARD,2.0,1,25.5,33.2,61.0,1012.2,1.9,2
MAG,21.0,94.923,HARD,2.0,1,25.5,33.1,61.0,1012.3,1.6,2
MAG,22.0,95.804,HARD,2.0,1,25.6,33.2,60.0,1012.3,1.2,21
MAG,23.0,96.198,HARD,2.0,1,25.7,33.1,60.0,1012.4,0.9,27
MAG,24.0,96.072,HARD,2.0,1,25.7,32.9,59.0,1012.3,1.0,33
MAG,25.0,96.555,HARD,2.0,1,25.8,32.8,59.0,1012.4,1.1,6
MAG,26.0,96.26,HARD,2.0,1,25.8,32.8,58.0,1012.4,1.3,18
MAG,27.0,96.222,HARD,2.0,1,25.8,32.9,58.0,1012.4,1.0,12
MAG,28.0,96.099,HARD,2.0,1,25.9,33.3,57.0,1012.4,0.9,18
MAG,29.0,95.797,HARD,2.0,1,25.9,32.9,57.0,1012.5,1.3,33
MAG,30.0,95.843,HARD,2.0,1,25.9,32.6,57.0,1012.5,0.9,32
MAG,31.0,96.061,HARD,2.0,1,25.9,32.5,57.0,1012.4,1.1,2
MAG,32.0,95.783,HARD,2.0,1,25.9,32.5,57.0,1012.5,1.2,23
MAG,33.0,95.7,HARD,2.0,1,25.8,32.4,57.0,1012.5,1.4,41
MAG,34.0,94.174,HARD,2.0,1,25.7,32.2,57.0,1012.5,1.3,3
MAG,35.0,93.923,HARD,2.0,1,25.7,32.2,58.0,1012.5,1.3,25
MAG,36.0,93.76,HARD,2.0,1,25.6,32.2,58.0,1012.5,1.5,25
MAG,37.0,93.516,HARD,2.0,1,25.6,32.3,57.0,1012.4,2.2,0
MAG,38.0,93.429,HARD,2.0,1,25.6,32.3,58.0,1012.5,2.0,33
MAG,39.0,93.203,HARD,2.0,1,25.6,31.9,58.0,1012.5,2.2,13
MAG,40.0,92.93,HARD,2.0,1,25.6,31.9,58.0,1012.3,2.4,13
MAG,41.0,92.855,HARD,2.0,1,25.6,32.0,59.0,1012.4,2.3,25
MAG,42.0,92.715,HARD,2.0,1,25.5,32.0,59.0,1012.4,2.4,14
MAG,43.0,92.902,HARD,2.0,1,25.5,31.9,59.0,1012.5,2.3,14
MAG,44.0,92.644,HARD,2.0,1,25.5,31.9,59.0,1012.4,2.1,19
MAG,45.0,92.638,HARD,2.0,1,25.5,31.7,60.0,1012.5,2.0,26
MAG,46.0,92.812,HARD,2.0,1,25.5,32.0,60.0,1012.5,1.9,0
MAG,47.0,92.338,HARD,2.0,1,25.5,32.0,60.0,1012.4,1.8,22
MAG,48.0,93.474,HARD,2.0,1,25.5,32.0,60.0,1012.4,1.7,2
MAG,49.0,93.437,HARD,2.0,1,25.4,31.9,60.0,1012.5,1.9,2
MAG,50.0,94.603,HARD,2.0,1,25.5,32.0,61.0,1012.6,2.1,7
