Driver,LapNumber,LapTime,Compound,Stint,TrackStatus,AirTemperature,TrackTemperature,Humidity,Pressure,WindSpeed,WindDirection
GAS,1.0,,HARD,1.0,1,31.3,38.4,65.0,1005.5,1.7,187
GAS,2.0,97.27,HARD,1.0,1,31.3,38.3,65.0,1005.4,1.6,178
GAS,3.0,,HARD,1.0,1,31.3,38.3,65.0,1005.5,1.6,193
GAS,4.0,95.934,HARD,1.0,12,31.3,38.3,65.0,1005.5,1.6,177
GAS,5.0,,HARD,1.0,1,31.4,38.5,65.0,1005.4,1.5,200
GAS,6.0,95.026,HARD,1.0,1,31.3,38.5,65.0,1005.4,1.6,188
GAS,7.0,,HARD,1.0,12,31.3,38.5,65.0,1005.4,1.6,179
GAS,8.0,94.486,HARD,1.0,1,31.3,38.3,65.0,1005.4,1.2,182
GAS,9.0,,HARD,1.0,1,31.3,38.8,64.0,1005.5,1.9,187
GAS,10.0,95.302,HARD,1.0,1,31.3,38.3,64.0,1005.4,1.9,181
GAS,11.0,132.839,HARD,1.0,1,31.3,38.0,65.0,1005.4,1.8,182
GAS,12.0,,SOFT,2.0,1,31.3,38.0,65.0,1005.4,2.2,187
GAS,13.0,92.873,SOFT,2.0,1,31.3,38.0,65.0,1005.3,2.6,185
GAS,14.0,,SOFT,2.0,1,31.3,38.0,65.0,1005.4,2.3,182
GAS,15.0,,SOFT,2.0,1,31.3,37.9,65.0,1005.5,2.3,191
GAS,16.0,121.191,SOFT,2.0,1,31.2,37.7,65.0,1005.4,2.2,183
GAS,17.0,92.694,SOFT,2.0,1,31.2,37.7,65.0,1005.5,1.9,188
GAS,18.0,,SOFT,2.0,1,31.3,37.9,65.0,1005.5,2.0,184
GAS,19.0,93.299,SOFT,2.0,1,31.4,38.5,65.0,1005.4,2.8,184
GAS,20.0,97.312,SOFT,2.0,1,31.4,38.5,64.0,1005.5,3.3,192
GAS,21.0,98.443,SOFT,2.0,1,31.5,38.1,64.0,1005.5,3.1,184
GAS,22.0,97.606,SOFT,2.0,1,31.4,38.1,64.0,1005.5,2.5,186
GAS,23.0,98.273,SOFT,2.0,1,31.4,38.1,64.0,1005.5,2.9,187
GAS,24.0,97.962,SOFT,2.0,1,31.5,38.0,64.0,1005.5,3.3,186
GAS,25.0,98.148,SOFT,2.0,1,31.5,38.0,64.0,1005.5,3.1,185
GAS,26.0,144.543,SOFT,2.0,1,31.5,37.9,64.0,1005.6,2.7,189
GAS,27.0,146.262,SOFT,2.0,1,31.4,37.8,64.0,1005.7,2.8,185
